,what,is,warsaw,'s,symbol,?
the,0.42745697498321533,0.5823672413825989,0.23137180507183075,-0.01540423184633255,0.22023849189281464,0.22068053483963013
mermaid,0.16442129015922546,0.2125418782234192,0.18328054249286652,0.019876396283507347,0.23734919726848602,0.14786650240421295
(,0.2411840260028839,0.35393038392066956,0.1835584193468094,0.0012731997994706035,0.19844968616962433,0.40561532974243164
syrenka,0.23898504674434662,0.20607022941112518,0.2810598909854889,0.011384782381355762,0.19268545508384705,0.30571886897087097
),0.26259949803352356,0.37732169032096863,0.19817118346691132,0.021107977256178856,0.2016175091266632,0.42300865054130554
is,0.28837618231773376,1.0,0.09741193056106567,0.02396530658006668,0.24105875194072723,0.22961433231830597
warsaw,0.10373849421739578,0.09741193056106567,1.0,0.02839025668799877,0.13188989460468292,0.09769917279481888
's,0.02692362666130066,0.02396530658006668,0.02839025668799877,0.9999999403953552,-0.016876207664608955,-0.023395681753754616
symbol,0.17314639687538147,0.24105875194072723,0.13188989460468292,-0.016876207664608955,1.0,0.1418723464012146
and,0.31309178471565247,0.3859752118587494,0.2083624005317688,0.06895173341035843,0.16780322790145874,0.20544172823429108
can,0.34502777457237244,0.44256699085235596,0.1348499357700348,-0.02075597457587719,0.19268599152565002,0.3226337134838104
be,0.3929833769798279,0.4819129705429077,0.17432227730751038,0.025217169895768166,0.2014015018939972,0.3324260413646698
found,0.1796332150697708,0.3526395261287689,0.05098890885710716,0.005866709165275097,0.15190331637859344,0.16790300607681274
on,0.34226128458976746,0.3635730445384979,0.19170401990413666,0.0026888418942689896,0.14126749336719513,0.2714994251728058
statues,0.10677443444728851,0.17140208184719086,0.1796959638595581,0.11920131742954254,0.27480635046958923,0.08013036102056503
throughout,0.2130906730890274,0.2639545500278473,0.12263564765453339,0.002080083591863513,0.15679879486560822,0.12665234506130219
the,0.42745697498321533,0.5823672413825989,0.23137180507183075,-0.01540423184633255,0.22023849189281464,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.25006377696990967,0.004406440537422895,0.23874019086360931,0.13423943519592285
and,0.31309178471565247,0.3859752118587494,0.2083624005317688,0.06895173341035843,0.16780322790145874,0.20544172823429108
on,0.34226128458976746,0.3635730445384979,0.19170401990413666,0.0026888418942689896,0.14126749336719513,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.23137180507183075,-0.01540423184633255,0.22023849189281464,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.25006377696990967,0.004406440537422895,0.23874019086360931,0.13423943519592285
's,0.02692362666130066,0.02396530658006668,0.02839025668799877,0.9999999403953552,-0.016876207664608955,-0.023395681753754616
coat,0.1392935961484909,0.21943449974060059,0.08417630940675735,-0.009479069150984287,0.28372448682785034,0.11979232728481293
of,0.33290785551071167,0.4854315221309662,0.19253842532634735,-0.03817026689648628,0.25313764810562134,0.1826142966747284
arms,0.1261218786239624,0.14908017218112946,0.060409724712371826,-0.04347587376832962,0.24629957973957062,0.1243237629532814
.,0.3567904531955719,0.4569662809371948,0.26825499534606934,-0.003708066651597619,0.20942500233650208,0.4130953550338745
