,the,classification,of,aspects,of,the,amazon,forest,is,important,for,mapping,what,type,of,emission,?
to,0.535392165184021,0.19289597868919373,0.41548454761505127,0.23851177096366882,0.41548454761505127,0.535392165184021,0.17033490538597107,0.1971547156572342,0.42745086550712585,0.30913278460502625,0.4451248347759247,0.24043463170528412,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2543768286705017,0.29463258385658264
accurately,0.2295762449502945,0.2370602786540985,0.15633516013622284,0.3053287863731384,0.15633516013622284,0.2295762449502945,0.16885307431221008,0.12793003022670746,0.21816204488277435,0.1622212529182434,0.2856791913509369,0.3129148781299591,0.3832217752933502,0.2155747264623642,0.15633516013622284,0.29948773980140686,0.22476822137832642
map,0.2702621817588806,0.15438489615917206,0.22708505392074585,0.14292502403259277,0.22708505392074585,0.2702621817588806,0.1497560441493988,0.1591876894235611,0.2186950147151947,0.10649530589580536,0.16703267395496368,0.4845886826515198,0.23936687409877777,0.1435547024011612,0.22708505392074585,0.20149292051792145,0.1548176109790802
the,1.0,0.24193404614925385,0.733189046382904,0.2620294690132141,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.5823672413825989,0.39348116517066956,0.4739971458911896,0.2108994424343109,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23563747107982635,0.22068053483963013
amazon,0.260541707277298,0.1898529827594757,0.20143137872219086,0.19577446579933167,0.20143137872219086,0.260541707277298,1.0000001192092896,0.26471444964408875,0.15197539329528809,0.15584325790405273,0.165912926197052,0.2458280771970749,0.16355936229228973,0.11425158381462097,0.20143137872219086,0.11653020977973938,0.18144656717777252
's,-0.01540423184633255,0.023859361186623573,-0.03817026689648628,0.04867896810173988,-0.03817026689648628,-0.01540423184633255,0.062328040599823,0.006216650828719139,0.02396530658006668,-0.0359678789973259,-0.07241261005401611,0.0030150797683745623,0.02692362666130066,0.05257158726453781,-0.03817026689648628,3.769136583287036e-06,-0.023395681753754616
biomass,0.2455909252166748,0.30268922448158264,0.2884552776813507,0.23612183332443237,0.2884552776813507,0.2455909252166748,0.3017635941505432,0.2979273498058319,0.30122971534729004,0.21915678679943085,0.23005321621894836,0.2879873216152191,0.22379423677921295,0.23885060846805573,0.2884552776813507,0.46127551794052124,0.17773602902889252
and,0.5171257257461548,0.19051122665405273,0.5116966962814331,0.2787165641784668,0.5116966962814331,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.3859752118587494,0.37549954652786255,0.5064792633056641,0.28013426065444946,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.16304580867290497,0.20544172823429108
subsequent,0.2562725245952606,0.14337053894996643,0.1740972250699997,0.20418670773506165,0.1740972250699997,0.2562725245952606,0.13023293018341064,0.0723007395863533,0.1758444607257843,0.1695503294467926,0.21050673723220825,0.16744409501552582,0.20167095959186554,0.08884867280721664,0.1740972250699997,0.1774994432926178,0.13111010193824768
carbon,0.23183570802211761,0.1938999593257904,0.22596238553524017,0.20660139620304108,0.22596238553524017,0.23183570802211761,0.1535501331090927,0.21766255795955658,0.2770232558250427,0.22184045612812042,0.2145283818244934,0.2410161942243576,0.22238978743553162,0.28490281105041504,0.22596238553524017,0.43496522307395935,0.19040444493293762
related,0.26962998509407043,0.2620687782764435,0.2691357135772705,0.3134579658508301,0.2691357135772705,0.26962998509407043,0.09120462089776993,0.10727615654468536,0.20549555122852325,0.2555885314941406,0.2013162523508072,0.2271636426448822,0.258600115776062,0.1942109912633896,0.2691357135772705,0.19108949601650238,0.17689068615436554
emissions,0.24195483326911926,0.2892529368400574,0.240469291806221,0.3107542097568512,0.240469291806221,0.24195483326911926,0.1476656198501587,0.17341755330562592,0.23486566543579102,0.22071117162704468,0.2366008162498474,0.30537956953048706,0.2559395730495453,0.25073984265327454,0.240469291806221,0.8663596510887146,0.19590985774993896
",",0.4933079481124878,0.24260641634464264,0.4946078956127167,0.19650225341320038,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.4691906273365021,0.3452564477920532,0.4464869201183319,0.20652662217617035,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.18452578783035278,0.31091248989105225
the,1.0,0.24193404614925385,0.733189046382904,0.2620294690132141,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.5823672413825989,0.39348116517066956,0.4739971458911896,0.2108994424343109,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23563747107982635,0.22068053483963013
classification,0.24193404614925385,0.9999999403953552,0.2064410001039505,0.24067535996437073,0.2064410001039505,0.24193404614925385,0.1898529827594757,0.12731675803661346,0.19855763018131256,0.14761044085025787,0.176555797457695,0.2565724849700928,0.21176548302173615,0.3461778461933136,0.2064410001039505,0.26912036538124084,0.18204113841056824
of,0.733189046382904,0.2064410001039505,1.0,0.2615640461444855,1.0,0.733189046382904,0.20143137872219086,0.2309139519929886,0.4854315221309662,0.43301743268966675,0.4185989499092102,0.20953945815563202,0.33290785551071167,0.18112817406654358,1.0,0.21431532502174377,0.1826142966747284
tree,0.2565799951553345,0.17032134532928467,0.23309285938739777,0.21141524612903595,0.23309285938739777,0.2565799951553345,0.20608896017074585,0.40734735131263733,0.2044319063425064,0.15661993622779846,0.14376839995384216,0.18794876337051392,0.17175592482089996,0.1364968717098236,0.23309285938739777,0.15082257986068726,0.10740261524915695
growth,0.2912366986274719,0.25070926547050476,0.2679378092288971,0.25688034296035767,0.2679378092288971,0.2912366986274719,0.13255822658538818,0.20299431681632996,0.2256266176700592,0.2953878343105316,0.24965375661849976,0.1277998983860016,0.1739405393600464,0.1453375667333603,0.2679378092288971,0.2810039222240448,0.07547862827777863
stages,0.29316213726997375,0.36213159561157227,0.27978867292404175,0.277662456035614,0.27978867292404175,0.29316213726997375,0.14003661274909973,0.13334009051322937,0.190957173705101,0.18507391214370728,0.2248757928609848,0.1825161874294281,0.18274828791618347,0.20924478769302368,0.27978867292404175,0.2881637513637543,0.12672165036201477
within,0.39827480912208557,0.2027660459280014,0.39594778418540955,0.244058296084404,0.39594778418540955,0.39827480912208557,0.09349033236503601,0.159495547413826,0.30135563015937805,0.249331533908844,0.3087334632873535,0.32443198561668396,0.2498195916414261,0.16128505766391754,0.39594778418540955,0.18529202044010162,0.1870293766260147
different,0.36412742733955383,0.2683468759059906,0.3747533857822418,0.37281760573387146,0.3747533857822418,0.36412742733955383,0.16166077554225922,0.0960787981748581,0.24624870717525482,0.3322029411792755,0.34825223684310913,0.23793019354343414,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.21611817181110382,0.24476227164268494
parts,0.4042440354824066,0.17465348541736603,0.3379773199558258,0.28637051582336426,0.3379773199558258,0.4042440354824066,0.12758833169937134,0.15851174294948578,0.330430269241333,0.2995002269744873,0.21757566928863525,0.164142444729805,0.3415631353855133,0.22809341549873352,0.3379773199558258,0.13079309463500977,0.12310896813869476
of,0.733189046382904,0.2064410001039505,1.0,0.2615640461444855,1.0,0.733189046382904,0.20143137872219086,0.2309139519929886,0.4854315221309662,0.43301743268966675,0.4185989499092102,0.20953945815563202,0.33290785551071167,0.18112817406654358,1.0,0.21431532502174377,0.1826142966747284
the,1.0,0.24193404614925385,0.733189046382904,0.2620294690132141,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.5823672413825989,0.39348116517066956,0.4739971458911896,0.2108994424343109,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23563747107982635,0.22068053483963013
forest,0.24134553968906403,0.12731675803661346,0.2309139519929886,0.08983929455280304,0.2309139519929886,0.24134553968906403,0.26471444964408875,1.0000001192092896,0.209678515791893,0.09959588944911957,0.20533806085586548,0.20055356621742249,0.15328429639339447,0.05597252398729324,0.2309139519929886,0.17183351516723633,0.1214437186717987
is,0.5823672413825989,0.19855763018131256,0.4854315221309662,0.23535941541194916,0.4854315221309662,0.5823672413825989,0.15197539329528809,0.209678515791893,1.0,0.350485235452652,0.43268078565597534,0.18809962272644043,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.25782260298728943,0.22961433231830597
crucial,0.3037804067134857,0.21627818048000336,0.2857859432697296,0.31758272647857666,0.2857859432697296,0.3037804067134857,0.12151066958904266,0.0629238486289978,0.18071739375591278,0.3889024555683136,0.26398980617523193,0.24694934487342834,0.33186814188957214,0.11546400934457779,0.2857859432697296,0.2045285552740097,0.18243193626403809
.,0.5934505462646484,0.2091323882341385,0.5352458953857422,0.20692044496536255,0.5352458953857422,0.5934505462646484,0.262887567281723,0.2418428510427475,0.4569662809371948,0.33938494324684143,0.4726039469242096,0.25874584913253784,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.20161543786525726,0.4130953550338745
