,which,countries,are,represented,in,the,far,eastern,collections,?
the,0.6521818041801453,0.33290645480155945,0.40399202704429626,0.3256146013736725,0.6662389636039734,1.0,0.38564538955688477,0.3928247392177582,0.27174001932144165,0.22068053483963013
far,0.26849839091300964,0.2930656969547272,0.30228713154792786,0.1294689178466797,0.2599720060825348,0.38564538955688477,1.0,0.2700175344944,0.22732877731323242,0.2170870453119278
eastern,0.26815342903137207,0.32335537672042847,0.21353314816951752,0.16005581617355347,0.3306356370449066,0.3928247392177582,0.2700175344944,1.0,0.16368316113948822,0.20060817897319794
collections,0.319350928068161,0.23736664652824402,0.3220110833644867,0.23279350996017456,0.2719179093837738,0.27174001932144165,0.22732877731323242,0.16368316113948822,0.9999998807907104,0.1873358190059662
include,0.33084139227867126,0.31096240878105164,0.5140694975852966,0.18663407862186432,0.28694382309913635,0.2951717972755432,0.19530443847179413,0.14885322749614716,0.34183329343795776,0.14925788342952728
more,0.4639437198638916,0.28580373525619507,0.4066504240036011,0.17140258848667145,0.32563260197639465,0.39758381247520447,0.37953251600265503,0.16634006798267365,0.24300287663936615,0.27894994616508484
than,0.3974681496620178,0.28124192357063293,0.39206281304359436,0.21716128289699554,0.3270052373409271,0.3227543234825134,0.3604656159877777,0.19608601927757263,0.2000291645526886,0.24917294085025787
"70,000",-0.11393622308969498,-0.17130035161972046,-0.14135786890983582,-0.004249519668519497,-0.04515970125794411,-0.013586602173745632,-0.14182183146476746,-0.08650166541337967,-0.0519351102411747,-0.06701415032148361
works,0.2730301022529602,0.2260522097349167,0.2733730971813202,0.15046696364879608,0.2656683027744293,0.26337864995002747,0.1515258401632309,0.10995126515626907,0.3803873360157013,0.19597402215003967
of,0.5011631846427917,0.2800094783306122,0.39081433415412903,0.3891753554344177,0.5696388483047485,0.733189046382904,0.3005201518535614,0.33281487226486206,0.3185039758682251,0.1826142966747284
art,0.19862167537212372,0.13696043193340302,0.15355311334133148,0.11849413067102432,0.2282189577817917,0.20297785103321075,0.2209669053554535,0.1794656217098236,0.3595452308654785,0.138971745967865
from,0.38755592703819275,0.2355131208896637,0.2674213647842407,0.27583742141723633,0.4274188280105591,0.40150508284568787,0.3038284182548523,0.2597717344760895,0.27473148703575134,0.19969791173934937
the,0.6521818041801453,0.33290645480155945,0.40399202704429626,0.3256146013736725,0.6662389636039734,1.0,0.38564538955688477,0.3928247392177582,0.27174001932144165,0.22068053483963013
countries,0.29131221771240234,0.9999999403953552,0.35174399614334106,0.2078482061624527,0.3027990758419037,0.33290645480155945,0.2930656969547272,0.32335537672042847,0.23736664652824402,0.15128466486930847
of,0.5011631846427917,0.2800094783306122,0.39081433415412903,0.3891753554344177,0.5696388483047485,0.733189046382904,0.3005201518535614,0.33281487226486206,0.3185039758682251,0.1826142966747284
east,0.22817298769950867,0.28804680705070496,0.16636624932289124,0.18361303210258484,0.32659441232681274,0.3383176326751709,0.3195898234844208,0.6015186309814453,0.11118265986442566,0.10070597380399704
asia,0.24878287315368652,0.39507102966308594,0.21773061156272888,0.14313764870166779,0.26562291383743286,0.2838890850543976,0.23477455973625183,0.3259150981903076,0.1736319363117218,0.1340748518705368
:,-0.11049769818782806,0.04958808794617653,-0.1189703419804573,0.1406276673078537,0.020521078258752823,-0.03403344005346298,-0.07478536665439606,-0.02672940120100975,-0.11548762768507004,-0.07156077772378922
china,0.2780199646949768,0.34142422676086426,0.21174804866313934,0.19250866770744324,0.267821341753006,0.3110525608062744,0.19558118283748627,0.3387964963912964,0.18003498017787933,0.18007943034172058
",",0.3658004403114319,0.2966555655002594,0.4062570035457611,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.346853643655777,0.3081906735897064,0.2696824073791504,0.31091248989105225
japan,0.24209867417812347,0.34313878417015076,0.14791998267173767,0.08991673588752747,0.23087722063064575,0.22735914587974548,0.19107116758823395,0.18312431871891022,0.2004651129245758,0.1312343180179596
and,0.506277859210968,0.37200918793678284,0.48576638102531433,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.3353408873081207,0.22891712188720703,0.2914140522480011,0.20544172823429108
korea,0.28180912137031555,0.3555425703525543,0.160377636551857,0.11699633300304413,0.2038920670747757,0.2667161226272583,0.21439747512340546,0.19322115182876587,0.1998588740825653,0.19150957465171814
.,0.45942068099975586,0.27938392758369446,0.3452940285205841,0.26645728945732117,0.5591574311256409,0.5934505462646484,0.3168189823627472,0.2820250988006592,0.30024775862693787,0.4130953550338745
