,where,did,the,tran,dynasty,rule,?
the,0.5003893971443176,0.34736719727516174,1.0,0.21479786932468414,0.26267939805984497,0.29894936084747314,0.22068053483963013
tran,0.1730179637670517,0.057503409683704376,0.21479786932468414,1.0,0.41118013858795166,0.1841508448123932,0.12747351825237274
dynasty,0.11917287111282349,0.19201454520225525,0.26267939805984497,0.41118013858795166,1.0,0.38598939776420593,0.15884074568748474
which,0.5477990508079529,0.2750149369239807,0.6521818041801453,0.1821935921907425,0.1794537752866745,0.2832747995853424,0.25814583897590637
ruled,0.15417088568210602,0.28686225414276123,0.2668108344078064,0.21194502711296082,0.5039024949073792,0.5672529339790344,0.19970785081386566
annam,0.1374351531267166,0.21331876516342163,0.2852458655834198,0.35981178283691406,0.379056453704834,0.21067462861537933,0.12695002555847168
(,0.1970011591911316,0.18979617953300476,0.33289089798927307,0.2098274677991867,0.15119072794914246,0.18434083461761475,0.40561532974243164
dai,0.08014068007469177,0.09753347188234329,0.1360853612422943,0.36200273036956787,0.26197943091392517,0.14701785147190094,0.12014257162809372
viet,0.11694421619176865,0.1168748140335083,0.23655875027179718,0.4120003581047058,0.33429738879203796,0.15948554873466492,0.16006453335285187
),0.20711064338684082,0.18584993481636047,0.3456730246543884,0.22333797812461853,0.17090870440006256,0.20308785140514374,0.42300865054130554
crushed,0.2137434333562851,0.16701029241085052,0.274326890707016,0.1442103534936905,0.178937628865242,0.19263555109500885,0.09412815421819687
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.18954476714134216,0.21357402205467224,0.22522340714931488,0.20544172823429108
defeated,0.19311988353729248,0.23103484511375427,0.2833898365497589,0.20670348405838013,0.26393142342567444,0.29708370566368103,0.1413237303495407
the,0.5003893971443176,0.34736719727516174,1.0,0.21479786932468414,0.26267939805984497,0.29894936084747314,0.22068053483963013
mongols,0.16501484811306,0.21908389031887054,0.310281366109848,0.3508094847202301,0.49200209975242615,0.3072030544281006,0.11517509818077087
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.10029152780771255,0.11463665962219238,0.10186511278152466,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,1.0,0.21479786932468414,0.26267939805984497,0.29894936084747314,0.22068053483963013
battle,0.13785181939601898,0.12105695903301239,0.2820790410041809,0.1307695060968399,0.2553342282772064,0.2314426153898239,0.1680624783039093
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.20080110430717468,0.285645067691803,0.25175079703330994,0.1826142966747284
bạch,0.19527851045131683,0.14824499189853668,0.2752630114555359,0.17040005326271057,0.1340264230966568,0.11442868411540985,0.17818468809127808
đằng,0.10535453259944916,0.06862355768680573,0.1272369772195816,0.47821885347366333,0.2762942314147949,0.08465808629989624,0.15342473983764648
(,0.1970011591911316,0.18979617953300476,0.33289089798927307,0.2098274677991867,0.15119072794914246,0.18434083461761475,0.40561532974243164
1288,0.03240196779370308,0.0764879509806633,0.014870085753500462,0.12573611736297607,0.09890507161617279,0.04539644345641136,0.07282736152410507
),0.20711064338684082,0.18584993481636047,0.3456730246543884,0.22333797812461853,0.17090870440006256,0.20308785140514374,0.42300865054130554
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.1954522579908371,0.20616187155246735,0.2436654418706894,0.4130953550338745
