,how,can,someone,be,recognized,as,local,church,lay,servant,?
to,0.44169697165489197,0.4979398250579834,0.38986673951148987,0.4972836375236511,0.1667540818452835,0.42092081904411316,0.2207600325345993,0.24439501762390137,0.21070170402526855,0.2116258144378662,0.29463258385658264
be,0.4158933162689209,0.5791122913360596,0.45383936166763306,1.0,0.2335023730993271,0.5230465531349182,0.18838182091712952,0.14655785262584686,0.17746593058109283,0.2364494651556015,0.3324260413646698
recognized,0.12460648268461227,0.13182149827480316,0.1483302265405655,0.2335023730993271,1.0000001192092896,0.3368684649467468,0.16981671750545502,0.14088964462280273,0.14468269050121307,0.10174230486154556,0.18558090925216675
as,0.33782753348350525,0.3245031237602234,0.24472671747207642,0.5230465531349182,0.3368684649467468,1.0,0.21087346971035004,0.211966410279274,0.1565297544002533,0.241262286901474,0.27043893933296204
local,0.1895620971918106,0.1961485892534256,0.15087716281414032,0.18838182091712952,0.16981671750545502,0.21087346971035004,1.0,0.2117328941822052,0.13565626740455627,0.1003083735704422,0.15022775530815125
church,0.10719848424196243,0.1339203417301178,0.16598212718963623,0.14655785262584686,0.14088964462280273,0.211966410279274,0.2117328941822052,0.9999999403953552,0.25351858139038086,0.24410399794578552,0.18081501126289368
lay,0.16356971859931946,0.18771126866340637,0.16659869253635406,0.17746593058109283,0.14468269050121307,0.1565297544002533,0.13565626740455627,0.25351858139038086,1.0,0.16600550711154938,0.19041578471660614
servant,0.18204624950885773,0.15566708147525787,0.27245768904685974,0.2364494651556015,0.10174230486154556,0.241262286901474,0.1003083735704422,0.24410399794578552,0.16600550711154938,1.0,0.16730746626853943
",",0.22659391164779663,0.3139454126358032,0.23755213618278503,0.39254459738731384,0.2936757206916809,0.48816442489624023,0.20673875510692596,0.2707274258136749,0.2087278813123703,0.2507607042789459,0.31091248989105225
they,0.43247655034065247,0.47909218072891235,0.36666789650917053,0.4858434796333313,0.2869403064250946,0.3294360637664795,0.21770167350769043,0.18669813871383667,0.24384023249149323,0.1402442753314972,0.2753053903579712
must,0.3341856896877289,0.6161077618598938,0.31939685344696045,0.4737209677696228,0.15185631811618805,0.2723003923892975,0.18212547898292542,0.10521770268678665,0.17516806721687317,0.1922248750925064,0.23707495629787445
be,0.4158933162689209,0.5791122913360596,0.45383936166763306,1.0,0.2335023730993271,0.5230465531349182,0.18838182091712952,0.14655785262584686,0.17746593058109283,0.2364494651556015,0.3324260413646698
recommended,0.23848584294319153,0.32539650797843933,0.26826468110084534,0.3252650797367096,0.29832157492637634,0.30502036213874817,0.1709255576133728,0.0732029601931572,0.13580307364463806,0.11680085957050323,0.22072286903858185
