,by,what,process,is,singlet,oxygen,made,in,the,tropophere,?
it,0.40926623344421387,0.45803478360176086,0.2984703481197357,0.6328473687171936,0.19796866178512573,0.26699385046958923,0.3944323658943176,0.5130809545516968,0.6251175999641418,0.3576914966106415,0.25732165575027466
is,0.3899846076965332,0.28837618231773376,0.21762968599796295,1.0,0.24867701530456543,0.21825239062309265,0.29543453454971313,0.5394441485404968,0.5823672413825989,0.3450937569141388,0.22961433231830597
also,0.3824189305305481,0.42747777700424194,0.23756733536720276,0.5012649297714233,0.18032848834991455,0.22828444838523865,0.39542055130004883,0.5073733329772949,0.6021018624305725,0.3054823875427246,0.21848613023757935
produced,0.4647648334503174,0.1393624097108841,0.2055693417787552,0.25678005814552307,0.2475292831659317,0.1870262175798416,0.362557590007782,0.2542861998081207,0.22045251727104187,0.2576829791069031,0.1623450517654419
in,0.370934396982193,0.30808621644973755,0.19851736724376678,0.5394441485404968,0.1821850836277008,0.1672476977109909,0.25271502137184143,1.0,0.6662389636039734,0.3579513132572174,0.20430970191955566
the,0.4408751428127289,0.42745697498321533,0.264274537563324,0.5823672413825989,0.2022450864315033,0.20428593456745148,0.3885267674922943,0.6662389636039734,1.0,0.37932056188583374,0.22068053483963013
troposphere,0.14696387946605682,0.2641110420227051,0.29344314336776733,0.27030137181282043,0.13347694277763367,0.43235474824905396,0.14397090673446655,0.28020140528678894,0.3074656128883362,0.7153266668319702,0.1923598200082779
by,1.0000001192092896,0.2455483376979828,0.2115318775177002,0.3899846076965332,0.21730034053325653,0.1292176991701126,0.34175434708595276,0.370934396982193,0.4408751428127289,0.27556613087654114,0.17966607213020325
the,0.4408751428127289,0.42745697498321533,0.264274537563324,0.5823672413825989,0.2022450864315033,0.20428593456745148,0.3885267674922943,0.6662389636039734,1.0,0.37932056188583374,0.22068053483963013
photolysis,0.25060373544692993,0.2825598120689392,0.47185656428337097,0.27369752526283264,0.2781592309474945,0.5615994334220886,0.331989049911499,0.2311362326145172,0.286896675825119,0.2830587327480316,0.17374983429908752
of,0.3646814823150635,0.33290785551071167,0.23962904512882233,0.4854315221309662,0.16668915748596191,0.16848602890968323,0.33167365193367004,0.5696388483047485,0.733189046382904,0.2720508277416229,0.1826142966747284
ozone,0.1733677238225937,0.17115569114685059,0.246609166264534,0.21112559735774994,0.1605953723192215,0.5093002915382385,0.18866318464279175,0.19661612808704376,0.23899611830711365,0.33881333470344543,0.159791961312294
by,1.0000001192092896,0.2455483376979828,0.2115318775177002,0.3899846076965332,0.21730034053325653,0.1292176991701126,0.34175434708595276,0.370934396982193,0.4408751428127289,0.27556613087654114,0.17966607213020325
light,0.16924326121807098,0.22953972220420837,0.21135006844997406,0.2457275241613388,0.2676818370819092,0.3018748164176941,0.22744663059711456,0.1819845736026764,0.2649136185646057,0.271051824092865,0.17429810762405396
of,0.3646814823150635,0.33290785551071167,0.23962904512882233,0.4854315221309662,0.16668915748596191,0.16848602890968323,0.33167365193367004,0.5696388483047485,0.733189046382904,0.2720508277416229,0.1826142966747284
short,0.18287886679172516,0.19211500883102417,0.11214980483055115,0.2397661656141281,0.15042874217033386,0.15076260268688202,0.1848398894071579,0.26193615794181824,0.29603123664855957,0.15069560706615448,0.16194626688957214
wavelength,0.16759268939495087,0.29332995414733887,0.26300281286239624,0.24653446674346924,0.2347693145275116,0.34988316893577576,0.16642853617668152,0.16864928603172302,0.2369534969329834,0.28525155782699585,0.16875804960727692
",",0.3680937886238098,0.3087472915649414,0.2061346471309662,0.4691906273365021,0.25703805685043335,0.21812842786312103,0.32507219910621643,0.5201468467712402,0.4933079481124878,0.34194326400756836,0.31091248989105225
and,0.4289871156215668,0.31309178471565247,0.20204883813858032,0.3859752118587494,0.2102305293083191,0.22261030972003937,0.34954607486724854,0.4954058527946472,0.5171257257461548,0.30941420793533325,0.20544172823429108
by,1.0000001192092896,0.2455483376979828,0.2115318775177002,0.3899846076965332,0.21730034053325653,0.1292176991701126,0.34175434708595276,0.370934396982193,0.4408751428127289,0.27556613087654114,0.17966607213020325
the,0.4408751428127289,0.42745697498321533,0.264274537563324,0.5823672413825989,0.2022450864315033,0.20428593456745148,0.3885267674922943,0.6662389636039734,1.0,0.37932056188583374,0.22068053483963013
