,what,are,some,existing,facilities,?
this,0.5489566326141357,0.35762670636177063,0.5247883796691895,0.38107404112815857,0.23550541698932648,0.3155723512172699
lessens,0.3139382004737854,0.2926182746887207,0.3888683617115021,0.24138325452804565,0.19888702034950256,0.23044778406620026
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.36013904213905334,0.19172798097133636,0.22068053483963013
likelihood,0.41016635298728943,0.3616584837436676,0.359702467918396,0.319184809923172,0.2149486541748047,0.3244779706001282
of,0.33290785551071167,0.39081433415412903,0.4300730526447296,0.30417704582214355,0.17473776638507843,0.1826142966747284
damage,0.2590121924877167,0.25189563632011414,0.26361343264579773,0.17702023684978485,0.21332299709320068,0.2121051400899887
to,0.455847829580307,0.3504326641559601,0.4636894166469574,0.36717307567596436,0.25067898631095886,0.29463258385658264
the,0.42745697498321533,0.40399202704429626,0.4566698372364044,0.36013904213905334,0.19172798097133636,0.22068053483963013
existing,0.31325602531433105,0.33423861861228943,0.35487815737724304,1.0,0.2597603499889374,0.31003472208976746
electrical,0.19961315393447876,0.21519765257835388,0.2251545488834381,0.2169845551252365,0.23865588009357452,0.10923371464014053
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2549736201763153,0.21444764733314514,0.31091248989105225
water,0.17456887662410736,0.26855918765068054,0.29974591732025146,0.2034667432308197,0.2894607484340668,0.14731885492801666
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2549736201763153,0.21444764733314514,0.31091248989105225
sewage,0.21130776405334473,0.2731950283050537,0.33262577652931213,0.3203161656856537,0.39516305923461914,0.1900925189256668
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2549736201763153,0.21444764733314514,0.31091248989105225
phone,0.22262883186340332,0.18461792171001434,0.20646575093269348,0.2107839733362198,0.156498983502388,0.1789194494485855
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2549736201763153,0.21444764733314514,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.26408615708351135,0.31028881669044495,0.20544172823429108
cable,0.14582780003547668,0.16622163355350494,0.17298513650894165,0.19800904393196106,0.23491138219833374,0.13993921875953674
facilities,0.137315571308136,0.23256969451904297,0.294486939907074,0.2597603499889374,1.0,0.10624271631240845
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.2549736201763153,0.21444764733314514,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.5407140851020813,0.4450038969516754,0.28351882100105286,0.25814583897590637
could,0.4188697934150696,0.33511802554130554,0.46296966075897217,0.3271755576133728,0.22816769778728485,0.3411986827850342
cause,0.24883218109607697,0.2999303638935089,0.36354589462280273,0.22469675540924072,0.15890701115131378,0.240532785654068
outages,0.2294820100069046,0.2951269745826721,0.3671624958515167,0.25362733006477356,0.3934084475040436,0.180655375123024
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.26408615708351135,0.31028881669044495,0.20544172823429108
potentially,0.2998991906642914,0.3972060978412628,0.39151933789253235,0.3932362198829651,0.1881525069475174,0.2191503494977951
hazardous,0.23861932754516602,0.20435887575149536,0.22342726588249207,0.23913414776325226,0.28897470235824585,0.22520703077316284
situations,0.38073766231536865,0.35348692536354065,0.40044644474983215,0.2939550578594208,0.32654479146003723,0.2605491280555725
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.28165051341056824,0.1710062026977539,0.4130953550338745
