,why,are,chloroplasts,of,interest,in,gmo,crops,?
since,0.3056725263595581,0.30560651421546936,0.19766640663146973,0.35513219237327576,0.23067501187324524,0.4325680434703827,0.125703826546669,0.2012152224779129,0.2876587212085724
",",0.2827242314815521,0.4062570035457611,0.20794041454792023,0.4946078956127167,0.2741461396217346,0.5201468467712402,0.26152023673057556,0.288750559091568,0.31091248989105225
in,0.23227278888225555,0.3841303884983063,0.21141497790813446,0.5696388483047485,0.27232617139816284,1.0,0.21137960255146027,0.21996134519577026,0.20430970191955566
most,0.32689353823661804,0.48698675632476807,0.254451721906662,0.4178851246833801,0.228915274143219,0.41416558623313904,0.25110554695129395,0.23850619792938232,0.2107497900724411
flowering,0.18794037401676178,0.29399797320365906,0.44516903162002563,0.26878005266189575,0.194402813911438,0.23554833233356476,0.29141703248023987,0.42005547881126404,0.14523769915103912
plants,0.24727660417556763,0.35990846157073975,0.5701043605804443,0.29386165738105774,0.17196229100227356,0.2697395086288452,0.35506945848464966,0.5157960057258606,0.1473488062620163
",",0.2827242314815521,0.4062570035457611,0.20794041454792023,0.4946078956127167,0.2741461396217346,0.5201468467712402,0.26152023673057556,0.288750559091568,0.31091248989105225
chloroplasts,0.22792738676071167,0.3103833794593811,0.9999999403953552,0.23179760575294495,0.16517212986946106,0.21141497790813446,0.48097607493400574,0.3258257508277893,0.13049766421318054
are,0.3273901343345642,1.0,0.3103833794593811,0.39081433415412903,0.22280853986740112,0.3841303884983063,0.2840741276741028,0.305677592754364,0.24591213464736938
not,0.5504072904586792,0.46186959743499756,0.3099190890789032,0.3307090103626251,0.27247488498687744,0.3403114080429077,0.3400515913963318,0.243534654378891,0.41942933201789856
inherited,0.23086880147457123,0.1479455828666687,0.30440470576286316,0.2982654571533203,0.3000990152359009,0.2067534327507019,0.2952684164047241,0.17488528788089752,0.1930614858865738
from,0.2592364251613617,0.2674213647842407,0.21740731596946716,0.4249346852302551,0.2099333554506302,0.4274188280105591,0.16217558085918427,0.21159756183624268,0.19969791173934937
the,0.30742117762565613,0.40399202704429626,0.23062430322170258,0.733189046382904,0.197127103805542,0.6662389636039734,0.19759975373744965,0.2617131173610687,0.22068053483963013
male,0.16951270401477814,0.21020562946796417,0.18844063580036163,0.22521720826625824,0.12655526399612427,0.1523800492286682,0.18660001456737518,0.13052591681480408,0.14269542694091797
parent,0.18231764435768127,0.22318822145462036,0.2645833492279053,0.18322299420833588,0.1753951907157898,0.15339559316635132,0.23705919086933136,0.09553220868110657,0.19855059683322906
",",0.2827242314815521,0.4062570035457611,0.20794041454792023,0.4946078956127167,0.2741461396217346,0.5201468467712402,0.26152023673057556,0.288750559091568,0.31091248989105225
transgenes,0.27905702590942383,0.27594032883644104,0.47263991832733154,0.2542498707771301,0.22550740838050842,0.23095758259296417,0.2925765812397003,0.2761128842830658,0.21668556332588196
in,0.23227278888225555,0.3841303884983063,0.21141497790813446,0.5696388483047485,0.27232617139816284,1.0,0.21137960255146027,0.21996134519577026,0.20430970191955566
these,0.38858214020729065,0.7107698917388916,0.33195561170578003,0.42684608697891235,0.25917673110961914,0.3791837692260742,0.2930219769477844,0.31096020340919495,0.2571668326854706
plastids,0.2884363830089569,0.4396801292896271,0.7646941542625427,0.26404064893722534,0.21429619193077087,0.22366774082183838,0.4250026345252991,0.3197396993637085,0.18791453540325165
can,0.38329222798347473,0.5408529043197632,0.29016172885894775,0.2603091299533844,0.18218763172626495,0.26527702808380127,0.313602477312088,0.26484444737434387,0.3226337134838104
not,0.5504072904586792,0.46186959743499756,0.3099190890789032,0.3307090103626251,0.27247488498687744,0.3403114080429077,0.3400515913963318,0.243534654378891,0.41942933201789856
be,0.4042811989784241,0.5556803941726685,0.2777445316314697,0.33904364705085754,0.21657410264015198,0.3481820821762085,0.28199732303619385,0.24431079626083374,0.3324260413646698
disseminated,0.2503739595413208,0.24959105253219604,0.32636043429374695,0.25795650482177734,0.2492286115884781,0.28133365511894226,0.2427966594696045,0.267210990190506,0.14376996457576752
by,0.19170543551445007,0.37842893600463867,0.1951972097158432,0.3646814823150635,0.21001383662223816,0.370934396982193,0.14720532298088074,0.23196157813072205,0.17966607213020325
pollen,0.15686610341072083,0.28841155767440796,0.5378879308700562,0.24244749546051025,0.19642315804958344,0.19481249153614044,0.31823521852493286,0.37440216541290283,0.18075641989707947
.,0.32909876108169556,0.3452940285205841,0.23868323862552643,0.5352458953857422,0.2713910639286041,0.5591574311256409,0.24356971681118011,0.2321854680776596,0.4130953550338745
