,how,much,is,the,sieve,method,of,gas,production,used,?
the,0.33890387415885925,0.35023224353790283,0.5823672413825989,1.0,0.236739844083786,0.21624743938446045,0.733189046382904,0.2339978665113449,0.2657334506511688,0.3718377649784088,0.22068053483963013
other,0.3591516315937042,0.3761230409145355,0.25895947217941284,0.44152235984802246,0.2752222716808319,0.18790766596794128,0.38583824038505554,0.2259911298751831,0.19805970788002014,0.3574926257133484,0.24682199954986572
major,0.12500809133052826,0.18500027060508728,0.19079607725143433,0.31775903701782227,0.07214703410863876,0.059044092893600464,0.2641255557537079,0.201896071434021,0.15616080164909363,0.16234950721263885,0.19788557291030884
method,0.3021480143070221,0.2618449032306671,0.21948537230491638,0.21624743938446045,0.2319515198469162,1.0000001192092896,0.22896558046340942,0.23899947106838226,0.2256782203912735,0.40983709692955017,0.2194802314043045
of,0.2480744868516922,0.2671096920967102,0.4854315221309662,0.733189046382904,0.2222577929496765,0.22896558046340942,1.0,0.21246914565563202,0.1928233802318573,0.3075267970561981,0.1826142966747284
producing,0.19940468668937683,0.257482647895813,0.27046653628349304,0.28730374574661255,0.21987693011760712,0.2258964329957962,0.22011449933052063,0.24545101821422577,0.6524176597595215,0.2849147617816925,0.1406429558992386
o,0.1453389823436737,0.11613502353429794,0.18684464693069458,0.19071193039417267,0.15941840410232544,0.038014478981494904,0.16054381430149078,0.17587880790233612,0.13187889754772186,0.11275003105401993,0.23868927359580994
2,-0.02554285153746605,-0.1400752067565918,-0.07940074801445007,-0.019434669986367226,0.020329704508185387,-0.03214716538786888,-0.013777675107121468,0.09000196307897568,0.05901121720671654,0.04418706148862839,0.001977203879505396
gas,0.2305871844291687,0.23716126382350922,0.1897863894701004,0.2339978665113449,0.25538620352745056,0.23899947106838226,0.21246914565563202,0.9999999403953552,0.21721163392066956,0.21790768206119537,0.1582372784614563
involves,0.2783087193965912,0.277028888463974,0.33874383568763733,0.25744810700416565,0.20478184521198273,0.42391812801361084,0.32495999336242676,0.17923226952552795,0.199595108628273,0.33199435472488403,0.14038428664207458
passing,0.24499450623989105,0.23685546219348907,0.20053766667842865,0.3088957965373993,0.22612755000591278,0.2809561789035797,0.24086934328079224,0.17409159243106842,0.11553038656711578,0.21228539943695068,0.10353918373584747
a,0.29312583804130554,0.2958075702190399,0.658733606338501,0.5829201340675354,0.211503267288208,0.2613512873649597,0.5052502155303955,0.26485589146614075,0.19671310484409332,0.3864384889602661,0.23916715383529663
stream,0.15122921764850616,0.18374672532081604,0.29532310366630554,0.2507912814617157,0.29892832040786743,0.2405305951833725,0.1779453009366989,0.21267665922641754,0.12591390311717987,0.22907164692878723,0.11238504201173782
of,0.2480744868516922,0.2671096920967102,0.4854315221309662,0.733189046382904,0.2222577929496765,0.22896558046340942,1.0,0.21246914565563202,0.1928233802318573,0.3075267970561981,0.1826142966747284
clean,0.23024043440818787,0.25568848848342896,0.15482157468795776,0.16315147280693054,0.17393526434898376,0.18989375233650208,0.1512346863746643,0.26980721950531006,0.20456713438034058,0.24809987843036652,0.2847605347633362
",",0.22659391164779663,0.36182254552841187,0.4691906273365021,0.4933079481124878,0.17480798065662384,0.22978182137012482,0.4946078956127167,0.22298859059810638,0.24176549911499023,0.3120402991771698,0.31091248989105225
dry,0.15154878795146942,0.23505538702011108,0.2842336893081665,0.24019554257392883,0.23049135506153107,0.17362216114997864,0.202105313539505,0.25649774074554443,0.2395780384540558,0.25908878445625305,0.13395056128501892
air,0.11602716892957687,0.1904066801071167,0.2280944287776947,0.2877824306488037,0.15707185864448547,0.12448793649673462,0.24196814000606537,0.3478984236717224,0.17724217474460602,0.22700221836566925,0.1491677612066269
through,0.2704794108867645,0.2705850303173065,0.27805060148239136,0.44071322679519653,0.3196345865726471,0.23965372145175934,0.3647414743900299,0.27036726474761963,0.1610759049654007,0.20277023315429688,0.16913433372974396
one,0.3213292360305786,0.3110751807689667,0.4544198513031006,0.5514441132545471,0.2463643103837967,0.2033216655254364,0.4999135136604309,0.2215927392244339,0.1586098074913025,0.3009188175201416,0.2673267424106598
bed,0.21156233549118042,0.21828198432922363,0.13076892495155334,0.17281346023082733,0.25884583592414856,0.12619222700595856,0.14428026974201202,0.18137216567993164,0.1571202576160431,0.1570218801498413,0.21065229177474976
of,0.2480744868516922,0.2671096920967102,0.4854315221309662,0.733189046382904,0.2222577929496765,0.22896558046340942,1.0,0.21246914565563202,0.1928233802318573,0.3075267970561981,0.1826142966747284
a,0.29312583804130554,0.2958075702190399,0.658733606338501,0.5829201340675354,0.211503267288208,0.2613512873649597,0.5052502155303955,0.26485589146614075,0.19671310484409332,0.3864384889602661,0.23916715383529663
pair,0.1598973572254181,0.21549217402935028,0.18615111708641052,0.2643369734287262,0.30008259415626526,0.2137695550918579,0.19449220597743988,0.1230008527636528,0.16767774522304535,0.22918204963207245,0.11695868521928787
of,0.2480744868516922,0.2671096920967102,0.4854315221309662,0.733189046382904,0.2222577929496765,0.22896558046340942,1.0,0.21246914565563202,0.1928233802318573,0.3075267970561981,0.1826142966747284
identical,0.2510799169540405,0.24780729413032532,0.21425092220306396,0.2547973096370697,0.18175987899303436,0.21036739647388458,0.2682236433029175,0.20025762915611267,0.17147895693778992,0.24347572028636932,0.17817780375480652
zeolite,0.32405591011047363,0.3656284809112549,0.3470287621021271,0.27273494005203247,0.29263249039649963,0.2298080176115036,0.25105878710746765,0.25297921895980835,0.1966015100479126,0.31308111548423767,0.24997054040431976
molecular,0.2647314667701721,0.17710921168327332,0.2143259346485138,0.23136529326438904,0.24696257710456848,0.28742608428001404,0.28562790155410767,0.28786414861679077,0.1806551069021225,0.16108956933021545,0.1327144205570221
