,on,what,did,tesla,blame,for,the,loss,of,the,initial,money,?
when,0.37706470489501953,0.4700249433517456,0.3228907287120819,0.1504557579755783,0.2635907530784607,0.43402108550071716,0.5091903209686279,0.2679787576198578,0.3757161796092987,0.5091903209686279,0.2781846523284912,0.261506587266922,0.22841128706932068
asked,0.25118568539619446,0.3468177318572998,0.5203380584716797,0.08161038905382156,0.27667397260665894,0.32051798701286316,0.25750473141670227,0.12164171785116196,0.20290979743003845,0.25750473141670227,0.15850113332271576,0.3257831931114197,0.28475281596183777
where,0.37630224227905273,0.4457937180995941,0.24159270524978638,0.12761090695858002,0.16697993874549866,0.38599511981010437,0.5003893971443176,0.1754765659570694,0.38066378235816956,0.5003893971443176,0.22377875447273254,0.2442285567522049,0.24793872237205505
all,0.3832052946090698,0.41981086134910583,0.33943864703178406,0.14510658383369446,0.2718575894832611,0.41144001483917236,0.4860881567001343,0.27725809812545776,0.42798417806625366,0.4860881567001343,0.23543207347393036,0.28202763199806213,0.29575422406196594
the,0.5107308030128479,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.1959904432296753,0.4739971458911896,1.0,0.27898719906806946,0.733189046382904,1.0,0.29837024211883545,0.2699695825576782,0.22068053483963013
money,0.20461611449718475,0.2704482674598694,0.3498571217060089,0.1636640876531601,0.34816083312034607,0.3105318546295166,0.2699695825576782,0.25845128297805786,0.23114095628261566,0.2699695825576782,0.18028847873210907,0.9999998807907104,0.2069680541753769
had,0.36692994832992554,0.23849567770957947,0.540525496006012,0.12050733715295792,0.2714819014072418,0.3270139992237091,0.3875846862792969,0.21993182599544525,0.37755560874938965,0.3875846862792969,0.24295400083065033,0.32399600744247437,0.20728366076946259
gone,0.2378034144639969,0.34073033928871155,0.3055346608161926,0.06798941642045975,0.2663813829421997,0.21840856969356537,0.295327752828598,0.15172402560710907,0.22952912747859955,0.295327752828598,0.23635201156139374,0.23362340033054352,0.2220623642206192
",",0.49057599902153015,0.3087472915649414,0.3015086054801941,0.20599327981472015,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.23328691720962524,0.4946078956127167,0.4933079481124878,0.1954146921634674,0.24156853556632996,0.31091248989105225
tesla,0.16159376502037048,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.11704134941101074,0.13983871042728424,0.1324402391910553,0.08645693212747574,0.18837453424930573,0.1324402391910553,0.19612780213356018,0.1636640876531601,0.10250775516033173
responded,0.26018521189689636,0.36064884066581726,0.3910515010356903,0.11571130901575089,0.40599632263183594,0.27574101090431213,0.22086620330810547,0.1525266170501709,0.18415075540542603,0.22086620330810547,0.28714820742607117,0.21528808772563934,0.254449725151062
by,0.33887791633605957,0.2455483376979828,0.18574509024620056,0.16513796150684357,0.27121785283088684,0.3248702883720398,0.4408751428127289,0.19461268186569214,0.3646814823150635,0.4408751428127289,0.23085512220859528,0.2333964854478836,0.17966607213020325
saying,0.29123881459236145,0.5164517760276794,0.4131317138671875,0.14285065233707428,0.40553468465805054,0.3311728239059448,0.30105578899383545,0.19546428322792053,0.2578328251838684,0.30105578899383545,0.20389382541179657,0.3056366741657257,0.36382168531417847
that,0.42569106817245483,0.6297725439071655,0.47518548369407654,0.22102725505828857,0.3448764681816101,0.4137635827064514,0.5473989248275757,0.26437413692474365,0.41498205065727234,0.5473989248275757,0.3260990381240845,0.3115869462490082,0.32716336846351624
he,0.32403138279914856,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.24209801852703094,0.4540175199508667,0.4571082592010498,0.1636691391468048,0.38706058263778687,0.4571082592010498,0.10719011723995209,0.3266763389110565,0.2089974731206894
was,0.3909217119216919,0.22111038863658905,0.41399896144866943,0.16455206274986267,0.19880381226539612,0.3863949179649353,0.48711544275283813,0.13580112159252167,0.4069072902202606,0.48711544275283813,0.21523623168468475,0.26597723364830017,0.18412111699581146
affected,0.29707828164100647,0.2881362736225128,0.2617346942424774,0.06651735305786133,0.32839906215667725,0.24661961197853088,0.32402780652046204,0.3365474045276642,0.3409542441368103,0.32402780652046204,0.2159186154603958,0.15133123099803925,0.21614891290664673
by,0.33887791633605957,0.2455483376979828,0.18574509024620056,0.16513796150684357,0.27121785283088684,0.3248702883720398,0.4408751428127289,0.19461268186569214,0.3646814823150635,0.4408751428127289,0.23085512220859528,0.2333964854478836,0.17966607213020325
the,0.5107308030128479,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.1959904432296753,0.4739971458911896,1.0,0.27898719906806946,0.733189046382904,1.0,0.29837024211883545,0.2699695825576782,0.22068053483963013
panic,0.18003925681114197,0.16952751576900482,0.20541004836559296,0.117217056453228,0.28557994961738586,0.19550982117652893,0.2075759470462799,0.24581153690814972,0.15276160836219788,0.2075759470462799,0.18272224068641663,0.23636525869369507,0.21352724730968475
of,0.3966929316520691,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.17065608501434326,0.4185989499092102,0.733189046382904,0.26357072591781616,1.0,0.733189046382904,0.25980207324028015,0.23114095628261566,0.1826142966747284
1901,-0.0044535365886986256,-0.07605163753032684,0.00048246048390865326,0.013134386390447617,0.006199139170348644,-0.06310592591762543,0.01573479175567627,-0.011300917714834213,0.09594502300024033,0.01573479175567627,-0.0648367702960968,0.019461030140519142,-0.041070252656936646
",",0.49057599902153015,0.3087472915649414,0.3015086054801941,0.20599327981472015,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.23328691720962524,0.4946078956127167,0.4933079481124878,0.1954146921634674,0.24156853556632996,0.31091248989105225
which,0.4245251417160034,0.5261979103088379,0.2750149369239807,0.2203940600156784,0.22392170131206512,0.44095608592033386,0.6521818041801453,0.29022935032844543,0.5011631846427917,0.6521818041801453,0.350980281829834,0.2905809283256531,0.25814583897590637
he,0.32403138279914856,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.24209801852703094,0.4540175199508667,0.4571082592010498,0.1636691391468048,0.38706058263778687,0.4571082592010498,0.10719011723995209,0.3266763389110565,0.2089974731206894
(,0.28656116127967834,0.2411840260028839,0.18979617953300476,0.2156914919614792,0.17590411007404327,0.3357032239437103,0.33289089798927307,0.13631068170070648,0.35032153129577637,0.33289089798927307,0.18073397874832153,0.14543579518795013,0.40561532974243164
morgan,0.2113943099975586,0.12385152280330658,0.20618073642253876,0.1387946456670761,0.1860320121049881,0.17865847051143646,0.2054959386587143,0.12412005662918091,0.15910735726356506,0.2054959386587143,0.11151724308729172,0.1796204149723053,0.09039338678121567
),0.29937487840652466,0.26259949803352356,0.18584993481636047,0.22692398726940155,0.16599918901920319,0.3639558255672455,0.3456730246543884,0.14463257789611816,0.3680361211299896,0.3456730246543884,0.17818975448608398,0.16383083164691925,0.42300865054130554
had,0.36692994832992554,0.23849567770957947,0.540525496006012,0.12050733715295792,0.2714819014072418,0.3270139992237091,0.3875846862792969,0.21993182599544525,0.37755560874938965,0.3875846862792969,0.24295400083065033,0.32399600744247437,0.20728366076946259
caused,0.25160422921180725,0.22264783084392548,0.2858860194683075,0.05371434986591339,0.3928399085998535,0.1862620860338211,0.24990202486515045,0.3778317868709564,0.29665443301200867,0.24990202486515045,0.24431787431240082,0.19102010130882263,0.20679491758346558
.,0.49257001280784607,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.21665722131729126,0.4726039469242096,0.5934505462646484,0.21266451478004456,0.5352458953857422,0.5934505462646484,0.24195235967636108,0.2570818066596985,0.4130953550338745
