,what,is,the,nickname,for,the,delta,in,the,netherlands,?
since,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.1535091996192932,0.36751601099967957,0.4054957628250122,0.19836899638175964,0.4325680434703827,0.4054957628250122,0.26492464542388916,0.2876587212085724
the,0.42745697498321533,0.5823672413825989,1.0,0.20167101919651031,0.4739971458911896,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.0792507454752922,0.1584572196006775,0.30735138058662415,0.21930839121341705,0.24648422002792358,0.30735138058662415,0.3712500035762787,0.13754533231258392
contributes,0.3393528163433075,0.28037264943122864,0.2711111307144165,0.08858677744865417,0.32125839591026306,0.2711111307144165,0.14904478192329407,0.25514158606529236,0.2711111307144165,0.1772095412015915,0.26828473806381226
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.20828881859779358,0.3906237483024597,0.47635307908058167,0.17283634841442108,0.41416558623313904,0.47635307908058167,0.1654609888792038,0.2107497900724411
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.19932328164577484,0.4185989499092102,0.733189046382904,0.20736707746982574,0.5696388483047485,0.733189046382904,0.24916832149028778,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.20167101919651031,0.4739971458911896,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.22068053483963013
water,0.17456887662410736,0.2879090905189514,0.297396719455719,0.12583695352077484,0.189085453748703,0.297396719455719,0.23893246054649353,0.23966141045093536,0.297396719455719,0.17048881947994232,0.14731885492801666
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.1957998126745224,0.4464869201183319,0.4933079481124878,0.2192559540271759,0.5201468467712402,0.4933079481124878,0.2357385754585266,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.20167101919651031,0.4739971458911896,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.22068053483963013
shorter,0.22753900289535522,0.2704732120037079,0.2848663032054901,0.14129485189914703,0.24041691422462463,0.2848663032054901,0.11870496720075607,0.22906792163848877,0.2848663032054901,0.028942599892616272,0.21036715805530548
term,0.25282326340675354,0.270183801651001,0.2740369141101837,0.21429508924484253,0.2766548991203308,0.2740369141101837,0.01352619007229805,0.27866655588150024,0.2740369141101837,0.11608979851007462,0.1901002675294876
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.0792507454752922,0.1584572196006775,0.30735138058662415,0.21930839121341705,0.24648422002792358,0.30735138058662415,0.3712500035762787,0.13754533231258392
delta,0.11423289775848389,0.22409643232822418,0.22022446990013123,0.12059926241636276,0.14979402720928192,0.22022446990013123,1.0000001192092896,0.21061979234218597,0.22022446990013123,0.06550586968660355,0.14208948612213135
is,0.28837618231773376,1.0,0.5823672413825989,0.23396384716033936,0.43268078565597534,0.5823672413825989,0.22409643232822418,0.5394441485404968,0.5823672413825989,0.12974417209625244,0.22961433231830597
commonly,0.18122613430023193,0.3994327187538147,0.2974449694156647,0.21819010376930237,0.27418190240859985,0.2974449694156647,0.11530624330043793,0.2769457697868347,0.2974449694156647,0.1039186343550682,0.13546277582645416
used,0.27546408772468567,0.3288823366165161,0.3718377649784088,0.15690746903419495,0.4236139953136444,0.3718377649784088,0.10731090605258942,0.3090210556983948,0.3718377649784088,0.17569175362586975,0.22430120408535004
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18442372977733612,0.4726039469242096,0.5934505462646484,0.20923152565956116,0.5591574311256409,0.5934505462646484,0.25686022639274597,0.4130953550338745
