,where,are,some,words,from,the,geordia,dialect,used,?
some,0.39480453729629517,0.6331475377082825,0.9999999403953552,0.31838059425354004,0.35210713744163513,0.4566698372364044,0.18739409744739532,0.2164381742477417,0.43712347745895386,0.2562315762042999
words,0.26497095823287964,0.27760887145996094,0.31838059425354004,1.0000001192092896,0.21781869232654572,0.29205581545829773,0.2230832278728485,0.3703077733516693,0.3472531735897064,0.27074310183525085
used,0.31140151619911194,0.3322218656539917,0.43712347745895386,0.3472531735897064,0.25821518898010254,0.3718377649784088,0.17631322145462036,0.1803702414035797,0.9999998807907104,0.22430120408535004
in,0.5344807505607605,0.3841303884983063,0.4010399878025055,0.20740897953510284,0.4274188280105591,0.6662389636039734,0.2320225089788437,0.19946523010730743,0.3090210556983948,0.20430970191955566
the,0.5003893971443176,0.40399202704429626,0.4566698372364044,0.29205581545829773,0.40150508284568787,1.0,0.2732164263725281,0.18307873606681824,0.3718377649784088,0.22068053483963013
geordie,0.10480095446109772,0.09183666855096817,0.13415896892547607,0.17398031055927277,0.15592865645885468,0.24672424793243408,0.5716174840927124,0.19240224361419678,0.17593702673912048,0.0974646806716919
dialect,0.14768142998218536,0.18661119043827057,0.2164381742477417,0.3703077733516693,0.1651938408613205,0.18307873606681824,0.2328658252954483,1.0,0.1803702414035797,0.11663753539323807
are,0.32389864325523376,1.0,0.6331475377082825,0.27760887145996094,0.2674213647842407,0.40399202704429626,0.12470825761556625,0.18661119043827057,0.3322218656539917,0.24591213464736938
used,0.31140151619911194,0.3322218656539917,0.43712347745895386,0.3472531735897064,0.25821518898010254,0.3718377649784088,0.17631322145462036,0.1803702414035797,0.9999998807907104,0.22430120408535004
elsewhere,0.43946096301078796,0.2872895896434784,0.370857834815979,0.16780662536621094,0.257722944021225,0.33725225925445557,0.15790054202079773,0.23089362680912018,0.203472301363945,0.33915433287620544
in,0.5344807505607605,0.3841303884983063,0.4010399878025055,0.20740897953510284,0.4274188280105591,0.6662389636039734,0.2320225089788437,0.19946523010730743,0.3090210556983948,0.20430970191955566
the,0.5003893971443176,0.40399202704429626,0.4566698372364044,0.29205581545829773,0.40150508284568787,1.0,0.2732164263725281,0.18307873606681824,0.3718377649784088,0.22068053483963013
northern,0.2461140751838684,0.1961788535118103,0.20145535469055176,0.10523425787687302,0.2595764696598053,0.3422943353652954,0.3125128149986267,0.17654722929000854,0.1416221261024475,0.13149388134479523
united,0.23721055686473846,0.16919764876365662,0.22087086737155914,0.14271220564842224,0.27339106798171997,0.34367692470550537,0.25960874557495117,0.07618964463472366,0.2768322229385376,0.17266890406608582
kingdom,0.18143217265605927,0.1453586220741272,0.20661860704421997,0.13939736783504486,0.2127424031496048,0.3143408000469208,0.24289703369140625,0.1620449274778366,0.22746342420578003,0.12927088141441345
.,0.41390106081962585,0.3452940285205841,0.40663889050483704,0.24427732825279236,0.41536515951156616,0.5934505462646484,0.28679025173187256,0.15386012196540833,0.33111312985420227,0.4130953550338745
