,what,state,constitutional,amendments,make,reference,to,the,government,funding,religious,schools,?
government,0.28074538707733154,0.44211944937705994,0.5718100070953369,0.37581881880760193,0.20428502559661865,0.10995852202177048,0.28343796730041504,0.31798112392425537,1.0000001192092896,0.44323596358299255,0.3646554946899414,0.3405122756958008,0.18851417303085327
funding,0.2725590467453003,0.2420961707830429,0.3000446856021881,0.29815515875816345,0.22220978140830994,0.22880427539348602,0.3602164685726166,0.3006567358970642,0.44323596358299255,1.0,0.17955684661865234,0.3070438504219055,0.1842934638261795
for,0.3017193675041199,0.19460363686084747,0.23558230698108673,0.23369145393371582,0.386745423078537,0.2865558862686157,0.4451248347759247,0.4739971458911896,0.23902073502540588,0.34661975502967834,0.21258823573589325,0.2320515662431717,0.264628142118454
religious,0.26794421672821045,0.18839411437511444,0.3770409822463989,0.25252777338027954,0.18038733303546906,0.11992575973272324,0.24161745607852936,0.22950971126556396,0.3646554946899414,0.17955684661865234,0.9999998807907104,0.3179125487804413,0.15727058053016663
schools,0.1820785105228424,0.2832874357700348,0.2697174847126007,0.28201285004615784,0.19170349836349487,0.19511693716049194,0.2362271547317505,0.22905772924423218,0.3405122756958008,0.3070438504219055,0.3179125487804413,1.0,0.18349280953407288
is,0.28837618231773376,0.2627358138561249,0.2099083513021469,0.15870875120162964,0.3331545889377594,0.2599010765552521,0.42745086550712585,0.5823672413825989,0.20343491435050964,0.17921492457389832,0.1584658920764923,0.2022145688533783,0.22961433231830597
either,0.3851809501647949,0.1951851099729538,0.19665032625198364,0.2400147020816803,0.38595277070999146,0.23524580895900726,0.4178585708141327,0.3795609474182129,0.1607063263654709,0.1766541302204132,0.15330900251865387,0.16752998530864716,0.31498292088508606
subject,0.3828662037849426,0.230435311794281,0.33736690878868103,0.34029215574264526,0.2619546353816986,0.33074262738227844,0.3198980987071991,0.2387523651123047,0.2287435382604599,0.2974731922149658,0.2526249885559082,0.18936215341091156,0.33952999114990234
to,0.455847829580307,0.25557461380958557,0.2574991285800934,0.31400617957115173,0.497876912355423,0.25784367322921753,1.0,0.535392165184021,0.28343796730041504,0.3602164685726166,0.24161745607852936,0.2362271547317505,0.29463258385658264
restrictions,0.32496413588523865,0.17413358390331268,0.3355889618396759,0.4591023027896881,0.34666237235069275,0.23732198774814606,0.36881786584854126,0.2840818166732788,0.28521573543548584,0.40446388721466064,0.3139805793762207,0.2973245084285736,0.28638559579849243
