,who,was,the,founder,of,the,oracle,corporation,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.1495717167854309,0.5696388483047485,0.6662389636039734,0.11193641275167465,0.16382643580436707,0.20430970191955566
business,0.25227707624435425,0.21382471919059753,0.2389037162065506,0.2676970958709717,0.23985227942466736,0.2389037162065506,0.1919008195400238,0.4774336516857147,0.1545659303665161
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2440452128648758,0.4946078956127167,0.4933079481124878,0.21914266049861908,0.23622389137744904,0.31091248989105225
notable,0.23320899903774261,0.175777867436409,0.20948168635368347,0.1807575523853302,0.1985267549753189,0.20948168635368347,0.15384820103645325,0.1515936553478241,0.31928157806396484
alumni,0.1722409725189209,0.1874379962682724,0.22524002194404602,0.2159617841243744,0.27771928906440735,0.22524002194404602,0.1266193836927414,0.20593005418777466,0.130934476852417
include,0.15078489482402802,0.10680413991212845,0.2951717972755432,0.12647421658039093,0.37431180477142334,0.2951717972755432,0.07000251859426498,0.11653731018304825,0.14925788342952728
microsoft,0.18094341456890106,0.20097550749778748,0.23993754386901855,0.17694011330604553,0.19447508454322815,0.23993754386901855,0.4300435185432434,0.3984951674938202,0.23943206667900085
ceo,0.18829603493213654,0.2460775375366211,0.16098161041736603,0.5451076626777649,0.14724358916282654,0.16098161041736603,0.24994195997714996,0.48641568422317505,0.13378572463989258
satya,0.3329384922981262,0.23506943881511688,0.16841347515583038,0.2870056927204132,0.1976732611656189,0.16841347515583038,0.257225900888443,0.2357741892337799,0.17688582837581635
nadella,0.20665903389453888,0.30140432715415955,0.21126766502857208,0.20145411789417267,0.23752160370349884,0.21126766502857208,0.19374053180217743,0.2167176455259323,0.14431720972061157
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2440452128648758,0.4946078956127167,0.4933079481124878,0.21914266049861908,0.23622389137744904,0.31091248989105225
oracle,0.2579348683357239,0.21756792068481445,0.24501000344753265,0.2150416225194931,0.18395070731639862,0.24501000344753265,0.9999999403953552,0.37022534012794495,0.1616489589214325
corporation,0.15684109926223755,0.2535845935344696,0.26837587356567383,0.36414578557014465,0.22095033526420593,0.26837587356567383,0.37022534012794495,1.0000001192092896,0.13731837272644043
founder,0.28227898478507996,0.3223331570625305,0.24715600907802582,1.0,0.25088685750961304,0.24715600907802582,0.2150416225194931,0.36414578557014465,0.13665783405303955
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22729523479938507,0.5116966962814331,0.5171257257461548,0.1852247565984726,0.2193327248096466,0.20544172823429108
the,0.3733934462070465,0.48711544275283813,1.0,0.24715600907802582,0.733189046382904,1.0,0.24501000344753265,0.26837587356567383,0.22068053483963013
third,0.20739443600177765,0.3460187017917633,0.4229298532009125,0.1416163295507431,0.30602210760116577,0.4229298532009125,0.11405903100967407,0.10707108676433563,0.15394791960716248
richest,0.262132465839386,0.2748122215270996,0.27766263484954834,0.3095632791519165,0.3122171461582184,0.27766263484954834,0.2334311604499817,0.28913870453834534,0.15691500902175903
man,0.3476670980453491,0.3030987083911896,0.23171134293079376,0.12799526751041412,0.16490690410137177,0.23171134293079376,0.24833358824253082,0.18998007476329803,0.2528940737247467
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.1495717167854309,0.5696388483047485,0.6662389636039734,0.11193641275167465,0.16382643580436707,0.20430970191955566
america,0.1830417811870575,0.2850865423679352,0.37090015411376953,0.12470302730798721,0.28803038597106934,0.37090015411376953,0.1584354192018509,0.22734983265399933,0.19333907961845398
larry,0.22541575133800507,0.22989840805530548,0.19822339713573456,0.22751331329345703,0.10949019342660904,0.19822339713573456,0.19646655023097992,0.22625452280044556,0.17208139598369598
ellison,0.2477196902036667,0.30942025780677795,0.2653115689754486,0.22242729365825653,0.21392963826656342,0.2653115689754486,0.27452072501182556,0.3190380036830902,0.2263619601726532
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2440452128648758,0.4946078956127167,0.4933079481124878,0.21914266049861908,0.23622389137744904,0.31091248989105225
goldman,0.17669284343719482,0.25087612867355347,0.21957680583000183,0.2218276709318161,0.17767997086048126,0.21957680583000183,0.12694649398326874,0.22599047422409058,0.19655320048332214
sachs,0.24219267070293427,0.1901227831840515,0.22452358901500702,0.24595846235752106,0.1838475912809372,0.22452358901500702,0.16117800772190094,0.2740754783153534,0.20784007012844086
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22729523479938507,0.5116966962814331,0.5171257257461548,0.1852247565984726,0.2193327248096466,0.20544172823429108
mf,0.16323484480381012,0.20222249627113342,0.15809521079063416,0.23808656632900238,0.09154163300991058,0.15809521079063416,0.10153689980506897,0.12211740761995316,0.17066726088523865
global,0.10570837557315826,0.14278262853622437,0.17898012697696686,0.15134260058403015,0.19114547967910767,0.17898012697696686,0.19181948900222778,0.31560108065605164,0.22985349595546722
ceo,0.18829603493213654,0.2460775375366211,0.16098161041736603,0.5451076626777649,0.14724358916282654,0.16098161041736603,0.24994195997714996,0.48641568422317505,0.13378572463989258
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.23938928544521332,0.3886612355709076,0.48381632566452026,0.15036319196224213,0.19784951210021973,0.27043893933296204
well,0.3480316996574402,0.3130364418029785,0.42630070447921753,0.1695803850889206,0.3343164324760437,0.42630070447921753,0.1938324272632599,0.17152681946754456,0.24815571308135986
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.23938928544521332,0.3886612355709076,0.48381632566452026,0.15036319196224213,0.19784951210021973,0.27043893933296204
former,0.25351381301879883,0.2544213533401489,0.2251449078321457,0.2734270393848419,0.30415382981300354,0.2251449078321457,0.112709641456604,0.22402556240558624,0.10570605844259262
governor,0.20484673976898193,0.25802454352378845,0.19955585896968842,0.21005438268184662,0.19877229630947113,0.19955585896968842,0.16646808385849,0.19454340636730194,0.135940283536911
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.25088685750961304,1.0,0.733189046382904,0.18395070731639862,0.22095033526420593,0.1826142966747284
new,0.2378052920103073,0.2748313844203949,0.3845241069793701,0.09884213656187057,0.343457967042923,0.3845241069793701,0.1958499252796173,0.20208792388439178,0.14782847464084625
