,the,academic,body,of,the,university,is,made,up,of,how,many,divisions,of,graduate,?
the,1.0,0.15387672185897827,0.31682634353637695,0.733189046382904,1.0,0.263973206281662,0.5823672413825989,0.3885267674922943,0.38423117995262146,0.733189046382904,0.33890387415885925,0.4335206151008606,0.3125615119934082,0.733189046382904,0.1983441710472107,0.22068053483963013
academic,0.15387672185897827,0.9999998807907104,0.13969147205352783,0.20802809298038483,0.15387672185897827,0.4402775466442108,0.19421102106571198,0.10443360358476639,0.14102911949157715,0.20802809298038483,0.144212007522583,0.2163168489933014,0.17429018020629883,0.20802809298038483,0.4876050651073456,0.11011603474617004
bodies,0.2745959758758545,0.11708784103393555,0.6635226607322693,0.2732889950275421,0.2745959758758545,0.13843008875846863,0.22389735281467438,0.1733056753873825,0.22199474275112152,0.2732889950275421,0.22852851450443268,0.31160593032836914,0.15789926052093506,0.2732889950275421,0.1489073932170868,0.18285469710826874
of,0.733189046382904,0.20802809298038483,0.25063133239746094,1.0,0.733189046382904,0.30646374821662903,0.4854315221309662,0.33167365193367004,0.32945773005485535,1.0,0.2480744868516922,0.37253960967063904,0.3138268291950226,1.0,0.21445734798908234,0.1826142966747284
the,1.0,0.15387672185897827,0.31682634353637695,0.733189046382904,1.0,0.263973206281662,0.5823672413825989,0.3885267674922943,0.38423117995262146,0.733189046382904,0.33890387415885925,0.4335206151008606,0.3125615119934082,0.733189046382904,0.1983441710472107,0.22068053483963013
university,0.263973206281662,0.4402775466442108,0.08977487683296204,0.30646374821662903,0.263973206281662,1.0,0.20346471667289734,0.143972709774971,0.1440795660018921,0.30646374821662903,0.12992997467517853,0.19385361671447754,0.16864295303821564,0.30646374821662903,0.6244588494300842,0.11887256056070328
of,0.733189046382904,0.20802809298038483,0.25063133239746094,1.0,0.733189046382904,0.30646374821662903,0.4854315221309662,0.33167365193367004,0.32945773005485535,1.0,0.2480744868516922,0.37253960967063904,0.3138268291950226,1.0,0.21445734798908234,0.1826142966747284
chicago,0.27360326051712036,0.2689683437347412,0.14458529651165009,0.18391016125679016,0.27360326051712036,0.29005804657936096,0.12146236002445221,0.13419468700885773,0.23031698167324066,0.18391016125679016,0.2247859537601471,0.1944255828857422,0.04089387133717537,0.18391016125679016,0.21318599581718445,0.16446958482265472
consist,0.2698076069355011,0.1292879432439804,0.19068965315818787,0.34433460235595703,0.2698076069355011,0.07781687378883362,0.31961917877197266,0.29173800349235535,0.29445502161979675,0.34433460235595703,0.18322843313217163,0.24257488548755646,0.2229141891002655,0.34433460235595703,0.06106956675648689,0.04707268625497818
of,0.733189046382904,0.20802809298038483,0.25063133239746094,1.0,0.733189046382904,0.30646374821662903,0.4854315221309662,0.33167365193367004,0.32945773005485535,1.0,0.2480744868516922,0.37253960967063904,0.3138268291950226,1.0,0.21445734798908234,0.1826142966747284
