,how,common,was,the,form,of,corporal,punishment,in,the,past,?
in,0.2601168751716614,0.23149342834949493,0.45514053106307983,0.6662389636039734,0.2815987169742584,0.5696388483047485,0.15530824661254883,0.19258901476860046,1.0,0.6662389636039734,0.24275542795658112,0.20430970191955566
past,0.38227924704551697,0.20091354846954346,0.17324605584144592,0.2747827172279358,0.17304064333438873,0.27417802810668945,0.09031546860933304,0.19864968955516815,0.24275542795658112,0.2747827172279358,0.9999999403953552,0.2598046660423279
times,0.2685738503932953,0.14813515543937683,0.2859917879104614,0.29093852639198303,0.10354568064212799,0.24352745711803436,0.11097025871276855,0.1198979988694191,0.2427823841571808,0.29093852639198303,0.31272435188293457,0.18880689144134521
",",0.22659391164779663,0.2497023195028305,0.45456063747406006,0.4933079481124878,0.21805599331855774,0.4946078956127167,0.2217067927122116,0.2216428816318512,0.5201468467712402,0.4933079481124878,0.25483980774879456,0.31091248989105225
corporal,0.1337403804063797,0.09633602201938629,0.19440697133541107,0.22063873708248138,0.09778188169002533,0.18547691404819489,1.0,0.34936437010765076,0.15530824661254883,0.22063873708248138,0.09031546860933304,0.1554132103919983
punishment,0.2668728828430176,0.15432219207286835,0.2287234514951706,0.2503047287464142,0.16059692203998566,0.2056395560503006,0.34936437010765076,1.0000001192092896,0.19258901476860046,0.2503047287464142,0.19864968955516815,0.23842233419418335
(,0.1676948219537735,0.19903890788555145,0.2980341613292694,0.33289089798927307,0.1860738843679428,0.35032153129577637,0.19582751393318176,0.11360079050064087,0.3087427020072937,0.33289089798927307,0.19374185800552368,0.40561532974243164
spanking,0.36380812525749207,0.24491021037101746,0.2654251754283905,0.34501469135284424,0.15463419258594513,0.2931060791015625,0.3001009523868561,0.3597797155380249,0.2382936179637909,0.34501469135284424,0.27451997995376587,0.3340514600276947
or,0.3378981947898865,0.39668911695480347,0.2330796718597412,0.4174870550632477,0.3818044364452362,0.3792596757411957,0.1871897280216217,0.23232755064964294,0.3586423695087433,0.4174870550632477,0.3040870130062103,0.32389625906944275
paddling,0.25302639603614807,0.274933397769928,0.15017777681350708,0.2686643898487091,0.22572475671768188,0.20317010581493378,0.19708269834518433,0.16248978674411774,0.21625949442386627,0.2686643898487091,0.20451903343200684,0.17293263971805573
or,0.3378981947898865,0.39668911695480347,0.2330796718597412,0.4174870550632477,0.3818044364452362,0.3792596757411957,0.1871897280216217,0.23232755064964294,0.3586423695087433,0.4174870550632477,0.3040870130062103,0.32389625906944275
caning,0.28903043270111084,0.24752385914325714,0.277184396982193,0.402788907289505,0.18910770118236542,0.30114251375198364,0.25296467542648315,0.26914817094802856,0.34160810708999634,0.402788907289505,0.28257009387016296,0.19453231990337372
or,0.3378981947898865,0.39668911695480347,0.2330796718597412,0.4174870550632477,0.3818044364452362,0.3792596757411957,0.1871897280216217,0.23232755064964294,0.3586423695087433,0.4174870550632477,0.3040870130062103,0.32389625906944275
strapping,0.23491597175598145,0.24201512336730957,0.14457416534423828,0.2595512568950653,0.2068878710269928,0.18132422864437103,0.32348138093948364,0.23771212995052338,0.21316932141780853,0.2595512568950653,0.21524138748645782,0.18098504841327667
or,0.3378981947898865,0.39668911695480347,0.2330796718597412,0.4174870550632477,0.3818044364452362,0.3792596757411957,0.1871897280216217,0.23232755064964294,0.3586423695087433,0.4174870550632477,0.3040870130062103,0.32389625906944275
birching,0.22465987503528595,0.24533715844154358,0.16390171647071838,0.27871978282928467,0.18193556368350983,0.26146265864372253,0.23979590833187103,0.1903134435415268,0.25222575664520264,0.27871978282928467,0.17629671096801758,0.14374473690986633
the,0.33890387415885925,0.2705984115600586,0.48711544275283813,1.0,0.29286009073257446,0.733189046382904,0.22063873708248138,0.2503047287464142,0.6662389636039734,1.0,0.2747827172279358,0.22068053483963013
student,0.22541755437850952,0.09404443949460983,0.26442357897758484,0.21259291470050812,0.12121594697237015,0.20310284197330475,0.1457492709159851,0.14649443328380585,0.254856139421463,0.21259291470050812,0.18726301193237305,0.13282090425491333
in,0.2601168751716614,0.23149342834949493,0.45514053106307983,0.6662389636039734,0.2815987169742584,0.5696388483047485,0.15530824661254883,0.19258901476860046,1.0,0.6662389636039734,0.24275542795658112,0.20430970191955566
order,0.22134430706501007,0.17416052520275116,0.16897162795066833,0.3284194767475128,0.17647753655910492,0.31287699937820435,0.14793835580348969,0.1545315384864807,0.24184700846672058,0.3284194767475128,0.19536180794239044,0.13725648820400238
to,0.44169697165489197,0.21109338104724884,0.3636345863342285,0.535392165184021,0.2772196829319,0.41548454761505127,0.15775661170482635,0.208286851644516,0.45010748505592346,0.535392165184021,0.3031400740146637,0.29463258385658264
cause,0.32993361353874207,0.30202189087867737,0.1555917114019394,0.2551237642765045,0.26608672738075256,0.25979894399642944,0.08071175217628479,0.2746908664703369,0.24822883307933807,0.2551237642765045,0.2579386830329895,0.240532785654068
physical,0.3465515077114105,0.20884506404399872,0.15173566341400146,0.20230218768119812,0.20433790981769562,0.3124530017375946,0.1911938488483429,0.28574132919311523,0.20687337219715118,0.20230218768119812,0.164244145154953,0.11781801283359528
pain,0.2524952292442322,0.19791561365127563,0.15422336757183075,0.20108363032341003,0.12562209367752075,0.19741584360599518,0.21623079478740692,0.38484957814216614,0.17900705337524414,0.20108363032341003,0.23194937407970428,0.2135392427444458
),0.17939934134483337,0.19139838218688965,0.3267642855644226,0.3456730246543884,0.20926380157470703,0.3680361211299896,0.18031108379364014,0.12738631665706635,0.3326910734176636,0.3456730246543884,0.21141105890274048,0.42300865054130554
was,0.16678167879581451,0.0880795493721962,1.0000001192092896,0.48711544275283813,0.15690121054649353,0.4069072902202606,0.19440697133541107,0.2287234514951706,0.45514053106307983,0.48711544275283813,0.17324605584144592,0.18412111699581146
one,0.3213292360305786,0.2715461850166321,0.3752199709415436,0.5514441132545471,0.2667044997215271,0.4999135136604309,0.16331841051578522,0.24502627551555634,0.4129433035850525,0.5514441132545471,0.3139719069004059,0.2673267424106598
of,0.2480744868516922,0.2949881851673126,0.4069072902202606,0.733189046382904,0.29600051045417786,1.0,0.18547691404819489,0.2056395560503006,0.5696388483047485,0.733189046382904,0.27417802810668945,0.1826142966747284
the,0.33890387415885925,0.2705984115600586,0.48711544275283813,1.0,0.29286009073257446,0.733189046382904,0.22063873708248138,0.2503047287464142,0.6662389636039734,1.0,0.2747827172279358,0.22068053483963013
most,0.311336874961853,0.42714235186576843,0.29933857917785645,0.47635307908058167,0.2929508090019226,0.4178851246833801,0.11076462268829346,0.17340581119060516,0.41416558623313904,0.47635307908058167,0.27391424775123596,0.2107497900724411
common,0.17140580713748932,0.9999998807907104,0.0880795493721962,0.2705984115600586,0.3049631416797638,0.2949881851673126,0.09633602201938629,0.15432219207286835,0.23149342834949493,0.2705984115600586,0.20091354846954346,0.20434872806072235
forms,0.17325511574745178,0.3259631395339966,0.1644451767206192,0.2950737178325653,0.6824371218681335,0.33835989236831665,0.18189074099063873,0.19027894735336304,0.26377561688423157,0.2950737178325653,0.2424577921628952,0.1196754202246666
of,0.2480744868516922,0.2949881851673126,0.4069072902202606,0.733189046382904,0.29600051045417786,1.0,0.18547691404819489,0.2056395560503006,0.5696388483047485,0.733189046382904,0.27417802810668945,0.1826142966747284
school,0.11585085093975067,0.13768410682678223,0.25740107893943787,0.22953221201896667,0.1298884153366089,0.2391800880432129,0.19004926085472107,0.17317719757556915,0.26157811284065247,0.22953221201896667,0.16196513175964355,0.15091250836849213
discipline,0.2309175431728363,0.10198914259672165,0.19787335395812988,0.1981438249349594,0.19285772740840912,0.2260950356721878,0.22956888377666473,0.3168984055519104,0.19738538563251495,0.1981438249349594,0.16698211431503296,0.06836310029029846
throughout,0.2546801269054413,0.29555049538612366,0.2373686283826828,0.4158564507961273,0.19070130586624146,0.35374847054481506,0.17230194807052612,0.17425307631492615,0.46596065163612366,0.4158564507961273,0.2852495014667511,0.12665234506130219
much,0.46556615829467773,0.31896495819091797,0.2580166161060333,0.35023224353790283,0.2030525505542755,0.2671096920967102,0.09599950909614563,0.2709479331970215,0.2725222110748291,0.35023224353790283,0.2613849341869354,0.23442231118679047
of,0.2480744868516922,0.2949881851673126,0.4069072902202606,0.733189046382904,0.29600051045417786,1.0,0.18547691404819489,0.2056395560503006,0.5696388483047485,0.733189046382904,0.27417802810668945,0.1826142966747284
the,0.33890387415885925,0.2705984115600586,0.48711544275283813,1.0,0.29286009073257446,0.733189046382904,0.22063873708248138,0.2503047287464142,0.6662389636039734,1.0,0.2747827172279358,0.22068053483963013
world,0.25969967246055603,0.1615801453590393,0.3097524344921112,0.33604270219802856,0.09593309462070465,0.2828933000564575,0.15341432392597198,0.13142745196819305,0.3038199245929718,0.33604270219802856,0.2114093154668808,0.17579582333564758
