,what,was,tesla,'s,friends,',theory,as,to,what,became,of,him,?
in,0.30808621644973755,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.15388092398643494,0.4158826768398285,0.16955126821994781,0.3887844979763031,0.45010748505592346,0.30808621644973755,0.31047213077545166,0.5696388483047485,0.2284061461687088,0.20430970191955566
december,0.19304980337619781,0.41127854585647583,0.10906380414962769,-0.06368480622768402,0.234096497297287,0.31441327929496765,0.10713767260313034,0.263606458902359,0.21181435883045197,0.19304980337619781,0.21714653074741364,0.1503814309835434,0.2173958718776703,0.2480352818965912
1878,0.06034142151474953,-0.08466548472642899,0.013019487261772156,0.007061174605041742,0.09644028544425964,0.054486531764268875,0.029917266219854355,0.008541532792150974,-0.013903154991567135,0.06034142151474953,-0.10058102011680603,-0.04301106929779053,0.035110075026750565,0.08696702867746353
",",0.3087472915649414,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.24699902534484863,0.5178600549697876,0.18095813691616058,0.48816442489624023,0.44245919585227966,0.3087472915649414,0.2798398435115814,0.4946078956127167,0.31121695041656494,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.09542866796255112,0.12168006598949432,0.25004854798316956,0.10285310447216034,0.17548894882202148,0.23221199214458466,0.12976884841918945,0.18837453424930573,0.14682093262672424,0.10250775516033173
left,0.2442072629928589,0.21956826746463776,0.0739469900727272,0.0003564352518878877,0.20018945634365082,0.2038896083831787,0.10591989010572433,0.24601076543331146,0.2724500000476837,0.2442072629928589,0.25370094180107117,0.2218635529279709,0.21821659803390503,0.13251960277557373
graz,0.1652703881263733,0.22688491642475128,0.27265462279319763,0.025466052815318108,0.13151191174983978,0.1739274114370346,0.15321502089500427,0.14757908880710602,0.1689763069152832,0.1652703881263733,0.2677265405654907,0.15805231034755707,0.18263158202171326,0.19033589959144592
and,0.31309178471565247,0.3740963041782379,0.19560420513153076,0.06895173341035843,0.3389349579811096,0.3053182065486908,0.1765792816877365,0.49487000703811646,0.48971283435821533,0.31309178471565247,0.31226563453674316,0.5116966962814331,0.35759612917900085,0.20544172823429108
severed,0.10068795084953308,0.29308393597602844,0.046775151044130325,-0.004154205322265625,0.15480895340442657,0.13754147291183472,0.04695875197649002,0.21325866878032684,0.20612308382987976,0.10068795084953308,0.23362909257411957,0.24596576392650604,0.23410069942474365,0.08613809198141098
all,0.41981086134910583,0.23179835081100464,0.14510658383369446,0.03181743621826172,0.2654925286769867,0.2416357547044754,0.21550370752811432,0.33195313811302185,0.42520734667778015,0.41981086134910583,0.21539275348186493,0.42798417806625366,0.34453654289245605,0.29575422406196594
