,what,was,one,example,of,a,non-french,painting,was,included,in,the,jones,bequest,of,1882,?
several,0.22446060180664062,0.25396689772605896,0.42709240317344666,0.30008766055107117,0.3271615505218506,0.29992109537124634,0.316335529088974,0.15572282671928406,0.25396689772605896,0.3810957968235016,0.39405709505081177,0.40559855103492737,0.1127418577671051,0.21115604043006897,0.3271615505218506,-0.11622747033834457,0.15595775842666626
french,0.17393042147159576,0.2523815333843231,0.18462896347045898,0.15361745655536652,0.19450366497039795,0.24285779893398285,0.8647828102111816,0.18417279422283173,0.2523815333843231,0.13618244230747223,0.22093388438224792,0.2555147111415863,0.11285733431577682,0.12739461660385132,0.19450366497039795,-0.07793588191270828,0.1386883556842804
paintings,0.22357428073883057,0.21676096320152283,0.21648649871349335,0.2585013806819916,0.21768251061439514,0.15623857080936432,0.25809285044670105,0.8846719861030579,0.21676096320152283,0.15336725115776062,0.2264205515384674,0.2167874127626419,0.140014186501503,0.2567296326160431,0.21768251061439514,0.008616939187049866,0.1866389960050583
entered,0.14647741615772247,0.3258320689201355,0.21493403613567352,0.17174319922924042,0.2438427358865738,0.24757324159145355,0.19295120239257812,0.15585555136203766,0.3258320689201355,0.2750586271286011,0.31345370411872864,0.3258282542228699,0.14584630727767944,0.17839884757995605,0.2438427358865738,-0.15187011659145355,0.10335487127304077
the,0.42745697498321533,0.48711544275283813,0.5514441132545471,0.3755223751068115,0.733189046382904,0.5829201340675354,0.29699745774269104,0.20519959926605225,0.48711544275283813,0.3825419843196869,0.6662389636039734,1.0,0.24446700513362885,0.27512025833129883,0.733189046382904,-0.17908993363380432,0.22068053483963013
collection,0.215459942817688,0.1743653565645218,0.29259923100471497,0.21957014501094818,0.2915455996990204,0.24716788530349731,0.200322687625885,0.30125412344932556,0.1743653565645218,0.38600611686706543,0.23004686832427979,0.25281965732574463,0.18541675806045532,0.2727102041244507,0.2915455996990204,0.01722794398665428,0.20069393515586853
as,0.31749409437179565,0.3677520453929901,0.3954789340496063,0.35903409123420715,0.3886612355709076,0.39550232887268066,0.2884460389614105,0.17950968444347382,0.3677520453929901,0.34162476658821106,0.3887844979763031,0.48381632566452026,0.21983103454113007,0.294470876455307,0.3886612355709076,-0.06312896311283112,0.27043893933296204
part,0.3476244807243347,0.3407018780708313,0.38682618737220764,0.2808217406272888,0.452393114566803,0.3994528353214264,0.18984217941761017,0.13297633826732635,0.3407018780708313,0.40727710723876953,0.4499994218349457,0.527681291103363,0.16420887410640717,0.21128502488136292,0.452393114566803,-0.20056968927383423,0.08557961881160736
of,0.33290785551071167,0.4069072902202606,0.4999135136604309,0.3570667505264282,1.0,0.5052502155303955,0.2606109380722046,0.22635287046432495,0.4069072902202606,0.4391688108444214,0.5696388483047485,0.733189046382904,0.2007877230644226,0.30752936005592346,1.0,-0.16217687726020813,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.5514441132545471,0.3755223751068115,0.733189046382904,0.5829201340675354,0.29699745774269104,0.20519959926605225,0.48711544275283813,0.3825419843196869,0.6662389636039734,1.0,0.24446700513362885,0.27512025833129883,0.733189046382904,-0.17908993363380432,0.22068053483963013
260,0.09550680220127106,0.03220289945602417,-0.007639305666089058,0.011622631922364235,-0.03095516562461853,0.10970059782266617,0.005549180321395397,0.011723232455551624,0.03220289945602417,-0.02225986123085022,0.08211222290992737,0.011885111220180988,0.03228139504790306,0.08301320672035217,-0.03095516562461853,0.04313721880316734,0.22087180614471436
paintings,0.22357428073883057,0.21676096320152283,0.21648649871349335,0.2585013806819916,0.21768251061439514,0.15623857080936432,0.25809285044670105,0.8846719861030579,0.21676096320152283,0.15336725115776062,0.2264205515384674,0.2167874127626419,0.140014186501503,0.2567296326160431,0.21768251061439514,0.008616939187049866,0.1866389960050583
and,0.31309178471565247,0.3740963041782379,0.42438167333602905,0.35305824875831604,0.5116966962814331,0.3739250600337982,0.3833807110786438,0.21342292428016663,0.3740963041782379,0.3643590211868286,0.4954058527946472,0.5171257257461548,0.26914161443710327,0.29343608021736145,0.5116966962814331,-0.14050355553627014,0.20544172823429108
miniatures,0.19324223697185516,0.11972815543413162,0.24401725828647614,0.2611405551433563,0.22968396544456482,0.2800702452659607,0.20421037077903748,0.32253772020339966,0.11972815543413162,0.22689764201641083,0.22277434170246124,0.2262277603149414,0.12314142286777496,0.17194920778274536,0.22968396544456482,-0.03515452519059181,0.19297140836715698
(,0.2411840260028839,0.2980341613292694,0.2922096848487854,0.23614145815372467,0.35032153129577637,0.3206180930137634,0.31232738494873047,0.12115065008401871,0.2980341613292694,0.20944266021251678,0.3087427020072937,0.33289089798927307,0.19647055864334106,0.2408660650253296,0.35032153129577637,0.06038593873381615,0.40561532974243164
not,0.5449194312095642,0.2888734042644501,0.3642125129699707,0.4156745672225952,0.3307090103626251,0.3791346549987793,0.29727110266685486,0.18216988444328308,0.2888734042644501,0.26896724104881287,0.3403114080429077,0.4310511648654938,0.1240987628698349,0.2177715003490448,0.3307090103626251,0.010379753075540066,0.41942933201789856
all,0.41981086134910583,0.23179835081100464,0.4628787636756897,0.3405359387397766,0.42798417806625366,0.2696802616119385,0.28777191042900085,0.11600051075220108,0.23179835081100464,0.35182762145996094,0.3335905969142914,0.4860881567001343,0.15088866651058197,0.16126669943332672,0.42798417806625366,-0.016496075317263603,0.29575422406196594
