,sleep,hormone,release,supports,formation,of,immune,memory,by,initiating,what,immune,response,?
this,0.20745596289634705,0.25759357213974,0.28877994418144226,0.3380231261253357,0.3199435770511627,0.45148900151252747,0.2550543546676636,0.1818937510251999,0.38438332080841064,0.3483646810054779,0.5489566326141357,0.2550543546676636,0.37390729784965515,0.3155723512172699
milieu,0.12635141611099243,0.19167371094226837,0.06397390365600586,0.1966228187084198,0.28557872772216797,0.24304021894931793,0.22313804924488068,0.14707879722118378,0.22480419278144836,0.16525767743587494,0.1542757749557495,0.22313804924488068,0.0813709944486618,0.16301631927490234
is,0.14102518558502197,0.22903338074684143,0.18082810938358307,0.28216952085494995,0.25176525115966797,0.4854315221309662,0.2092347890138626,0.2188194841146469,0.3899846076965332,0.14307579398155212,0.28837618231773376,0.2092347890138626,0.21022158861160278,0.22961433231830597
also,0.2535977363586426,0.243292897939682,0.23109643161296844,0.2860255241394043,0.1960420310497284,0.4924938678741455,0.23907321691513062,0.2095860242843628,0.3824189305305481,0.2983589172363281,0.42747777700424194,0.23907321691513062,0.2597503960132599,0.21848613023757935
thought,0.2578860819339752,0.17899227142333984,0.13131672143936157,0.1927819848060608,0.19176051020622253,0.34673458337783813,0.26058298349380493,0.14974629878997803,0.30952954292297363,0.2332286685705185,0.4469435214996338,0.26058298349380493,0.25822561979293823,0.2600135803222656
to,0.22335325181484222,0.190473273396492,0.2868979573249817,0.22445392608642578,0.21429739892482758,0.41548454761505127,0.2541976273059845,0.19370511174201965,0.33534231781959534,0.2895728051662445,0.455847829580307,0.2541976273059845,0.277526319026947,0.29463258385658264
support,0.17291849851608276,0.1984030157327652,0.2227146178483963,0.8051601648330688,0.1701764166355133,0.2307697981595993,0.21301938593387604,0.16205546259880066,0.16184203326702118,0.33235061168670654,0.2797985076904297,0.21301938593387604,0.3385372757911682,0.22626608610153198
the,0.20454104244709015,0.22626186907291412,0.2814774513244629,0.2929544150829315,0.33687281608581543,0.733189046382904,0.21364226937294006,0.1785092055797577,0.4408751428127289,0.33843520283699036,0.42745697498321533,0.21364226937294006,0.28909924626350403,0.22068053483963013
formation,0.11106931418180466,0.19658434391021729,0.20282670855522156,0.20703135430812836,1.0000001192092896,0.2957320809364319,0.2565329968929291,0.14636336266994476,0.14373603463172913,0.34908345341682434,0.16291823983192444,0.2565329968929291,0.22184374928474426,0.09831923991441727
of,0.20480428636074066,0.19605669379234314,0.1866096556186676,0.29851028323173523,0.2957320809364319,1.0,0.16620753705501556,0.17919406294822693,0.3646814823150635,0.3090760409832001,0.33290785551071167,0.16620753705501556,0.21864040195941925,0.1826142966747284
long-lasting,0.26535433530807495,0.29413077235221863,0.26054710149765015,0.23801939189434052,0.3243750035762787,0.3786802291870117,0.26654577255249023,0.2782596945762634,0.25815755128860474,0.2855832278728485,0.27793970704078674,0.26654577255249023,0.2809682786464691,0.2250737100839615
immune,0.20580315589904785,0.456246018409729,0.20133273303508759,0.1651136577129364,0.2565329968929291,0.16620753705501556,1.0,0.26059073209762573,0.17260463535785675,0.2052457332611084,0.2410416603088379,1.0,0.43541768193244934,0.16080476343631744
memory,0.22471781075000763,0.30099722743034363,0.16361692547798157,0.16341835260391235,0.14636336266994476,0.17919406294822693,0.26059073209762573,0.9999999403953552,0.17913426458835602,0.12246958911418915,0.20690667629241943,0.26059073209762573,0.22855053842067719,0.1397676020860672
through,0.1474045217037201,0.21037328243255615,0.19538328051567078,0.29068294167518616,0.24328194558620453,0.3647414743900299,0.12127729505300522,0.09301111847162247,0.3433202803134918,0.347151517868042,0.23167094588279724,0.12127729505300522,0.20354658365249634,0.16913433372974396
the,0.20454104244709015,0.22626186907291412,0.2814774513244629,0.2929544150829315,0.33687281608581543,0.733189046382904,0.21364226937294006,0.1785092055797577,0.4408751428127289,0.33843520283699036,0.42745697498321533,0.21364226937294006,0.28909924626350403,0.22068053483963013
initiation,0.18522098660469055,0.3290032744407654,0.2734025716781616,0.2527935206890106,0.4289166033267975,0.2949373722076416,0.2358793169260025,0.13415101170539856,0.19137005507946014,0.8761736750602722,0.21450403332710266,0.2358793169260025,0.3558274209499359,0.19637425243854523
of,0.20480428636074066,0.19605669379234314,0.1866096556186676,0.29851028323173523,0.2957320809364319,1.0,0.16620753705501556,0.17919406294822693,0.3646814823150635,0.3090760409832001,0.33290785551071167,0.16620753705501556,0.21864040195941925,0.1826142966747284
th1,0.17054028809070587,0.16285856068134308,0.20786970853805542,0.0844646766781807,0.19625401496887207,0.2516074776649475,0.07151822745800018,0.11083962768316269,0.2503639757633209,0.19375818967819214,0.30150145292282104,0.07151822745800018,0.17597559094429016,0.2754550874233246
immune,0.20580315589904785,0.456246018409729,0.20133273303508759,0.1651136577129364,0.2565329968929291,0.16620753705501556,1.0,0.26059073209762573,0.17260463535785675,0.2052457332611084,0.2410416603088379,1.0,0.43541768193244934,0.16080476343631744
responses,0.2431509643793106,0.40369030833244324,0.22322604060173035,0.29025861620903015,0.26734209060668945,0.202371284365654,0.4776917099952698,0.2659083902835846,0.2372448593378067,0.3515666425228119,0.3741379678249359,0.4776917099952698,0.8744115233421326,0.23588258028030396
.,0.25573426485061646,0.23264732956886292,0.23154853284358978,0.29172956943511963,0.23124639689922333,0.5352458953857422,0.18267881870269775,0.13056598603725433,0.3936232924461365,0.2770043611526489,0.3567904531955719,0.18267881870269775,0.2878446877002716,0.4130953550338745
