,what,kind,of,needlework,was,used,in,the,creation,of,the,bayeux,tapestry,?
by,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.21762727200984955,0.4752357602119446,0.27705541253089905,0.370934396982193,0.4408751428127289,0.23915661871433258,0.3646814823150635,0.4408751428127289,0.19776348769664764,0.22819288074970245,0.17966607213020325
far,0.34794166684150696,0.1582344025373459,0.3005201518535614,0.15113666653633118,0.24026422202587128,0.15294793248176575,0.2599720060825348,0.38564538955688477,0.19767262041568756,0.3005201518535614,0.38564538955688477,0.16126032173633575,0.10814075917005539,0.2170870453119278
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.24871505796909332,0.48711544275283813,0.3718377649784088,0.6662389636039734,1.0,0.34625571966171265,0.733189046382904,1.0,0.32717660069465637,0.32432854175567627,0.22068053483963013
most,0.3219912350177765,0.3164631724357605,0.4178851246833801,0.1978360414505005,0.29933857917785645,0.306323766708374,0.41416558623313904,0.47635307908058167,0.21711048483848572,0.4178851246833801,0.47635307908058167,0.2243081033229828,0.29493448138237,0.2107497900724411
famous,0.1616666167974472,0.19911198318004608,0.3074295222759247,0.23188228905200958,0.31606587767601013,0.25926119089126587,0.34673580527305603,0.28616565465927124,0.15550021827220917,0.3074295222759247,0.28616565465927124,0.28412124514579773,0.3725864887237549,0.10379006713628769
work,0.3762225806713104,0.27498477697372437,0.23473061621189117,0.4152716398239136,0.24745555222034454,0.2676831781864166,0.2753349542617798,0.2704800069332123,0.2595362663269043,0.23473061621189117,0.2704800069332123,0.1767100691795349,0.2717141807079315,0.2621155381202698
of,0.33290785551071167,0.2285657674074173,1.0,0.2565818727016449,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.733189046382904,0.35750406980514526,1.0,0.733189046382904,0.32103854417800903,0.3338794708251953,0.1826142966747284
norman,0.12319435924291611,0.12682761251926422,0.15827171504497528,0.20406301319599152,0.21643765270709991,0.1253684014081955,0.17613162100315094,0.23459704220294952,0.10226625204086304,0.15827171504497528,0.23459704220294952,0.36039116978645325,0.31435027718544006,0.12243545055389404
art,0.19292277097702026,0.16522718966007233,0.22648051381111145,0.3634166419506073,0.20564036071300507,0.13082589209079742,0.2282189577817917,0.20297785103321075,0.187538281083107,0.22648051381111145,0.20297785103321075,0.15147942304611206,0.3752393424510956,0.138971745967865
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.2079555094242096,0.5810302495956421,0.3288823366165161,0.5394441485404968,0.5823672413825989,0.2773818373680115,0.4854315221309662,0.5823672413825989,0.2405693680047989,0.21666821837425232,0.22961433231830597
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.24871505796909332,0.48711544275283813,0.3718377649784088,0.6662389636039734,1.0,0.34625571966171265,0.733189046382904,1.0,0.32717660069465637,0.32432854175567627,0.22068053483963013
bayeux,0.191652312874794,0.1675693243741989,0.32103854417800903,0.25096315145492554,0.2815360724925995,0.16890978813171387,0.23875124752521515,0.32717660069465637,0.22235849499702454,0.32103854417800903,0.32717660069465637,0.9999998807907104,0.4985324442386627,0.1535405069589615
tapestry,0.21666374802589417,0.2197858840227127,0.3338794708251953,0.35918664932250977,0.3019234836101532,0.30754998326301575,0.26853466033935547,0.32432854175567627,0.2127443104982376,0.3338794708251953,0.32432854175567627,0.4985324442386627,1.0,0.14881201088428497
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3107384443283081,0.45456063747406006,0.3120402991771698,0.5201468467712402,0.4933079481124878,0.24387513101100922,0.4946078956127167,0.4933079481124878,0.20775896310806274,0.23794302344322205,0.31091248989105225
which,0.5261979103088379,0.4120495617389679,0.5011631846427917,0.2588675618171692,0.2830964922904968,0.414506196975708,0.4840516746044159,0.6521818041801453,0.3792828321456909,0.5011631846427917,0.6521818041801453,0.24244661629199982,0.2867569625377655,0.25814583897590637
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.2079555094242096,0.5810302495956421,0.3288823366165161,0.5394441485404968,0.5823672413825989,0.2773818373680115,0.4854315221309662,0.5823672413825989,0.2405693680047989,0.21666821837425232,0.22961433231830597
not,0.5449194312095642,0.3335936963558197,0.3307090103626251,0.2724100351333618,0.2888734042644501,0.358921617269516,0.3403114080429077,0.4310511648654938,0.2157992422580719,0.3307090103626251,0.4310511648654938,0.18825243413448334,0.22452792525291443,0.41942933201789856
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.30062252283096313,0.4508470594882965,0.3864384889602661,0.539380669593811,0.5829201340675354,0.26870065927505493,0.5052502155303955,0.5829201340675354,0.2354903519153595,0.27101799845695496,0.23916715383529663
tapestry,0.21666374802589417,0.2197858840227127,0.3338794708251953,0.35918664932250977,0.3019234836101532,0.30754998326301575,0.26853466033935547,0.32432854175567627,0.2127443104982376,0.3338794708251953,0.32432854175567627,0.4985324442386627,1.0,0.14881201088428497
but,0.5029441118240356,0.3482404947280884,0.39942997694015503,0.3224976062774658,0.36023372411727905,0.3391169309616089,0.48674455285072327,0.4859698414802551,0.22916531562805176,0.39942997694015503,0.4859698414802551,0.25620442628860474,0.2437378317117691,0.27921953797340393
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.30062252283096313,0.4508470594882965,0.3864384889602661,0.539380669593811,0.5829201340675354,0.26870065927505493,0.5052502155303955,0.5829201340675354,0.2354903519153595,0.27101799845695496,0.23916715383529663
work,0.3762225806713104,0.27498477697372437,0.23473061621189117,0.4152716398239136,0.24745555222034454,0.2676831781864166,0.2753349542617798,0.2704800069332123,0.2595362663269043,0.23473061621189117,0.2704800069332123,0.1767100691795349,0.2717141807079315,0.2621155381202698
of,0.33290785551071167,0.2285657674074173,1.0,0.2565818727016449,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.733189046382904,0.35750406980514526,1.0,0.733189046382904,0.32103854417800903,0.3338794708251953,0.1826142966747284
embroidery,0.18996359407901764,0.25957515835762024,0.2554934322834015,0.44670817255973816,0.17014668881893158,0.24263539910316467,0.19777022302150726,0.1809588074684143,0.19372151792049408,0.2554934322834015,0.1809588074684143,0.34489503502845764,0.5181041955947876,0.17243218421936035
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2168731540441513,0.40146201848983765,0.33111312985420227,0.5591574311256409,0.5934505462646484,0.27493008971214294,0.5352458953857422,0.5934505462646484,0.25134289264678955,0.28270503878593445,0.4130953550338745
