,which,parts,of,the,earth,are,included,in,the,lithosphere,?
in,0.4840516746044159,0.3282690644264221,0.5696388483047485,0.6662389636039734,0.18566735088825226,0.3841303884983063,0.32433560490608215,1.0,0.6662389636039734,0.2248716950416565,0.20430970191955566
the,0.6521818041801453,0.4042440354824066,0.733189046382904,1.0,0.2801888585090637,0.40399202704429626,0.3825419843196869,0.6662389636039734,1.0,0.28085029125213623,0.22068053483963013
1960s,-0.09265822172164917,-0.05725623667240143,-0.02275673858821392,-0.06868536025285721,-0.045589692890644073,-0.06243795529007912,-0.0441959872841835,0.0007937865448184311,-0.06868536025285721,-0.014792853966355324,-0.08257022500038147
",",0.3658004403114319,0.2964099943637848,0.4946078956127167,0.4933079481124878,0.23186853528022766,0.4062570035457611,0.3679811954498291,0.5201468467712402,0.4933079481124878,0.2066507637500763,0.31091248989105225
a,0.56894451379776,0.2777566909790039,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.265255331993103,0.23032639920711517,0.539380669593811,0.5829201340675354,0.23503807187080383,0.23916715383529663
series,0.2484029233455658,0.1799236685037613,0.22268271446228027,0.31376904249191284,0.23707154393196106,0.2139665186405182,0.20872309803962708,0.2914260923862457,0.31376904249191284,0.16261626780033112,0.1709602326154709
of,0.5011631846427917,0.3379773199558258,1.0,0.733189046382904,0.2329314798116684,0.39081433415412903,0.4391688108444214,0.5696388483047485,0.733189046382904,0.2557520568370819,0.1826142966747284
discoveries,0.25323259830474854,0.2503090798854828,0.26098135113716125,0.296929270029068,0.2096988409757614,0.25793224573135376,0.23470769822597504,0.3139881193637848,0.296929270029068,0.2719302773475647,0.1343231350183487
",",0.3658004403114319,0.2964099943637848,0.4946078956127167,0.4933079481124878,0.23186853528022766,0.4062570035457611,0.3679811954498291,0.5201468467712402,0.4933079481124878,0.2066507637500763,0.31091248989105225
the,0.6521818041801453,0.4042440354824066,0.733189046382904,1.0,0.2801888585090637,0.40399202704429626,0.3825419843196869,0.6662389636039734,1.0,0.28085029125213623,0.22068053483963013
most,0.4637843072414398,0.35891905426979065,0.4178851246833801,0.47635307908058167,0.23000380396842957,0.48698675632476807,0.354558527469635,0.41416558623313904,0.47635307908058167,0.20708003640174866,0.2107497900724411
important,0.37798872590065,0.2995002269744873,0.43301743268966675,0.39348116517066956,0.2135116308927536,0.33294984698295593,0.304936021566391,0.3796374499797821,0.39348116517066956,0.19085341691970825,0.17812499403953552
