,when,did,oil,start,getting,priced,in,the,terms,of,gold,?
because,0.6114379167556763,0.45674043893814087,0.21334749460220337,0.296660453081131,0.4682416021823883,0.255420982837677,0.37423941493034363,0.44596394896507263,0.22245612740516663,0.4075504541397095,0.17432862520217896,0.2528740465641022
oil,0.2048342078924179,0.10956666618585587,1.0,0.1763714849948883,0.1775377094745636,0.35831913352012634,0.21800900995731354,0.21849922835826874,0.15678100287914276,0.22900764644145966,0.2072755992412567,0.14867261052131653
was,0.37326499819755554,0.41399896144866943,0.15102124214172363,0.20079405605793,0.2391812801361084,0.285179078578949,0.45514053106307983,0.48711544275283813,0.22082383930683136,0.4069072902202606,0.24345459043979645,0.18412111699581146
priced,0.22499535977840424,0.26064127683639526,0.35831913352012634,0.18377883732318878,0.17692673206329346,1.0,0.26437777280807495,0.22030994296073914,0.25133848190307617,0.18349500000476837,0.2682841122150421,0.09679431468248367
in,0.4431333839893341,0.2593238651752472,0.21800900995731354,0.29979339241981506,0.2387998104095459,0.26437777280807495,1.0,0.6662389636039734,0.2410934716463089,0.5696388483047485,0.21206732094287872,0.20430970191955566
dollars,0.16094112396240234,0.2074357569217682,0.29180729389190674,0.1833992898464203,0.13442988693714142,0.3799440264701843,0.21489819884300232,0.2665082812309265,0.17633487284183502,0.1848512589931488,0.27096307277679443,0.21298730373382568
",",0.36674630641937256,0.3015086054801941,0.20043784379959106,0.2934366464614868,0.2384856641292572,0.2554280161857605,0.5201468467712402,0.4933079481124878,0.26854002475738525,0.4946078956127167,0.28787803649902344,0.31091248989105225
oil,0.2048342078924179,0.10956666618585587,1.0,0.1763714849948883,0.1775377094745636,0.35831913352012634,0.21800900995731354,0.21849922835826874,0.15678100287914276,0.22900764644145966,0.2072755992412567,0.14867261052131653
producers,0.1638202667236328,0.2055254876613617,0.2157101184129715,0.1644120067358017,0.19722992181777954,0.29636839032173157,0.15846984088420868,0.23758956789970398,0.18610897660255432,0.131597638130188,0.1602989286184311,0.15943901240825653
',0.2558356821537018,0.25488927960395813,0.12406730651855469,0.23189935088157654,0.19276657700538635,0.13752412796020508,0.4158826768398285,0.474788099527359,0.19464972615242004,0.39136970043182373,0.19723203778266907,0.330942302942276
real,0.20850564539432526,0.20014923810958862,0.17727981507778168,0.12138263136148453,0.161996528506279,0.19154658913612366,0.1725122183561325,0.19885718822479248,0.16704493761062622,0.19599324464797974,0.09432820975780487,0.20019613206386566
income,0.16407446563243866,0.20239697396755219,0.2985721230506897,0.13605131208896637,0.15455153584480286,0.4033142924308777,0.1795814335346222,0.23699946701526642,0.1901540458202362,0.2581324577331543,0.2246481031179428,0.14935168623924255
decreased,0.2729012668132782,0.18987904489040375,0.16602955758571625,0.2507569193840027,0.3379579484462738,0.32690078020095825,0.22973182797431946,0.27965670824050903,0.1987563967704773,0.2523523271083832,0.05816807225346565,0.08292442560195923
.,0.475719153881073,0.35288307070732117,0.22117017209529877,0.3501981496810913,0.33020880818367004,0.22330304980278015,0.5591574311256409,0.5934505462646484,0.24108539521694183,0.5352458953857422,0.22364865243434906,0.4130953550338745
,when,did,oil,start,getting,priced,in,the,terms,of,gold,?
in,0.4431333839893341,0.2593238651752472,0.21800900995731354,0.29979339241981506,0.2387998104095459,0.26437777280807495,1.0,0.6662389636039734,0.2410934716463089,0.5696388483047485,0.21206732094287872,0.20430970191955566
september,0.2483685463666916,0.2693498432636261,0.11429443955421448,0.16052962839603424,0.21979403495788574,0.1489085853099823,0.25402772426605225,0.2516939043998718,0.10179772228002548,0.16787530481815338,0.13217346370220184,0.2665146589279175
1971,0.2807418704032898,0.17965981364250183,0.3129080533981323,0.21679776906967163,0.20797710120677948,0.3688623011112213,0.21881000697612762,0.21928679943084717,0.2500625252723694,0.2057395875453949,0.15870748460292816,0.29388657212257385
",",0.36674630641937256,0.3015086054801941,0.20043784379959106,0.2934366464614868,0.2384856641292572,0.2554280161857605,0.5201468467712402,0.4933079481124878,0.26854002475738525,0.4946078956127167,0.28787803649902344,0.31091248989105225
opec,0.2021491974592209,0.16579832136631012,0.3863743841648102,0.3048180639743805,0.20666736364364624,0.304556667804718,0.24516436457633972,0.3102748692035675,0.1831798255443573,0.30163517594337463,0.15961773693561554,0.14867433905601501
issued,0.18766894936561584,0.2733176648616791,0.06429214775562286,0.12558966875076294,0.1280449479818344,0.24173808097839355,0.17191201448440552,0.22837360203266144,0.10929180681705475,0.2873246371746063,0.1753321886062622,0.169851616024971
a,0.44397395849227905,0.2552328109741211,0.18393073976039886,0.29672953486442566,0.2823704481124878,0.21734701097011566,0.539380669593811,0.5829201340675354,0.2931654751300812,0.5052502155303955,0.22218312323093414,0.23916715383529663
joint,0.20029248297214508,0.14753364026546478,0.2148887664079666,0.24370715022087097,0.14306731522083282,0.24911406636238098,0.19035212695598602,0.2854326069355011,0.14091753959655762,0.2794724404811859,0.1564415544271469,0.15804731845855713
communiqué,0.1970478892326355,0.19430580735206604,0.14193405210971832,0.19117313623428345,0.18749405443668365,0.13724522292613983,0.27092245221138,0.3136351704597473,0.25835347175598145,0.3356335461139679,0.12767955660820007,0.2631387412548065
stating,0.37702929973602295,0.3425213694572449,0.1427334100008011,0.24377907812595367,0.36385849118232727,0.2541026473045349,0.21747106313705444,0.2977248430252075,0.19382861256599426,0.26161399483680725,0.09673133492469788,0.2760101556777954
that,0.5860282182693481,0.47518548369407654,0.2114400863647461,0.34617605805397034,0.3885533809661865,0.2897406220436096,0.435920387506485,0.5473989248275757,0.29983192682266235,0.41498205065727234,0.18886281549930573,0.32716336846351624
",",0.36674630641937256,0.3015086054801941,0.20043784379959106,0.2934366464614868,0.2384856641292572,0.2554280161857605,0.5201468467712402,0.4933079481124878,0.26854002475738525,0.4946078956127167,0.28787803649902344,0.31091248989105225
from,0.405669629573822,0.20248863101005554,0.22372330725193024,0.27236250042915344,0.3234693706035614,0.19855529069900513,0.4274188280105591,0.40150508284568787,0.24940045177936554,0.4249346852302551,0.18462617695331573,0.19969791173934937
then,0.6026323437690735,0.303744375705719,0.1643369048833847,0.3641927242279053,0.36359572410583496,0.215727299451828,0.36253848671913147,0.4297412931919098,0.2025284767150879,0.2937326431274414,0.20886744558811188,0.2884598970413208
on,0.37706470489501953,0.2670976221561432,0.12803566455841064,0.2699633240699768,0.28457388281822205,0.20911507308483124,0.46853652596473694,0.5107308030128479,0.1906774938106537,0.3966929316520691,0.15932275354862213,0.2714994251728058
",",0.36674630641937256,0.3015086054801941,0.20043784379959106,0.2934366464614868,0.2384856641292572,0.2554280161857605,0.5201468467712402,0.4933079481124878,0.26854002475738525,0.4946078956127167,0.28787803649902344,0.31091248989105225
they,0.5090266466140747,0.4879390597343445,0.1968240588903427,0.36821991205215454,0.3548741340637207,0.3141435384750366,0.4330179989337921,0.49925389885902405,0.2622809410095215,0.3426007330417633,0.19648128747940063,0.2753053903579712
would,0.4219970703125,0.6268245577812195,0.2252657264471054,0.3351765275001526,0.386152446269989,0.32877689599990845,0.30461156368255615,0.4133751392364502,0.29826128482818604,0.3353942930698395,0.16195249557495117,0.37178951501846313
price,0.17377425730228424,0.20305229723453522,0.3166557550430298,0.1495761126279831,0.1150079295039177,0.7662854790687561,0.2097182273864746,0.22636492550373077,0.2500528395175934,0.15675179660320282,0.22891142964363098,0.14631175994873047
oil,0.2048342078924179,0.10956666618585587,1.0,0.1763714849948883,0.1775377094745636,0.35831913352012634,0.21800900995731354,0.21849922835826874,0.15678100287914276,0.22900764644145966,0.2072755992412567,0.14867261052131653
in,0.4431333839893341,0.2593238651752472,0.21800900995731354,0.29979339241981506,0.2387998104095459,0.26437777280807495,1.0,0.6662389636039734,0.2410934716463089,0.5696388483047485,0.21206732094287872,0.20430970191955566
terms,0.23413047194480896,0.19385001063346863,0.15678100287914276,0.1518286168575287,0.14636415243148804,0.25133848190307617,0.2410934716463089,0.29706791043281555,1.0,0.2767748534679413,0.1213114857673645,0.23466452956199646
of,0.3757161796092987,0.2513895630836487,0.22900764644145966,0.23166994750499725,0.24251262843608856,0.18349500000476837,0.5696388483047485,0.733189046382904,0.2767748534679413,1.0,0.2101457566022873,0.1826142966747284
a,0.44397395849227905,0.2552328109741211,0.18393073976039886,0.29672953486442566,0.2823704481124878,0.21734701097011566,0.539380669593811,0.5829201340675354,0.2931654751300812,0.5052502155303955,0.22218312323093414,0.23916715383529663
fixed,0.29926884174346924,0.20253783464431763,0.06968967616558075,0.26531487703323364,0.2590777575969696,0.29778096079826355,0.20797649025917053,0.27127328515052795,0.18807220458984375,0.1495256870985031,0.11179476231336594,0.2728462815284729
amount,0.33989670872688293,0.19932299852371216,0.20575834810733795,0.2716330885887146,0.343375027179718,0.3749695420265198,0.2569429874420166,0.3336862325668335,0.29094362258911133,0.2541177570819855,0.18348637223243713,0.17984020709991455
of,0.3757161796092987,0.2513895630836487,0.22900764644145966,0.23166994750499725,0.24251262843608856,0.18349500000476837,0.5696388483047485,0.733189046382904,0.2767748534679413,1.0,0.2101457566022873,0.1826142966747284
gold,0.21325871348381042,0.1811094880104065,0.2072755992412567,0.14397236704826355,0.1784094125032425,0.2682841122150421,0.21206732094287872,0.27136439085006714,0.1213114857673645,0.2101457566022873,0.9999999403953552,0.11542754620313644
.,0.475719153881073,0.35288307070732117,0.22117017209529877,0.3501981496810913,0.33020880818367004,0.22330304980278015,0.5591574311256409,0.5934505462646484,0.24108539521694183,0.5352458953857422,0.22364865243434906,0.4130953550338745
