,what,happened,in,1992,in,a,uk-wide,process,?
northumbria,0.2106504589319229,0.20409764349460602,0.2060338705778122,0.18332646787166595,0.2060338705778122,0.17625916004180908,0.1779351830482483,0.1820274293422699,0.18365557491779327
university,0.20256435871124268,0.17795376479625702,0.3201795518398285,0.16310550272464752,0.3201795518398285,0.20256656408309937,0.24773429334163666,0.17458944022655487,0.11887256056070328
has,0.20338068902492523,0.2525435984134674,0.4173259735107422,0.07590559870004654,0.4173259735107422,0.4670248031616211,0.2831665277481079,0.17192330956459045,0.15994466841220856
its,0.30393704771995544,0.2258307784795761,0.3793783485889435,0.08382678776979446,0.3793783485889435,0.4424409866333008,0.319843590259552,0.2431909292936325,0.15103481709957123
origins,0.2137981504201889,0.23403795063495636,0.21701936423778534,0.061647891998291016,0.21701936423778534,0.1583317220211029,0.11019933968782425,0.18001030385494232,0.1275135576725006
in,0.30808621644973755,0.3302023410797119,1.0,0.0684703141450882,1.0,0.539380669593811,0.31127455830574036,0.19851736724376678,0.20430970191955566
the,0.42745697498321533,0.3589572608470917,0.6662389636039734,0.12138951569795609,0.6662389636039734,0.5829201340675354,0.294392853975296,0.264274537563324,0.22068053483963013
newcastle,0.16276082396507263,0.160665825009346,0.19270820915699005,0.18209844827651978,0.19270820915699005,0.21405641734600067,0.2079748660326004,0.11625328660011292,0.0902252271771431
polytechnic,0.1455845832824707,0.1871083676815033,0.30881479382514954,0.12047948688268661,0.30881479382514954,0.17925728857517242,0.23027072846889496,0.21136122941970825,0.13763803243637085
",",0.3087472915649414,0.3230119049549103,0.5201468467712402,0.14831048250198364,0.5201468467712402,0.427140474319458,0.2519010603427887,0.2061346471309662,0.31091248989105225
established,0.14869536459445953,0.1734112799167633,0.3118882477283478,0.2592303156852722,0.3118882477283478,0.23500119149684906,0.19330430030822754,0.10755351930856705,0.15917523205280304
in,0.30808621644973755,0.3302023410797119,1.0,0.0684703141450882,1.0,0.539380669593811,0.31127455830574036,0.19851736724376678,0.20430970191955566
1969,0.17037658393383026,0.14923064410686493,0.20296303927898407,0.03963959589600563,0.20296303927898407,0.18597425520420074,0.2776976227760315,0.18376359343528748,0.19860808551311493
and,0.31309178471565247,0.22602374851703644,0.4954058527946472,0.049611207097768784,0.4954058527946472,0.3739250600337982,0.25967827439308167,0.20204883813858032,0.20544172823429108
became,0.1434093862771988,0.25768420100212097,0.31047213077545166,0.11822444945573807,0.31047213077545166,0.28774285316467285,0.23317305743694305,0.1009756550192833,0.11374033987522125
the,0.42745697498321533,0.3589572608470917,0.6662389636039734,0.12138951569795609,0.6662389636039734,0.5829201340675354,0.294392853975296,0.264274537563324,0.22068053483963013
university,0.20256435871124268,0.17795376479625702,0.3201795518398285,0.16310550272464752,0.3201795518398285,0.20256656408309937,0.24773429334163666,0.17458944022655487,0.11887256056070328
of,0.33290785551071167,0.30501094460487366,0.5696388483047485,0.083686463534832,0.5696388483047485,0.5052502155303955,0.24233309924602509,0.23962904512882233,0.1826142966747284
northumbria,0.2106504589319229,0.20409764349460602,0.2060338705778122,0.18332646787166595,0.2060338705778122,0.17625916004180908,0.1779351830482483,0.1820274293422699,0.18365557491779327
at,0.2838611304759979,0.31994152069091797,0.4374977946281433,0.11804074048995972,0.4374977946281433,0.3095070421695709,0.2663809061050415,0.1761283278465271,0.21978627145290375
newcastle,0.16276082396507263,0.160665825009346,0.19270820915699005,0.18209844827651978,0.19270820915699005,0.21405641734600067,0.2079748660326004,0.11625328660011292,0.0902252271771431
in,0.30808621644973755,0.3302023410797119,1.0,0.0684703141450882,1.0,0.539380669593811,0.31127455830574036,0.19851736724376678,0.20430970191955566
1992,0.12803657352924347,0.1389225572347641,0.0684703141450882,1.0,0.0684703141450882,0.04525519907474518,-0.03259645774960518,0.004624505061656237,0.11522171646356583
as,0.31749409437179565,0.20198430120944977,0.3887844979763031,0.08659619092941284,0.3887844979763031,0.39550232887268066,0.2932526171207428,0.22885268926620483,0.27043893933296204
part,0.3476244807243347,0.3099426031112671,0.4499994218349457,0.039548516273498535,0.4499994218349457,0.3994528353214264,0.1812627911567688,0.2482462376356125,0.08557961881160736
of,0.33290785551071167,0.30501094460487366,0.5696388483047485,0.083686463534832,0.5696388483047485,0.5052502155303955,0.24233309924602509,0.23962904512882233,0.1826142966747284
the,0.42745697498321533,0.3589572608470917,0.6662389636039734,0.12138951569795609,0.6662389636039734,0.5829201340675354,0.294392853975296,0.264274537563324,0.22068053483963013
uk-wide,0.2301521748304367,0.2034429907798767,0.31127455830574036,-0.03259645774960518,0.31127455830574036,0.3563392162322998,0.9999999403953552,0.2686126232147217,0.23733069002628326
process,0.3466717302799225,0.23875537514686584,0.19851736724376678,0.004624505061656237,0.19851736724376678,0.2601566016674042,0.2686126232147217,0.9999998807907104,0.2460896074771881
in,0.30808621644973755,0.3302023410797119,1.0,0.0684703141450882,1.0,0.539380669593811,0.31127455830574036,0.19851736724376678,0.20430970191955566
which,0.5261979103088379,0.30552831292152405,0.4840516746044159,0.0006450417567975819,0.4840516746044159,0.56894451379776,0.3702077269554138,0.3943749964237213,0.25814583897590637
polytechnics,0.18467584252357483,0.19216643273830414,0.29120397567749023,0.13507065176963806,0.29120397567749023,0.17506755888462067,0.25519856810569763,0.24526414275169373,0.15221326053142548
became,0.1434093862771988,0.25768420100212097,0.31047213077545166,0.11822444945573807,0.31047213077545166,0.28774285316467285,0.23317305743694305,0.1009756550192833,0.11374033987522125
new,0.2130378633737564,0.21083304286003113,0.3758552670478821,0.03112761862576008,0.3758552670478821,0.3214259147644043,0.21685390174388885,0.17879632115364075,0.14782847464084625
universities,0.1630716770887375,0.14469461143016815,0.2965206503868103,0.23834702372550964,0.2965206503868103,0.21368376910686493,0.32971060276031494,0.1502123326063156,0.16836881637573242
.,0.3567904531955719,0.29012542963027954,0.5591574311256409,0.0746634230017662,0.5591574311256409,0.50484299659729,0.33234545588493347,0.23766504228115082,0.4130953550338745
