,what,is,the,legislature,of,the,european,union,comprised,of,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2745116055011749,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.28885143995285034,0.733189046382904,0.22068053483963013
legislature,0.23629915714263916,0.15513135492801666,0.2745116055011749,1.0,0.3148817718029022,0.2745116055011749,0.17899732291698456,0.2902652323246002,0.24515493214130402,0.3148817718029022,0.17475001513957977
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3148817718029022,1.0,0.733189046382904,0.2507138252258301,0.2642118036746979,0.3694441318511963,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2745116055011749,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.28885143995285034,0.733189046382904,0.22068053483963013
european,0.15324164927005768,0.16083641350269318,0.3423081040382385,0.17899732291698456,0.2507138252258301,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.24610590934753418,0.2507138252258301,0.14560863375663757
union,0.1396910548210144,0.16997112333774567,0.24421639740467072,0.2902652323246002,0.2642118036746979,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.25578978657722473,0.2642118036746979,0.07797172665596008
is,0.28837618231773376,1.0,0.5823672413825989,0.15513135492801666,0.4854315221309662,0.5823672413825989,0.16083641350269318,0.16997112333774567,0.24423737823963165,0.4854315221309662,0.22961433231830597
principally,0.21939213573932648,0.21734637022018433,0.33050867915153503,0.1976182758808136,0.2914992868900299,0.33050867915153503,0.25858208537101746,0.21645715832710266,0.252056747674942,0.2914992868900299,0.08923862129449844
composed,0.14231626689434052,0.18838012218475342,0.21816956996917725,0.2111252248287201,0.29509663581848145,0.21816956996917725,0.11007346957921982,0.09573795646429062,0.3729836344718933,0.29509663581848145,0.0784355029463768
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3148817718029022,1.0,0.733189046382904,0.2507138252258301,0.2642118036746979,0.3694441318511963,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2745116055011749,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.28885143995285034,0.733189046382904,0.22068053483963013
european,0.15324164927005768,0.16083641350269318,0.3423081040382385,0.17899732291698456,0.2507138252258301,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.24610590934753418,0.2507138252258301,0.14560863375663757
parliament,0.21650300920009613,0.19676777720451355,0.26521381735801697,0.632239818572998,0.2885259687900543,0.26521381735801697,0.2812108099460602,0.3262541890144348,0.17169684171676636,0.2885259687900543,0.1586504578590393
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22716397047042847,0.5116966962814331,0.5171257257461548,0.24143946170806885,0.2594362497329712,0.2672840654850006,0.5116966962814331,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.2745116055011749,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.28885143995285034,0.733189046382904,0.22068053483963013
council,0.16933071613311768,0.2196589708328247,0.2829204201698303,0.4097883999347687,0.2972237169742584,0.2829204201698303,0.2610081732273102,0.3830934464931488,0.25355276465415955,0.2972237169742584,0.1160062924027443
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3148817718029022,1.0,0.733189046382904,0.2507138252258301,0.2642118036746979,0.3694441318511963,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2745116055011749,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.28885143995285034,0.733189046382904,0.22068053483963013
european,0.15324164927005768,0.16083641350269318,0.3423081040382385,0.17899732291698456,0.2507138252258301,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.24610590934753418,0.2507138252258301,0.14560863375663757
union,0.1396910548210144,0.16997112333774567,0.24421639740467072,0.2902652323246002,0.2642118036746979,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.25578978657722473,0.2642118036746979,0.07797172665596008
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22554227709770203,0.4946078956127167,0.4933079481124878,0.19684812426567078,0.2362271547317505,0.258333295583725,0.4946078956127167,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.26002246141433716,0.5011631846427917,0.6521818041801453,0.2234036773443222,0.23846890032291412,0.31704580783843994,0.5011631846427917,0.25814583897590637
under,0.20154598355293274,0.21294879913330078,0.3348022699356079,0.18243414163589478,0.32766106724739075,0.3348022699356079,0.17218957841396332,0.1701658070087433,0.2236778289079666,0.32766106724739075,0.18233340978622437
the,0.42745697498321533,0.5823672413825989,1.0,0.2745116055011749,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.28885143995285034,0.733189046382904,0.22068053483963013
treaties,0.2403455525636673,0.1447698175907135,0.28970760107040405,0.3811323642730713,0.3281906247138977,0.28970760107040405,0.30161675810813904,0.34353530406951904,0.2740495800971985,0.3281906247138977,0.1693580597639084
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.1453143209218979,0.26447007060050964,0.2694292366504669,0.13291458785533905,0.16676320135593414,0.13333779573440552,0.26447007060050964,0.2768254578113556
establish,0.24999600648880005,0.15405499935150146,0.31343501806259155,0.3325217366218567,0.210533007979393,0.31343501806259155,0.18328537046909332,0.16178838908672333,0.13205073773860931,0.210533007979393,0.21678102016448975
secondary,0.20388361811637878,0.19772830605506897,0.21037471294403076,0.22366604208946228,0.219074085354805,0.21037471294403076,0.04336964339017868,0.11224137246608734,0.19811812043190002,0.219074085354805,0.18118004500865936
law,0.2145031988620758,0.18597714602947235,0.24548950791358948,0.4002280831336975,0.2816956341266632,0.24548950791358948,0.17164482176303864,0.19371826946735382,0.06712731719017029,0.2816956341266632,0.1528988480567932
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.24813328683376312,0.41548454761505127,0.535392165184021,0.21011990308761597,0.16926777362823486,0.1398497223854065,0.41548454761505127,0.29463258385658264
pursue,0.21410717070102692,0.11472836881875992,0.21766875684261322,0.11204482614994049,0.17194563150405884,0.21766875684261322,0.15496809780597687,0.1498972326517105,0.177556112408638,0.17194563150405884,0.1284760683774948
the,0.42745697498321533,0.5823672413825989,1.0,0.2745116055011749,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.28885143995285034,0.733189046382904,0.22068053483963013
objective,0.3859251141548157,0.23534484207630157,0.24117743968963623,0.24732989072799683,0.2389526516199112,0.24117743968963623,0.18609322607517242,0.26060107350349426,0.18455272912979126,0.2389526516199112,0.2514022886753082
set,0.28954121470451355,0.21148966252803802,0.2927955985069275,0.22032706439495087,0.20671486854553223,0.2927955985069275,0.1126570999622345,0.13430772721767426,0.19233055412769318,0.20671486854553223,0.1698019951581955
out,0.3633197546005249,0.2817855477333069,0.39404502511024475,0.2251337170600891,0.34176841378211975,0.39404502511024475,0.15037359297275543,0.1148899644613266,0.24221166968345642,0.34176841378211975,0.22020699083805084
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.24105465412139893,0.5696388483047485,0.6662389636039734,0.23319172859191895,0.22726479172706604,0.27253109216690063,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.2745116055011749,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.28885143995285034,0.733189046382904,0.22068053483963013
treaties,0.2403455525636673,0.1447698175907135,0.28970760107040405,0.3811323642730713,0.3281906247138977,0.28970760107040405,0.30161675810813904,0.34353530406951904,0.2740495800971985,0.3281906247138977,0.1693580597639084
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2466430515050888,0.5352458953857422,0.5934505462646484,0.2095622420310974,0.23708370327949524,0.18239986896514893,0.5352458953857422,0.4130953550338745
