,what,is,the,name,of,the,area,past,the,border,that,the,megaregion,extends,into,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.37834644317626953,0.2747827172279358,1.0,0.2856229841709137,0.5473989248275757,1.0,0.3822336196899414,0.39314064383506775,0.39493247866630554,0.22068053483963013
megaregion,0.25751355290412903,0.3491595685482025,0.3822336196899414,0.238265261054039,0.36748361587524414,0.3822336196899414,0.4588060975074768,0.19625990092754364,0.3822336196899414,0.3794129490852356,0.24018855392932892,0.3822336196899414,1.0,0.31592851877212524,0.16670683026313782,0.28269416093826294
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,-0.01540423184633255,-0.002423585159704089,0.028495052829384804,-0.01540423184633255,-0.0324530154466629,0.04397977516055107,-0.01540423184633255,-0.022056324407458305,-0.019392505288124084,0.00961404386907816,-0.023395681753754616
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.205547034740448,0.3409860134124756,0.37834644317626953,1.0,0.21519169211387634,0.37834644317626953,0.32979926466941833,0.2566552460193634,0.37834644317626953,0.4588060975074768,0.3054836392402649,0.26332640647888184,0.12640461325645447
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.29283958673477173,0.2206672728061676,0.5823672413825989,0.22676031291484833,0.3995479643344879,0.5823672413825989,0.3491595685482025,0.36938562989234924,0.2619607150554657,0.22961433231830597
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.15184196829795837,0.30478984117507935,0.39758381247520447,0.20655664801597595,0.2879045605659485,0.39758381247520447,0.1799546480178833,0.4813884496688843,0.39758381247520447,0.23153156042099,0.1880912035703659,0.26544561982154846,0.27894994616508484
expansive,0.2689482569694519,0.2485935091972351,0.31792211532592773,0.047693539410829544,0.28950661420822144,0.31792211532592773,0.31189876794815063,0.13785430788993835,0.31792211532592773,0.16140885651111603,0.29128196835517883,0.31792211532592773,0.3134927749633789,0.38015007972717285,0.18891039490699768,0.16035804152488708
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2664283812046051,0.25483980774879456,0.4933079481124878,0.2548258304595947,0.4137537479400635,0.4933079481124878,0.3097497522830963,0.2592551112174988,0.2826121151447296,0.31091248989105225
extending,0.28489816188812256,0.29028311371803284,0.39961886405944824,0.06786179542541504,0.3691939413547516,0.39961886405944824,0.318480521440506,0.2808355689048767,0.39961886405944824,0.34373897314071655,0.3534628450870514,0.39961886405944824,0.2985013723373413,0.8251897096633911,0.28533363342285156,0.16590118408203125
east,0.19840149581432343,0.2596127688884735,0.3383176326751709,0.20845475792884827,0.314786434173584,0.3383176326751709,0.39479681849479675,0.21226991713047028,0.3383176326751709,0.38017842173576355,0.1802649050951004,0.3383176326751709,0.3249981701374054,0.33071500062942505,0.22208081185817719,0.10070597380399704
into,0.2180619090795517,0.2619607150554657,0.39493247866630554,0.19626246392726898,0.32255905866622925,0.39493247866630554,0.26332640647888184,0.16375732421875,0.39493247866630554,0.19515858590602875,0.3239944875240326,0.39493247866630554,0.16670683026313782,0.27733325958251953,1.0,0.15662476420402527
