,what,runs,from,the,riverside,to,higher,parts,of,the,city,center,?
narrow,0.21173065900802612,0.2667958438396454,0.19506461918354034,0.3104094862937927,0.2473343461751938,0.2536180913448334,0.2634313106536865,0.22935530543327332,0.248264878988266,0.3104094862937927,0.14105753600597382,0.12189554423093796,0.1023377925157547
alleys,0.11092015355825424,0.2239837348461151,0.15510646998882294,0.2257460057735443,0.2918258309364319,0.18229305744171143,0.19923853874206543,0.26444700360298157,0.21425899863243103,0.2257460057735443,0.1513318121433258,0.1340479552745819,0.1614394187927246
or,0.33867141604423523,0.23629164695739746,0.31242018938064575,0.4174870550632477,0.14240659773349762,0.38921234011650085,0.3664381206035614,0.3174748122692108,0.3792596757411957,0.4174870550632477,0.129682257771492,0.15454678237438202,0.32389625906944275
'chares,0.1776435673236847,0.19040030241012573,0.1796487718820572,0.26331886649131775,0.2788104712963104,0.20819884538650513,0.21239936351776123,0.19117796421051025,0.2831239104270935,0.26331886649131775,0.2381362020969391,0.1531657576560974,0.18964724242687225
',0.3245812654495239,0.19985491037368774,0.20019984245300293,0.474788099527359,0.18107858300209045,0.34544456005096436,0.14079299569129944,0.16033461689949036,0.39136970043182373,0.474788099527359,0.2577595114707947,0.20942296087741852,0.330942302942276
",",0.3087472915649414,0.22710935771465302,0.39760664105415344,0.4933079481124878,0.3184468746185303,0.44245919585227966,0.251458078622818,0.2964099943637848,0.4946078956127167,0.4933079481124878,0.35839709639549255,0.1905742734670639,0.31091248989105225
most,0.3219912350177765,0.16466248035430908,0.28580769896507263,0.47635307908058167,0.1548420786857605,0.321603000164032,0.2594144344329834,0.35891905426979065,0.4178851246833801,0.47635307908058167,0.24853192269802094,0.1520920693874359,0.2107497900724411
of,0.33290785551071167,0.22292760014533997,0.4249346852302551,0.733189046382904,0.2871353030204773,0.41548454761505127,0.3096220791339874,0.3379773199558258,1.0,0.733189046382904,0.32503411173820496,0.24526838958263397,0.1826142966747284
which,0.5261979103088379,0.2880222499370575,0.38755592703819275,0.6521818041801453,0.282682329416275,0.5345056653022766,0.3562684655189514,0.402177631855011,0.5011631846427917,0.6521818041801453,0.22264601290225983,0.22164148092269897,0.25814583897590637
can,0.34502777457237244,0.1877935230731964,0.2516351342201233,0.312528520822525,0.10396426916122437,0.4979398250579834,0.3291759192943573,0.29124873876571655,0.2603091299533844,0.312528520822525,0.11363761872053146,0.10162319242954254,0.3226337134838104
only,0.41415658593177795,0.19303521513938904,0.32145237922668457,0.5497692227363586,0.2252362072467804,0.5096819996833801,0.3119252026081085,0.2973463237285614,0.49632513523101807,0.5497692227363586,0.18977274000644684,0.20699188113212585,0.2767370045185089
be,0.3929833769798279,0.11079422384500504,0.3107333183288574,0.4248143136501312,0.12743838131427765,0.4972836375236511,0.31005796790122986,0.2912704348564148,0.33904364705085754,0.4248143136501312,0.11616156995296478,0.17372749745845795,0.3324260413646698
traversed,0.192983940243721,0.24615788459777832,0.2814587652683258,0.36114850640296936,0.2547655701637268,0.30672454833984375,0.26655280590057373,0.2689061760902405,0.3192804753780365,0.36114850640296936,0.2958275377750397,0.2199823409318924,0.1077159196138382
by,0.2455483376979828,0.14847011864185333,0.3373257517814636,0.4408751428127289,0.19580025970935822,0.33534231781959534,0.23272763192653656,0.233709454536438,0.3646814823150635,0.4408751428127289,0.21020644903182983,0.12630024552345276,0.17966607213020325
foot,0.1961006075143814,0.1801341027021408,0.16794843971729279,0.2820718288421631,0.2046237736940384,0.256702184677124,0.2283611297607422,0.18511445820331573,0.21640002727508545,0.2820718288421631,0.19332492351531982,0.0747644379734993,0.13330338895320892
",",0.3087472915649414,0.22710935771465302,0.39760664105415344,0.4933079481124878,0.3184468746185303,0.44245919585227966,0.251458078622818,0.2964099943637848,0.4946078956127167,0.4933079481124878,0.35839709639549255,0.1905742734670639,0.31091248989105225
