,when,was,temüjin,'s,half-brother,begter,killed,?
temujin,0.2757856249809265,0.3407828211784363,0.8003869652748108,0.008760017342865467,0.33659735321998596,0.26493674516677856,0.2661122977733612,0.23889534175395966
's,-0.03368149697780609,0.008974763564765453,-0.010023289360105991,0.9999999403953552,-0.0015297123463824391,0.04033765569329262,-0.004342961125075817,-0.023395681753754616
resentment,0.26652225852012634,0.2416917234659195,0.32830074429512024,-0.001316036214120686,0.22448042035102844,0.30296680331230164,0.24225622415542603,0.21990835666656494
erupted,0.22295570373535156,0.24820654094219208,0.3019099235534668,-0.09222412109375,0.17595559358596802,0.13111944496631622,0.2755413353443146,0.11324462294578552
during,0.46721696853637695,0.4470829963684082,0.34768882393836975,0.011294117197394371,0.2908226549625397,0.2882303297519684,0.31690382957458496,0.1325719803571701
one,0.38307374715805054,0.3752199709415436,0.30269449949264526,0.06913424283266068,0.32788848876953125,0.24040386080741882,0.2478880137205124,0.2673267424106598
hunting,0.2690045237541199,0.19714424014091492,0.2403174638748169,0.06653569638729095,0.24219129979610443,0.1504768282175064,0.26919737458229065,0.1138605922460556
excursion,0.20629644393920898,0.17674429714679718,0.25855252146720886,0.031185172498226166,0.2150585949420929,0.23726284503936768,0.11233662813901901,0.14232851564884186
that,0.5860282182693481,0.33670201897621155,0.4035418629646301,0.04397977516055107,0.27612143754959106,0.2928924858570099,0.24908366799354553,0.32716336846351624
temüjin,0.38259974122047424,0.38774195313453674,1.0,-0.010023289360105991,0.37592563033103943,0.3692499101161957,0.32560741901397705,0.21090233325958252
and,0.4716290831565857,0.3740963041782379,0.3789469599723816,0.06895173341035843,0.3867848217487335,0.367858350276947,0.23023393750190735,0.20544172823429108
his,0.37120407819747925,0.4405253231525421,0.4682264029979706,0.047556519508361816,0.4787575900554657,0.34305620193481445,0.24431633949279785,0.18075084686279297
brother,0.2808358073234558,0.30654317140579224,0.3288313150405884,-0.0180375799536705,0.9054407477378845,0.33117055892944336,0.2878575921058655,0.14267398416996002
khasar,0.12297972291707993,0.2595040202140808,0.5128337740898132,0.03563443943858147,0.3225666880607605,0.2993863821029663,0.3043862283229828,0.1633252203464508
killed,0.2550056278705597,0.31229376792907715,0.32560741901397705,-0.004342961125075817,0.3432348072528839,0.22466646134853363,0.9999998807907104,0.17928971350193024
their,0.3682888448238373,0.2396296262741089,0.34026217460632324,-0.005530759692192078,0.2488880306482315,0.1905328333377838,0.20294970273971558,0.1898253709077835
half-brother,0.3467754125595093,0.38833925127983093,0.37592563033103943,-0.0015297123463824391,1.0,0.4348822832107544,0.3432348072528839,0.19051197171211243
begter,0.3212567865848541,0.4151668846607208,0.3692499101161957,0.04033765569329262,0.4348822832107544,0.9999998807907104,0.22466646134853363,0.22523251175880432
.,0.475719153881073,0.40146201848983765,0.31788840889930725,-0.003708066651597619,0.32828858494758606,0.3413090407848358,0.2666846215724945,0.4130953550338745
