,immunological,memory,can,take,what,two,forms,?
immunological,0.9999998807907104,0.33612072467803955,0.25180578231811523,0.16242484748363495,0.26173391938209534,0.19844360649585724,0.2909626066684723,0.18608254194259644
memory,0.33612072467803955,0.9999999403953552,0.20877830684185028,0.11295539140701294,0.20690667629241943,0.19382846355438232,0.09548573195934296,0.1397676020860672
can,0.25180578231811523,0.20877830684185028,1.0,0.32599925994873047,0.34502777457237244,0.282000333070755,0.3238907754421234,0.3226337134838104
be,0.23045089840888977,0.18615126609802246,0.5791122913360596,0.3844696581363678,0.3929833769798279,0.28515341877937317,0.30402427911758423,0.3324260413646698
in,0.22100606560707092,0.2039261907339096,0.26527702808380127,0.21975718438625336,0.30808621644973755,0.36463531851768494,0.26377561688423157,0.20430970191955566
the,0.27035608887672424,0.1785092055797577,0.312528520822525,0.31620436906814575,0.42745697498321533,0.43858039379119873,0.2950737178325653,0.22068053483963013
form,0.19307707250118256,0.10178345441818237,0.3206974267959595,0.1515759527683258,0.15868011116981506,0.22888411581516266,0.6824371218681335,0.1463010311126709
of,0.3113144040107727,0.17919406294822693,0.2603091299533844,0.29282352328300476,0.33290785551071167,0.37726253271102905,0.33835989236831665,0.1826142966747284
either,0.19969511032104492,0.1274472326040268,0.4823819100856781,0.3043476641178131,0.3851809501647949,0.3665056526660919,0.2719581425189972,0.31498292088508606
passive,0.28757426142692566,0.2147412747144699,0.40003323554992676,0.27621838450431824,0.31729164719581604,0.2065155804157257,0.36913278698921204,0.18928402662277222
short-term,0.3746563494205475,0.2603432536125183,0.3791956305503845,0.3212908208370209,0.2683810889720917,0.3857038915157318,0.309053897857666,0.23832911252975464
memory,0.33612072467803955,0.9999999403953552,0.20877830684185028,0.11295539140701294,0.20690667629241943,0.19382846355438232,0.09548573195934296,0.1397676020860672
or,0.2965782582759857,0.25076672434806824,0.5614996552467346,0.31863799691200256,0.33867141604423523,0.3349444568157196,0.36597785353660583,0.32389625906944275
active,0.1793728917837143,0.1501249372959137,0.2587744891643524,0.19851194322109222,0.2610722482204437,0.17658288776874542,0.15179148316383362,0.20374006032943726
long-term,0.35628795623779297,0.1871510148048401,0.2930738925933838,0.19293101131916046,0.2285422384738922,0.27735549211502075,0.2654925584793091,0.2383396476507187
memory,0.33612072467803955,0.9999999403953552,0.20877830684185028,0.11295539140701294,0.20690667629241943,0.19382846355438232,0.09548573195934296,0.1397676020860672
.,0.20402413606643677,0.13056598603725433,0.35783761739730835,0.3045158088207245,0.3567904531955719,0.3524959683418274,0.24305115640163422,0.4130953550338745
