,which,channel,did,the,5,applications,request,for,broadcast,?
these,0.5959210991859436,0.18613985180854797,0.38755595684051514,0.49086877703666687,0.05900343880057335,0.36353227496147156,0.20417502522468567,0.41566818952560425,0.1665971726179123,0.2571668326854706
applications,0.34649497270584106,0.19181109964847565,0.1447269320487976,0.23664557933807373,0.12631991505622864,1.0,0.30550530552864075,0.35100895166397095,0.1984962522983551,0.19125857949256897
all,0.50777268409729,0.18801839649677277,0.33943864703178406,0.4860881567001343,0.04929402470588684,0.2717576324939728,0.2326367348432541,0.41144001483917236,0.14730939269065857,0.29575422406196594
requested,0.2630670368671417,0.192874014377594,0.3457925021648407,0.2535228729248047,0.07146730273962021,0.2982931137084961,0.7606098651885986,0.35121026635169983,0.2756676971912384,0.3419589698314667
for,0.44095608592033386,0.1936226189136505,0.318512886762619,0.4739971458911896,0.06971735507249832,0.35100895166397095,0.24378444254398346,0.9999999403953552,0.2546502649784088,0.264628142118454
the,0.6521818041801453,0.2860044836997986,0.34736719727516174,1.0,0.09255307912826538,0.23664557933807373,0.18777982890605927,0.4739971458911896,0.2713715434074402,0.22068053483963013
stations,0.25455939769744873,0.3503170311450958,0.16568200290203094,0.24762700498104095,0.08585239946842194,0.34743010997772217,0.17158137261867523,0.236822247505188,0.4233371615409851,0.13192185759544373
to,0.5345056653022766,0.21299093961715698,0.4452643394470215,0.535392165184021,0.03588335961103439,0.28076672554016113,0.3584270775318146,0.4451248347759247,0.2326623648405075,0.29463258385658264
broadcast,0.26385819911956787,0.4968917667865753,0.17054221034049988,0.2713715434074402,0.0004579016240313649,0.1984962522983551,0.2333051711320877,0.2546502649784088,1.0,0.15760008990764618
on,0.4245251417160034,0.2989991009235382,0.2670976221561432,0.5107308030128479,0.1658337414264679,0.2782871723175049,0.3058939576148987,0.36199691891670227,0.2845228910446167,0.2714994251728058
vhf,0.3746870160102844,0.3987322747707367,0.1441168189048767,0.2811516523361206,0.07973402738571167,0.43345174193382263,0.23929843306541443,0.2463938146829605,0.45025667548179626,0.22005349397659302
