,what,increases,with,the,increase,of,income,inequality,?
on,0.34226128458976746,0.22925710678100586,0.40749499201774597,0.5107308030128479,0.20996718108654022,0.3966929316520691,0.12938405573368073,0.16136983036994934,0.2714994251728058
the,0.42745697498321533,0.38141000270843506,0.4223487675189972,1.0,0.32049667835235596,0.733189046382904,0.23699946701526642,0.23508106172084808,0.22068053483963013
other,0.341873437166214,0.2862232029438019,0.44086363911628723,0.44152235984802246,0.3025151193141937,0.38583824038505554,0.23439402878284454,0.23700791597366333,0.24682199954986572
hand,0.26703396439552307,0.21292679011821747,0.35322797298431396,0.253619521856308,0.1608862578868866,0.18184109032154083,0.09456399083137512,0.226226344704628,0.20656698942184448
",",0.3087472915649414,0.17835964262485504,0.4120737314224243,0.4933079481124878,0.20005576312541962,0.4946078956127167,0.19703416526317596,0.21822890639305115,0.31091248989105225
higher,0.2538340389728546,0.507759690284729,0.20294103026390076,0.3292480409145355,0.43265438079833984,0.3096220791339874,0.2679516673088074,0.3147837817668915,0.15679465234279633
economic,0.18082544207572937,0.2508953809738159,0.21086382865905762,0.282455176115036,0.2910363972187042,0.3030148148536682,0.408316433429718,0.4401332437992096,0.1206481084227562
inequality,0.30072227120399475,0.35470065474510193,0.2160445749759674,0.23508106172084808,0.35598164796829224,0.27910974621772766,0.46967795491218567,1.0000001192092896,0.23619021475315094
tends,0.250471830368042,0.40531253814697266,0.2311040461063385,0.32723093032836914,0.31387877464294434,0.2451501041650772,0.2652989625930786,0.31965386867523193,0.1290840357542038
to,0.455847829580307,0.3197665810585022,0.4239959120750427,0.535392165184021,0.3378143310546875,0.41548454761505127,0.27188464999198914,0.24361056089401245,0.29463258385658264
increase,0.21153631806373596,0.8556717038154602,0.2471977174282074,0.32049667835235596,1.0,0.3156060576438904,0.3552919328212738,0.35598164796829224,0.11119163036346436
entrepreneurship,0.1474476456642151,0.19750897586345673,0.1894335299730301,0.20892655849456787,0.2700387239456177,0.21051692962646484,0.27419787645339966,0.2413557469844818,0.20703251659870148
rates,0.2148645967245102,0.5519858598709106,0.19053985178470612,0.25867342948913574,0.5147584080696106,0.2585311233997345,0.46031635999679565,0.3752773702144623,0.13808594644069672
at,0.2838611304759979,0.2674424350261688,0.29126521944999695,0.457212895154953,0.24728736281394958,0.42558613419532776,0.1277964860200882,0.09589436650276184,0.21978627145290375
the,0.42745697498321533,0.38141000270843506,0.4223487675189972,1.0,0.32049667835235596,0.733189046382904,0.23699946701526642,0.23508106172084808,0.22068053483963013
individual,0.34021541476249695,0.3683134913444519,0.30067092180252075,0.3706541955471039,0.33236148953437805,0.3372420072555542,0.30897796154022217,0.3143709599971771,0.2058374285697937
level,0.27376922965049744,0.3350476622581482,0.23348768055438995,0.31442487239837646,0.3183557689189911,0.23504668474197388,0.24777935445308685,0.24342113733291626,0.20528386533260345
(,0.2411840260028839,0.17667055130004883,0.29503780603408813,0.33289089798927307,0.15438681840896606,0.35032153129577637,0.1266181766986847,0.1679764688014984,0.40561532974243164
self-employment,0.21796046197414398,0.33519434928894043,0.22634558379650116,0.2351660132408142,0.3665800392627716,0.2520904541015625,0.5272234082221985,0.5462154746055603,0.231491357088089
),0.26259949803352356,0.15424759685993195,0.3069596290588379,0.3456730246543884,0.15013758838176727,0.3680361211299896,0.12669844925403595,0.16527613997459412,0.42300865054130554
.,0.3567904531955719,0.22987256944179535,0.4446153938770294,0.5934505462646484,0.24619564414024353,0.5352458953857422,0.26448529958724976,0.22563500702381134,0.4130953550338745
