,how,much,do,estimations,of,the,population,during,the,plague,vary,?
most,0.311336874961853,0.4205867648124695,0.31522849202156067,0.3050103187561035,0.4178851246833801,0.47635307908058167,0.21684317290782928,0.3715948462486267,0.47635307908058167,0.20123998820781708,0.30417174100875854,0.2107497900724411
work,0.38187548518180847,0.38858485221862793,0.3533625304698944,0.22419749200344086,0.23473061621189117,0.2704800069332123,0.10885439068078995,0.1864008754491806,0.2704800069332123,0.20259913802146912,0.1573302000761032,0.2621155381202698
has,0.26820555329322815,0.31650421023368835,0.22084827721118927,0.21682585775852203,0.3909035325050354,0.4177538752555847,0.25973978638648987,0.23098520934581757,0.4177538752555847,0.11916206032037735,0.23390117287635803,0.15994466841220856
been,0.26456597447395325,0.34950098395347595,0.25179004669189453,0.26758888363838196,0.31685134768486023,0.3563927710056305,0.20994028449058533,0.3273974359035492,0.3563927710056305,0.21858860552310944,0.23144029080867767,0.24354910850524902
done,0.37416744232177734,0.35928860306739807,0.4453444480895996,0.2796618938446045,0.23300732672214508,0.26575928926467896,0.1741461604833603,0.2546488642692566,0.26575928926467896,0.19165250658988953,0.1983131766319275,0.36153489351272583
on,0.32655060291290283,0.2834896147251129,0.3025321364402771,0.24263125658035278,0.3966929316520691,0.5107308030128479,0.14850834012031555,0.3347817361354828,0.5107308030128479,0.16606301069259644,0.23457001149654388,0.2714994251728058
the,0.33890387415885925,0.35023224353790283,0.30239659547805786,0.2838801443576813,0.733189046382904,1.0,0.32044094800949097,0.4838213622570038,1.0,0.2537761330604553,0.26695486903190613,0.22068053483963013
spread,0.22865283489227295,0.3446498215198517,0.20397695899009705,0.1832752227783203,0.2895529866218567,0.28994160890579224,0.29979264736175537,0.2517121136188507,0.28994160890579224,0.3459134101867676,0.2642725706100464,0.16482828557491302
of,0.2480744868516922,0.2671096920967102,0.26150479912757874,0.2751551866531372,1.0,0.733189046382904,0.3060894012451172,0.3869180977344513,0.733189046382904,0.27455615997314453,0.28326424956321716,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.30239659547805786,0.2838801443576813,0.733189046382904,1.0,0.32044094800949097,0.4838213622570038,1.0,0.2537761330604553,0.26695486903190613,0.22068053483963013
plague,0.16610242426395416,0.18828725814819336,0.15466199815273285,0.23329536616802216,0.27455615997314453,0.2537761330604553,0.28463682532310486,0.25791043043136597,0.2537761330604553,0.9999999403953552,0.11219765990972519,0.11872942000627518
in,0.2601168751716614,0.2725222110748291,0.23402775824069977,0.25657445192337036,0.5696388483047485,0.6662389636039734,0.3268454372882843,0.4627237319946289,0.6662389636039734,0.2488756626844406,0.20386748015880585,0.20430970191955566
england,0.17829500138759613,0.21085163950920105,0.10371062159538269,0.07886233925819397,0.24624483287334442,0.28280043601989746,0.14471842348575592,0.23691093921661377,0.28280043601989746,0.2863551378250122,0.13858084380626678,0.13436897099018097
",",0.22659391164779663,0.36182254552841187,0.3283645510673523,0.29754117131233215,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.3225448727607727,0.4933079481124878,0.2630122900009155,0.2645319104194641,0.31091248989105225
and,0.33647966384887695,0.38395699858665466,0.276123583316803,0.2346976399421692,0.5116966962814331,0.5171257257461548,0.23080337047576904,0.36462149024009705,0.5171257257461548,0.2229994833469391,0.23900242149829865,0.20544172823429108
even,0.40660160779953003,0.5521572232246399,0.4404686391353607,0.2541026175022125,0.34735506772994995,0.37996912002563477,0.20794953405857086,0.2949271500110626,0.37996912002563477,0.2702503502368927,0.23306675255298615,0.30082517862319946
estimates,0.2778623700141907,0.3163067400455475,0.21150796115398407,0.8108192682266235,0.27648961544036865,0.26259228587150574,0.5151663422584534,0.22365018725395203,0.26259228587150574,0.22767512500286102,0.368414044380188,0.19916187226772308
of,0.2480744868516922,0.2671096920967102,0.26150479912757874,0.2751551866531372,1.0,0.733189046382904,0.3060894012451172,0.3869180977344513,0.733189046382904,0.27455615997314453,0.28326424956321716,0.1826142966747284
overall,0.25038012862205505,0.3132494390010834,0.17843087017536163,0.2574470043182373,0.2889781594276428,0.31739529967308044,0.18420974910259247,0.22055108845233917,0.31739529967308044,0.14891134202480316,0.2511286437511444,0.18573027849197388
population,0.1651063710451126,0.21015548706054688,0.15441055595874786,0.5152618885040283,0.3060894012451172,0.32044094800949097,1.0,0.2194119244813919,0.32044094800949097,0.28463682532310486,0.1890970766544342,0.14449454843997955
at,0.2154216170310974,0.23158283531665802,0.1511090099811554,0.24233378469944,0.42558613419532776,0.457212895154953,0.15945716202259064,0.372769296169281,0.457212895154953,0.14142930507659912,0.17716558277606964,0.21978627145290375
the,0.33890387415885925,0.35023224353790283,0.30239659547805786,0.2838801443576813,0.733189046382904,1.0,0.32044094800949097,0.4838213622570038,1.0,0.2537761330604553,0.26695486903190613,0.22068053483963013
start,0.29369035363197327,0.2591973543167114,0.3303017318248749,0.164894700050354,0.23166994750499725,0.3656389117240906,0.1754804104566574,0.3716736435890198,0.3656389117240906,0.1795816719532013,0.15250371396541595,0.26634979248046875
vary,0.2840678095817566,0.2818799316883087,0.2584894299507141,0.35319334268569946,0.28326424956321716,0.26695486903190613,0.1890970766544342,0.20086199045181274,0.26695486903190613,0.11219765990972519,1.0,0.15120448172092438
by,0.34370526671409607,0.24959969520568848,0.1481526494026184,0.21897463500499725,0.3646814823150635,0.4408751428127289,0.17143253982067108,0.3220438063144684,0.4408751428127289,0.22066086530685425,0.13647350668907166,0.17966607213020325
over,0.31446483731269836,0.3711091876029968,0.22620153427124023,0.3144766688346863,0.36136594414711,0.39856547117233276,0.19324128329753876,0.3472751975059509,0.39856547117233276,0.2382458746433258,0.29787957668304443,0.25742942094802856
100,0.16096413135528564,0.180547297000885,0.15195269882678986,0.2739393413066864,0.1816425770521164,0.16408909857273102,0.10640343278646469,0.06033926084637642,0.16408909857273102,0.20308011770248413,0.12009414285421371,0.19397632777690887
%,0.1237400695681572,0.26866111159324646,0.18865665793418884,0.3692575991153717,0.19953428208827972,0.21490740776062012,0.4585210084915161,0.11905162036418915,0.21490740776062012,0.13837918639183044,0.16502365469932556,0.21441808342933655
as,0.33782753348350525,0.36514025926589966,0.38329678773880005,0.19635482132434845,0.3886612355709076,0.48381632566452026,0.22002090513706207,0.29671990871429443,0.48381632566452026,0.1501513570547104,0.1946660429239273,0.27043893933296204
no,0.2603875398635864,0.3037329912185669,0.3198779225349426,0.19480043649673462,0.24809792637825012,0.3461136817932129,0.16290639340877533,0.1413324624300003,0.3461136817932129,0.1816822737455368,0.17614775896072388,0.32165053486824036
census,0.1627962440252304,0.15914218127727509,0.14360131323337555,0.3894660770893097,0.19615516066551208,0.2524987757205963,0.6778454184532166,0.11969147622585297,0.2524987757205963,0.16247309744358063,0.13883881270885468,0.12548218667507172
was,0.16678167879581451,0.2580166161060333,0.11523093283176422,0.20554488897323608,0.4069072902202606,0.48711544275283813,0.1935066133737564,0.4470829963684082,0.48711544275283813,0.24312011897563934,0.12834618985652924,0.18412111699581146
undertaken,0.22244498133659363,0.21599070727825165,0.18691086769104004,0.25448718667030334,0.27399179339408875,0.3180011510848999,0.20652024447917938,0.33755746483802795,0.3180011510848999,0.16226598620414734,0.24198494851589203,0.15510587394237518
