,what,type,of,topological,systems,are,found,in,numbers,in,victoria,?
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.2231999784708023,0.22257624566555023,0.5433560013771057,0.34913212060928345,0.5361666083335876,0.3104099631309509,0.5361666083335876,0.16892722249031067,0.29405656456947327
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2487993687391281,0.23126937448978424,0.5330929756164551,0.3526395261287689,0.5394441485404968,0.19465886056423187,0.5394441485404968,0.1633591204881668,0.22961433231830597
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.25577688217163086,0.19967354834079742,0.1556541919708252,0.11655625700950623,0.2605783939361572,0.17320702970027924,0.2605783939361572,0.12262015789747238,0.19793890416622162
extensive,0.24088335037231445,0.1336275190114975,0.2948661148548126,0.31624266505241394,0.30703040957450867,0.23453594744205475,0.1807783991098404,0.3108808398246765,0.21877054870128632,0.3108808398246765,0.1838918775320053,0.16032595932483673
series,0.17328087985515594,0.1107964813709259,0.22268271446228027,0.22666087746620178,0.1784857213497162,0.2139665186405182,0.1012115627527237,0.2914260923862457,0.2224692851305008,0.2914260923862457,0.14821577072143555,0.1709602326154709
of,0.33290785551071167,0.18112817406654358,1.0,0.29504266381263733,0.277031809091568,0.39081433415412903,0.2982911467552185,0.5696388483047485,0.228018656373024,0.5696388483047485,0.2505437433719635,0.1826142966747284
river,0.13815869390964508,0.06843157112598419,0.19903257489204407,0.1675693243741989,0.0629347488284111,0.10382523387670517,0.18605612218379974,0.2149806171655655,0.15409207344055176,0.2149806171655655,0.20823602378368378,0.15390869975090027
systems,0.1871482878923416,0.2776927351951599,0.277031809091568,0.31498467922210693,1.0,0.29607290029525757,0.18033632636070251,0.21664761006832123,0.287588506937027,0.21664761006832123,0.07997998595237732,0.1575973927974701
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.21109041571617126,0.21664761006832123,0.3841303884983063,0.39141854643821716,1.0,0.23087690770626068,1.0,0.20823122560977936,0.20430970191955566
victoria,0.1194850504398346,0.1476583331823349,0.2505437433719635,0.17785395681858063,0.07997998595237732,0.16939106583595276,0.11153411865234375,0.20823122560977936,0.12272140383720398,0.20823122560977936,1.0,0.12246892601251602
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.18500974774360657,0.2403000146150589,0.3452940285205841,0.3618174195289612,0.5591574311256409,0.2591777741909027,0.5591574311256409,0.23069117963314056,0.4130953550338745
