,what,do,chloroplasts,in,mesophyll,cells,store,carbon,dioxide,in,?
they,0.4431931674480438,0.4667694866657257,0.37369829416275024,0.4330179989337921,0.331913024187088,0.3539968729019165,0.28481075167655945,0.25004661083221436,0.24155974388122559,0.4330179989337921,0.2753053903579712
store,0.18931551277637482,0.22585466504096985,0.23769770562648773,0.3481425344944,0.20771858096122742,0.22207121551036835,1.0,0.16972295939922333,0.20606952905654907,0.3481425344944,0.17555226385593414
co2,0.13638697564601898,0.12557080388069153,0.11622997373342514,0.21213442087173462,0.12485472857952118,0.02815854176878929,0.17915689945220947,0.20804579555988312,0.13667048513889313,0.21213442087173462,0.0799083262681961
in,0.30808621644973755,0.23402775824069977,0.21141497790813446,1.0,0.25911617279052734,0.1711641103029251,0.3481425344944,0.1857566386461258,0.16380831599235535,1.0,0.20430970191955566
a,0.3320399522781372,0.26237669587135315,0.24622295796871185,0.539380669593811,0.24215084314346313,0.2297232300043106,0.25129345059394836,0.22569981217384338,0.17966489493846893,0.539380669593811,0.23916715383529663
four-carbon,0.2215588241815567,0.22156387567520142,0.5008670687675476,0.26491206884384155,0.4615227282047272,0.3393681049346924,0.16030046343803406,0.8718304634094238,0.7000120878219604,0.26491206884384155,0.21834437549114227
compound,0.182308629155159,0.2012030929327011,0.5076695084571838,0.20910684764385223,0.35532185435295105,0.32076743245124817,0.19793179631233215,0.46365734934806824,0.5007088780403137,0.20910684764385223,0.19502747058868408
",",0.3087472915649414,0.3283645510673523,0.20794041454792023,0.5201468467712402,0.28956174850463867,0.20582014322280884,0.27140161395072937,0.21631208062171936,0.20329879224300385,0.5201468467712402,0.31091248989105225
which,0.5261979103088379,0.31153854727745056,0.3874085545539856,0.4840516746044159,0.3294721245765686,0.3000165820121765,0.25919073820114136,0.3200644552707672,0.28513333201408386,0.4840516746044159,0.25814583897590637
is,0.28837618231773376,0.30895981192588806,0.22550933063030243,0.5394441485404968,0.24493315815925598,0.1644774079322815,0.24926087260246277,0.2770232558250427,0.2507719099521637,0.5394441485404968,0.22961433231830597
why,0.6109785437583923,0.42639148235321045,0.22792738676071167,0.23227278888225555,0.24767601490020752,0.20226925611495972,0.15503017604351044,0.22683307528495789,0.22842836380004883,0.23227278888225555,0.5345069766044617
the,0.42745697498321533,0.30239659547805786,0.23062430322170258,0.6662389636039734,0.28114423155784607,0.19095487892627716,0.2639283239841461,0.23183570802211761,0.21460992097854614,0.6662389636039734,0.22068053483963013
process,0.3466717302799225,0.25918635725975037,0.4006134271621704,0.19851736724376678,0.2769263684749603,0.3208608031272888,0.17529630661010742,0.3372330665588379,0.35180172324180603,0.19851736724376678,0.2460896074771881
is,0.28837618231773376,0.30895981192588806,0.22550933063030243,0.5394441485404968,0.24493315815925598,0.1644774079322815,0.24926087260246277,0.2770232558250427,0.2507719099521637,0.5394441485404968,0.22961433231830597
called,0.3235960602760315,0.3090135157108307,0.2654791474342346,0.40847352147102356,0.2584266662597656,0.20908011496067047,0.22028981149196625,0.18071772158145905,0.1571435183286667,0.40847352147102356,0.18963319063186646
c4,-0.036017969250679016,-0.07113592326641083,-0.08176001161336899,0.024609647691249847,-0.05949375778436661,-0.08756047487258911,-0.03662048280239105,-0.056160818785429,-0.08019904047250748,0.024609647691249847,-0.1533951610326767
photosynthesis,0.261831134557724,0.28476712107658386,0.7245578765869141,0.2557604908943176,0.6267205476760864,0.5304041504859924,0.2832780182361603,0.5689888596534729,0.6067628264427185,0.2557604908943176,0.1871609091758728
.,0.3567904531955719,0.3613996207714081,0.23868323862552643,0.5591574311256409,0.30614688992500305,0.2868211269378662,0.2638673484325409,0.23824366927146912,0.22883257269859314,0.5591574311256409,0.4130953550338745
