,for,whom,was,this,new,mass,intended,?
he,0.4540175199508667,0.3327956199645996,0.5410010814666748,0.3176022469997406,0.2739552855491638,0.1783510446548462,0.16135427355766296,0.2089974731206894
did,0.318512886762619,0.3024649918079376,0.41399896144866943,0.3609912693500519,0.227974995970726,0.1598033756017685,0.3671674132347107,0.3023456633090973
not,0.39280617237091064,0.28049328923225403,0.2888734042644501,0.557635486125946,0.219951331615448,0.22646571695804596,0.37521570920944214,0.41942933201789856
intend,0.3235481083393097,0.286690890789032,0.18309006094932556,0.3683389723300934,0.24301448464393616,0.18887723982334137,0.7437047958374023,0.3825792670249939
it,0.32171204686164856,0.18352724611759186,0.4577186405658722,0.6107783317565918,0.23156195878982544,0.2043604701757431,0.28129705786705017,0.25732165575027466
as,0.44774648547172546,0.31695985794067383,0.3677520453929901,0.43993282318115234,0.24585270881652832,0.20994383096694946,0.266594260931015,0.27043893933296204
a,0.44038116931915283,0.21455949544906616,0.4508470594882965,0.5422310829162598,0.3214259147644043,0.21558082103729248,0.31608664989471436,0.23916715383529663
replacement,0.3152933418750763,0.1330268681049347,0.24185067415237427,0.31941479444503784,0.19963288307189941,0.12241768836975098,0.21461530029773712,0.14126648008823395
for,0.9999999403953552,0.24361787736415863,0.3863949179649353,0.5082864165306091,0.2700757384300232,0.18664062023162842,0.31711438298225403,0.264628142118454
his,0.39312878251075745,0.38462314009666443,0.4405253231525421,0.3549620509147644,0.24132801592350006,0.171666219830513,0.23193079233169556,0.18075084686279297
1523,-0.016432927921414375,-0.07074637711048126,-0.10103319585323334,-0.08889321237802505,-0.030318710952997208,-0.08382301777601242,-0.10199189931154251,-0.1076718270778656
adaptation,0.24596548080444336,0.08304714411497116,0.14957714080810547,0.2517496645450592,0.13430432975292206,0.16488420963287354,0.1719607561826706,0.138858363032341
of,0.4185989499092102,0.2070929855108261,0.4069072902202606,0.45148900151252747,0.343457967042923,0.26915112137794495,0.24364815652370453,0.1826142966747284
the,0.4739971458911896,0.23752936720848083,0.48711544275283813,0.6274310946464539,0.3845241069793701,0.2284930944442749,0.29853108525276184,0.22068053483963013
latin,0.2160390317440033,0.11287886649370193,0.15532594919204712,0.24345313012599945,0.16978855431079865,0.1948971003293991,0.12094941735267639,0.1303461492061615
mass,0.18664062023162842,0.048364993184804916,0.16957920789718628,0.30548951029777527,0.1902189999818802,1.0000001192092896,0.21578215062618256,0.2076406031847
