,how,cold,does,this,region,of,victoria,get,in,the,winner,?
average,0.2824462950229645,0.19155587255954742,0.17787541449069977,0.25635799765586853,0.23243151605129242,0.23717734217643738,0.1201997771859169,0.20042607188224792,0.23465414345264435,0.27058175206184387,0.1727651208639145,0.21764592826366425
temperatures,0.2543736696243286,0.46448513865470886,0.2842831015586853,0.31444698572158813,0.25736844539642334,0.2011728584766388,0.20014558732509613,0.2248634248971939,0.2835210859775543,0.27544233202934265,0.12029208242893219,0.1895846426486969
exceed,0.2332100123167038,0.14619122445583344,0.3353729546070099,0.26713550090789795,0.165989488363266,0.24056902527809143,0.148317351937294,0.30308350920677185,0.17460723221302032,0.23819206655025482,0.14478076994419098,0.13049276173114777
32,-0.0881153866648674,0.017865441739559174,-0.05282067134976387,0.05538979172706604,0.08918380737304688,-0.06897011399269104,0.02061673253774643,0.0032034143805503845,-0.04161756858229637,-0.06675421446561813,-0.10303691029548645,0.04494665935635567
°c,0.1447901725769043,0.33604559302330017,0.19158126413822174,0.2170967161655426,0.2203400433063507,0.11791849136352539,0.1630314439535141,0.15801644325256348,0.19822709262371063,0.1833128035068512,0.12416703999042511,0.2095707356929779
(,0.1676948219537735,0.1784229427576065,0.2728188931941986,0.3388223350048065,0.1544569879770279,0.35032153129577637,0.14948904514312744,0.2644343078136444,0.3087427020072937,0.33289089798927307,0.24413546919822693,0.40561532974243164
90,-0.07865460216999054,-0.05680700019001961,-0.13686193525791168,-0.13977716863155365,0.07856277376413345,-0.06715171784162521,0.007660414092242718,-0.14108605682849884,0.022158663719892502,-0.08136876672506332,-0.04093556851148605,-0.0034062080085277557
°f,0.16955995559692383,0.3711237907409668,0.16701941192150116,0.1964743286371231,0.24207746982574463,0.13844995200634003,0.1577220857143402,0.15390466153621674,0.23065856099128723,0.22598426043987274,0.1691412329673767,0.19986218214035034
),0.17939934134483337,0.18041756749153137,0.2575884759426117,0.3621573746204376,0.1620774269104004,0.3680361211299896,0.17964273691177368,0.26274725794792175,0.3326910734176636,0.3456730246543884,0.23899239301681519,0.42300865054130554
during,0.26830652356147766,0.31616321206092834,0.15165476500988007,0.34351885318756104,0.20084431767463684,0.3869180977344513,0.20968946814537048,0.20769929885864258,0.4627237319946289,0.4838213622570038,0.1771923452615738,0.1325719803571701
summer,0.1146422028541565,0.2948186993598938,0.19580480456352234,0.21817351877689362,0.17475154995918274,0.2329561412334442,0.16887231171131134,0.22735822200775146,0.31081318855285645,0.2685571610927582,0.2083023339509964,0.11625723540782928
and,0.33647966384887695,0.25512415170669556,0.3461615741252899,0.42353692650794983,0.2372262328863144,0.5116966962814331,0.24507255852222443,0.37609121203422546,0.4954058527946472,0.5171257257461548,0.2266683727502823,0.20544172823429108
15,-0.005761355627328157,0.03946132957935333,-0.06282642483711243,-0.07070626318454742,0.010570543818175793,-0.02319195494055748,-0.023595217615365982,0.00901300460100174,0.02424248494207859,-0.011810222640633583,0.08035897463560104,-0.010706285014748573
°c,0.1447901725769043,0.33604559302330017,0.19158126413822174,0.2170967161655426,0.2203400433063507,0.11791849136352539,0.1630314439535141,0.15801644325256348,0.19822709262371063,0.1833128035068512,0.12416703999042511,0.2095707356929779
(,0.1676948219537735,0.1784229427576065,0.2728188931941986,0.3388223350048065,0.1544569879770279,0.35032153129577637,0.14948904514312744,0.2644343078136444,0.3087427020072937,0.33289089798927307,0.24413546919822693,0.40561532974243164
59,-0.01171241793781519,-0.012516587041318417,-0.045259661972522736,-0.04146992042660713,-0.08147835731506348,0.04298384115099907,0.04333058372139931,0.03531774505972862,-0.0402323417365551,-0.01974222995340824,-0.09215930104255676,-0.004639259073883295
°f,0.16955995559692383,0.3711237907409668,0.16701941192150116,0.1964743286371231,0.24207746982574463,0.13844995200634003,0.1577220857143402,0.15390466153621674,0.23065856099128723,0.22598426043987274,0.1691412329673767,0.19986218214035034
),0.17939934134483337,0.18041756749153137,0.2575884759426117,0.3621573746204376,0.1620774269104004,0.3680361211299896,0.17964273691177368,0.26274725794792175,0.3326910734176636,0.3456730246543884,0.23899239301681519,0.42300865054130554
in,0.2601168751716614,0.24527457356452942,0.214483380317688,0.45205554366111755,0.3524819314479828,0.5696388483047485,0.20823122560977936,0.24899829924106598,1.0,0.6662389636039734,0.2491646409034729,0.20430970191955566
winter,0.08691002428531647,0.4093282222747803,0.18601158261299133,0.2099180519580841,0.21435585618019104,0.23947669565677643,0.13204503059387207,0.1710447371006012,0.29423755407333374,0.30035296082496643,0.23401367664337158,0.1591269075870514
.,0.3287222981452942,0.253801554441452,0.3022993505001068,0.500583827495575,0.2506107687950134,0.5352458953857422,0.23069117963314056,0.39392393827438354,0.5591574311256409,0.5934505462646484,0.22186151146888733,0.4130953550338745
