,what,type,of,compounds,does,oxygen,most,commonly,form,?
it,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.25095421075820923,0.34188351035118103,0.26699385046958923,0.4001435935497284,0.2820725440979004,0.31451088190078735,0.25732165575027466
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2659003734588623,0.4403602182865143,0.21825239062309265,0.41165053844451904,0.3994327187538147,0.3218395411968231,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.23579706251621246,0.38201746344566345,0.21662019193172455,0.3508910834789276,0.27022549510002136,0.3088195323944092,0.23916715383529663
member,0.09932345896959305,0.1253872513771057,0.2701796889305115,0.1459508240222931,0.15050765872001648,0.12464442104101181,0.23000644147396088,0.15991348028182983,0.1722709834575653,0.06826172769069672
of,0.33290785551071167,0.18112817406654358,1.0,0.232599675655365,0.3119818866252899,0.16848602890968323,0.4178851246833801,0.29300037026405334,0.29600051045417786,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.18294313549995422,0.35928019881248474,0.20428593456745148,0.47635307908058167,0.2974449694156647,0.29286009073257446,0.22068053483963013
chalcogen,0.26880156993865967,0.21037374436855316,0.34697645902633667,0.4862675070762634,0.20488673448562622,0.46329087018966675,0.23166005313396454,0.1900072991847992,0.28942665457725525,0.2721256911754608
group,0.2114069163799286,0.23933224380016327,0.25542253255844116,0.24233919382095337,0.12092027813196182,0.22228002548217773,0.28064751625061035,0.17771005630493164,0.29579412937164307,0.13827809691429138
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.14465054869651794,0.2568802833557129,0.2008662223815918,0.28303956985473633,0.15252314507961273,0.1214052140712738,0.2714994251728058
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.18294313549995422,0.35928019881248474,0.20428593456745148,0.47635307908058167,0.2974449694156647,0.29286009073257446,0.22068053483963013
periodic,0.19760970771312714,0.19894948601722717,0.19135160744190216,0.47987738251686096,0.22152046859264374,0.38026314973831177,0.2356797158718109,0.23893772065639496,0.24341753125190735,0.18325947225093842
table,0.2240780144929886,0.1891743540763855,0.20049740374088287,0.26234549283981323,0.2152649164199829,0.2195720374584198,0.12742261588573456,0.16297726333141327,0.1921674907207489,0.1782790720462799
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.25433242321014404,0.3461615741252899,0.22261030972003937,0.4309377074241638,0.2290310114622116,0.30469027161598206,0.20544172823429108
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2659003734588623,0.4403602182865143,0.21825239062309265,0.41165053844451904,0.3994327187538147,0.3218395411968231,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.23579706251621246,0.38201746344566345,0.21662019193172455,0.3508910834789276,0.27022549510002136,0.3088195323944092,0.23916715383529663
