,is,it,easier,or,harder,to,change,eu,law,than,stay,the,same,?
this,0.480927973985672,0.6107783317565918,0.39026495814323425,0.4406825602054596,0.32715973258018494,0.5759071707725525,0.4215611219406128,0.20222337543964386,0.1943822205066681,0.42539164423942566,0.3130773603916168,0.6274310946464539,0.49053558707237244,0.3155723512172699
means,0.4087343215942383,0.28055405616760254,0.3131831884384155,0.5554915070533752,0.26240989565849304,0.2301892638206482,0.2675262689590454,0.15714408457279205,0.20100674033164978,0.3308737576007843,0.16896864771842957,0.32225894927978516,0.2983475923538208,0.21233566105365753
",",0.4691906273365021,0.48329564929008484,0.2665357291698456,0.3769497275352478,0.25041988492012024,0.44245919585227966,0.2752361297607422,0.1565755307674408,0.24953721463680267,0.3371901512145996,0.2502226233482361,0.4933079481124878,0.3207721710205078,0.31091248989105225
legislation,0.17952819168567657,0.24862082302570343,0.19312629103660583,0.23326462507247925,0.1365600973367691,0.25758448243141174,0.22218261659145355,0.24656285345554352,0.459128201007843,0.18384535610675812,0.14172348380088806,0.2839483618736267,0.17535185813903809,0.21123437583446503
can,0.44256699085235596,0.3819273114204407,0.5428836941719055,0.5614996552467346,0.42446041107177734,0.4979398250579834,0.38303205370903015,0.15144599974155426,0.13600260019302368,0.3532506823539734,0.3147687613964081,0.312528520822525,0.3393253982067108,0.3226337134838104
be,0.4819129705429077,0.5203388929367065,0.3823797404766083,0.5260903835296631,0.34281453490257263,0.4972836375236511,0.4429277777671814,0.1461477279663086,0.18454892933368683,0.46516597270965576,0.4161105453968048,0.4248143136501312,0.3600577712059021,0.3324260413646698
blocked,0.1787002682685852,0.2664051055908203,0.26168760657310486,0.23249195516109467,0.2888675332069397,0.29294899106025696,0.29875490069389343,0.16391144692897797,0.1412418931722641,0.2522728145122528,0.27142900228500366,0.2196941375732422,0.32187125086784363,0.3316977918148041
by,0.3899846076965332,0.40926623344421387,0.2315126210451126,0.30274316668510437,0.21578428149223328,0.33534231781959534,0.2329561412334442,0.07193604856729507,0.1977037936449051,0.2015816867351532,0.14363719522953033,0.4408751428127289,0.2768566608428955,0.17966607213020325
a,0.658733606338501,0.5452592968940735,0.2903635501861572,0.48853766918182373,0.25577613711357117,0.45503583550453186,0.3047741651535034,0.13932566344738007,0.2212858349084854,0.3126874566078186,0.27986037731170654,0.5829201340675354,0.4048157036304474,0.23916715383529663
majority,0.19749082624912262,0.24516208469867706,0.22111943364143372,0.26763081550598145,0.18439050018787384,0.26316750049591064,0.2097962349653244,0.25117191672325134,0.23056431114673615,0.25583645701408386,0.19094763696193695,0.28757327795028687,0.23743826150894165,0.220119908452034
