,who,did,genghis,khan,unite,before,he,began,conquering,the,rest,of,eurasia,?
he,0.5500732064247131,0.3292143940925598,0.28288567066192627,0.24136358499526978,0.26451390981674194,0.3621264398097992,1.0000001192092896,0.29429033398628235,0.27337726950645447,0.4571082592010498,0.28233975172042847,0.38706058263778687,0.1535843014717102,0.2089974731206894
came,0.26680538058280945,0.4016856253147125,0.27751803398132324,0.16267025470733643,0.29295068979263306,0.31454765796661377,0.3321067988872528,0.47084155678749084,0.33870041370391846,0.39390382170677185,0.2961246967315674,0.3201526999473572,0.23277100920677185,0.1739392727613449
to,0.42656609416007996,0.4452643394470215,0.2294713407754898,0.18221943080425262,0.40252238512039185,0.4190867841243744,0.385390967130661,0.2731419503688812,0.3337459862232208,0.535392165184021,0.367563933134079,0.41548454761505127,0.21269039809703827,0.29463258385658264
power,0.25855374336242676,0.2120266556739807,0.27360445261001587,0.1125795990228653,0.25094693899154663,0.2015227973461151,0.20515447854995728,0.2100660502910614,0.25435128808021545,0.2647338807582855,0.1835678368806839,0.25273123383522034,0.10693085193634033,0.15304024517536163
by,0.39727845788002014,0.18574509024620056,0.22102472186088562,0.13558374345302582,0.1871880739927292,0.37709173560142517,0.2485479861497879,0.2443893402814865,0.257876992225647,0.4408751428127289,0.20038633048534393,0.3646814823150635,0.15550851821899414,0.17966607213020325
uniting,0.23542846739292145,0.17720280587673187,0.2102644294500351,0.09929277747869492,0.545636773109436,0.21257296204566956,0.2466619312763214,0.22053289413452148,0.38685324788093567,0.3792002499103546,0.30572399497032166,0.43391722440719604,0.28283071517944336,0.16345468163490295
many,0.4149286150932312,0.375588983297348,0.2155562937259674,0.15215526521205902,0.2906213700771332,0.2728588581085205,0.3483840227127075,0.2829516530036926,0.2634679079055786,0.4335206151008606,0.3275910019874573,0.37253960967063904,0.246427983045578,0.2124512493610382
of,0.2827862501144409,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.3251948952674866,0.3282964527606964,0.38706058263778687,0.2330763041973114,0.3325044810771942,0.733189046382904,0.33621829748153687,1.0,0.21987955272197723,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.34316903352737427,0.45900648832321167,0.4571082592010498,0.3059147596359253,0.37138304114341736,1.0,0.41330549120903015,0.733189046382904,0.2830895781517029,0.22068053483963013
nomadic,0.3000648021697998,0.18233023583889008,0.36442145705223083,0.27143681049346924,0.3241966962814331,0.20801563560962677,0.15189950168132782,0.2703547179698944,0.3607668876647949,0.21071060001850128,0.278349906206131,0.16259200870990753,0.37776532769203186,0.10854141414165497
tribes,0.2694885730743408,0.17429257929325104,0.4128517806529999,0.2990405559539795,0.3570443093776703,0.16587425768375397,0.13748790323734283,0.2028486281633377,0.4494762718677521,0.26830655336380005,0.2084781527519226,0.21502000093460083,0.3270007371902466,0.08824794739484787
of,0.2827862501144409,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.3251948952674866,0.3282964527606964,0.38706058263778687,0.2330763041973114,0.3325044810771942,0.733189046382904,0.33621829748153687,1.0,0.21987955272197723,0.1826142966747284
northeast,0.1266448199748993,0.13690578937530518,0.190878763794899,0.08942389488220215,0.3097115457057953,0.15796028077602386,0.22231999039649963,0.2369396835565567,0.2926965057849884,0.3058204650878906,0.25937360525131226,0.27603718638420105,0.3466358780860901,0.07426474988460541
asia,0.21031607687473297,0.19509263336658478,0.31414562463760376,0.2521873712539673,0.2254929542541504,0.1537800282239914,0.14065812528133392,0.1882750540971756,0.2905265986919403,0.2838890850543976,0.2386050671339035,0.2372564673423767,0.6548935174942017,0.1340748518705368
.,0.3541337847709656,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.21763083338737488,0.36693984270095825,0.38061028718948364,0.19236212968826294,0.2223353087902069,0.5934505462646484,0.36049437522888184,0.5352458953857422,0.21097911894321442,0.4130953550338745
