,what,was,added,to,the,the,church,of,st.,andrew,in,1726,?
the,0.42745697498321533,0.48711544275283813,0.3207796514034271,0.535392165184021,1.0,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.6662389636039734,0.1396210938692093,0.22068053483963013
present,0.30940163135528564,0.1278916448354721,0.21555499732494354,0.2453051209449768,0.2829846143722534,0.2829846143722534,0.1582626849412918,0.3116828501224518,0.07845359295606613,0.14311464130878448,0.23905439674854279,0.10403642058372498,0.21759982407093048
building,0.23529528081417084,0.237406387925148,0.2635752856731415,0.2658686637878418,0.3159640431404114,0.3159640431404114,0.37474581599235535,0.26200541853904724,0.2061094045639038,0.1523696482181549,0.3256937265396118,0.07535675913095474,0.13549931347370148
was,0.22111038863658905,1.0000001192092896,0.22848746180534363,0.3636345863342285,0.48711544275283813,0.48711544275283813,0.24960921704769135,0.4069072902202606,0.17142929136753082,0.3215606212615967,0.45514053106307983,0.1404981017112732,0.18412111699581146
begun,0.2296452522277832,0.2829301357269287,0.20098325610160828,0.22838421165943146,0.2750677764415741,0.2750677764415741,0.26716798543930054,0.23892870545387268,0.1808898150920868,0.14746056497097015,0.2913682758808136,0.11136813461780548,0.13816508650779724
in,0.30808621644973755,0.45514053106307983,0.26384392380714417,0.45010748505592346,0.6662389636039734,0.6662389636039734,0.2493300437927246,0.5696388483047485,0.15931649506092072,0.17072397470474243,1.0,0.13335181772708893,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,0.3207796514034271,0.535392165184021,1.0,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.6662389636039734,0.1396210938692093,0.22068053483963013
12th,0.1207122877240181,0.2558962404727936,0.1250915378332138,0.17596735060214996,0.27435246109962463,0.27435246109962463,0.09623774141073227,0.19726771116256714,0.26249000430107117,0.15215559303760529,0.16606415808200836,0.005242348648607731,0.05097517371177673
century,0.20422613620758057,0.3521432876586914,0.21381224691867828,0.20143604278564453,0.3617299497127533,0.3617299497127533,0.3047577142715454,0.2826060354709625,0.14819175004959106,0.15544986724853516,0.3174034655094147,0.16697467863559723,0.1026201918721199
and,0.31309178471565247,0.3740963041782379,0.29847657680511475,0.48971283435821533,0.5171257257461548,0.5171257257461548,0.1976170688867569,0.5116966962814331,0.22686052322387695,0.21289494633674622,0.4954058527946472,0.11570049822330475,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,0.3207796514034271,0.535392165184021,1.0,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.6662389636039734,0.1396210938692093,0.22068053483963013
last,0.23175878822803497,0.32424551248550415,0.23927009105682373,0.30156898498535156,0.3698786795139313,0.3698786795139313,0.11115076392889023,0.3052992522716522,0.1263762265443802,0.08173089474439621,0.30714505910873413,0.16211606562137604,0.22371746599674225
addition,0.20643717050552368,0.2078816294670105,0.45597922801971436,0.29394859075546265,0.32955414056777954,0.32955414056777954,0.15831126272678375,0.27503931522369385,0.1092262789607048,0.17527905106544495,0.3033084571361542,0.0639219582080841,0.19187232851982117
to,0.455847829580307,0.3636345863342285,0.29473474621772766,1.0,0.535392165184021,0.535392165184021,0.24439501762390137,0.41548454761505127,0.20982599258422852,0.19888398051261902,0.45010748505592346,0.11225852370262146,0.29463258385658264
it,0.45803478360176086,0.4577186405658722,0.29989343881607056,0.513711154460907,0.6251175999641418,0.6251175999641418,0.23105517029762268,0.38761502504348755,0.11486785858869553,0.17079833149909973,0.5130809545516968,0.0992623046040535,0.25732165575027466
",",0.3087472915649414,0.45456063747406006,0.28397712111473083,0.44245919585227966,0.4933079481124878,0.4933079481124878,0.2707274258136749,0.4946078956127167,0.26603782176971436,0.2728791832923889,0.5201468467712402,0.1616981029510498,0.31091248989105225
apart,0.3046720027923584,0.1961895227432251,0.25827062129974365,0.29252201318740845,0.28010323643684387,0.28010323643684387,0.14969812333583832,0.25376787781715393,0.1329801380634308,0.08131803572177887,0.23653271794319153,0.07813552021980286,0.11720603704452515
from,0.2737620174884796,0.31171464920043945,0.23234812915325165,0.4069952368736267,0.40150508284568787,0.40150508284568787,0.1894836276769638,0.4249346852302551,0.1564422845840454,0.14172323048114777,0.4274188280105591,0.17703163623809814,0.19969791173934937
the,0.42745697498321533,0.48711544275283813,0.3207796514034271,0.535392165184021,1.0,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.6662389636039734,0.1396210938692093,0.22068053483963013
vestries,0.11953353136777878,0.18809272348880768,0.1175563633441925,0.21610933542251587,0.2389317899942398,0.2389317899942398,0.252616822719574,0.217672660946846,0.1623164266347885,0.17434941232204437,0.21696463227272034,0.1143212765455246,0.15910109877586365
",",0.3087472915649414,0.45456063747406006,0.28397712111473083,0.44245919585227966,0.4933079481124878,0.4933079481124878,0.2707274258136749,0.4946078956127167,0.26603782176971436,0.2728791832923889,0.5201468467712402,0.1616981029510498,0.31091248989105225
was,0.22111038863658905,1.0000001192092896,0.22848746180534363,0.3636345863342285,0.48711544275283813,0.48711544275283813,0.24960921704769135,0.4069072902202606,0.17142929136753082,0.3215606212615967,0.45514053106307983,0.1404981017112732,0.18412111699581146
the,0.42745697498321533,0.48711544275283813,0.3207796514034271,0.535392165184021,1.0,1.0,0.23846197128295898,0.733189046382904,0.18141359090805054,0.22624769806861877,0.6662389636039734,0.1396210938692093,0.22068053483963013
main,0.2344268560409546,0.21035033464431763,0.2600928544998169,0.26116618514060974,0.38631999492645264,0.38631999492645264,0.17608977854251862,0.3177044689655304,0.14345663785934448,0.05866628140211105,0.28862449526786804,0.08308095484972,0.1665669083595276
porch,0.17958639562129974,0.21773986518383026,0.19528518617153168,0.24791525304317474,0.30241909623146057,0.30241909623146057,0.3238297700881958,0.22360555827617645,0.358644038438797,0.16945195198059082,0.25362351536750793,0.10798916220664978,0.11103992909193039
in,0.30808621644973755,0.45514053106307983,0.26384392380714417,0.45010748505592346,0.6662389636039734,0.6662389636039734,0.2493300437927246,0.5696388483047485,0.15931649506092072,0.17072397470474243,1.0,0.13335181772708893,0.20430970191955566
1726,0.13760992884635925,0.1404981017112732,0.09422940015792847,0.11225852370262146,0.1396210938692093,0.1396210938692093,0.13422776758670807,0.1424778252840042,0.000876955280546099,-0.009971418417990208,0.13335181772708893,1.0000001192092896,0.0932074561715126
