,what,did,tesla,think,nitrous,acid,contributed,to,?
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.23837615549564362,0.19109892845153809,0.1958887279033661,0.2594258189201355,0.45010748505592346,0.20430970191955566
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.24885986745357513,0.21689142286777496,0.16477671265602112,0.2503540813922882,0.3715193271636963,0.18075084686279297
many,0.36131182312965393,0.375588983297348,0.15282970666885376,0.3984122574329376,0.2530551552772522,0.21702726185321808,0.2724478840827942,0.40243685245513916,0.2124512493610382
notes,0.19507816433906555,0.18922962248325348,0.18721121549606323,0.1781531423330307,0.09508859366178513,0.19368168711662292,0.11502821743488312,0.22688092291355133,0.23920853435993195
on,0.34226128458976746,0.2670976221561432,0.16159376502037048,0.2772510051727295,0.07561501115560532,0.15288880467414856,0.21944350004196167,0.41031414270401,0.2714994251728058
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.3102172613143921,0.20064882934093475,0.17908653616905212,0.2633678913116455,0.535392165184021,0.22068053483963013
early,0.2454567849636078,0.32047218084335327,0.10564569383859634,0.22186368703842163,0.15943673253059387,0.21434801816940308,0.32109230756759644,0.24557004868984222,0.15272949635982513
investigation,0.2361239343881607,0.21193689107894897,0.17677649855613708,0.21197904646396637,0.197096049785614,0.22498656809329987,0.1998884081840515,0.17949773371219635,0.1558016687631607
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.2625778615474701,0.1720791906118393,0.1909172534942627,0.29837220907211304,0.41548454761505127,0.1826142966747284
this,0.5489566326141357,0.3609912693500519,0.2066725641489029,0.5337333679199219,0.2941330373287201,0.24183011054992676,0.32355841994285583,0.5759071707725525,0.3155723512172699
phenomenon,0.2867237627506256,0.12384528666734695,0.22758138179779053,0.27398720383644104,0.2850658893585205,0.24497151374816895,0.3040824830532074,0.16946689784526825,0.19394198060035706
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.3095206320285797,0.19976547360420227,0.20251032710075378,0.2899704575538635,0.44245919585227966,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.26572662591934204,0.20614196360111237,0.1357450932264328,0.20318038761615753,0.385390967130661,0.2089974731206894
attributed,0.22667492926120758,0.19394554197788239,0.1129467710852623,0.30077028274536133,0.13689173758029938,0.12643800675868988,0.5038151144981384,0.1937648355960846,0.20030178129673004
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.3102172613143921,0.20064882934093475,0.17908653616905212,0.2633678913116455,0.535392165184021,0.22068053483963013
skin,0.22670333087444305,0.15159635245800018,0.08597852289676666,0.2606259882450104,0.3285718560218811,0.36405545473098755,0.1659364253282547,0.21441614627838135,0.21488560736179352
damage,0.2590121924877167,0.24770227074623108,0.16247212886810303,0.19714879989624023,0.20190609991550446,0.2543182075023651,0.2721477746963501,0.23714354634284973,0.2121051400899887
