,how,long,has,the,doctor,who,magazine,been,in,circulation,?
numerous,0.18753044307231903,0.1966770589351654,0.3623540997505188,0.3353725075721741,0.11012523621320724,0.24434210360050201,0.1366264969110489,0.4890277087688446,0.30740252137184143,0.1689704805612564,0.0875130444765091
non-fiction,0.2673420310020447,0.2330264449119568,0.22544962167739868,0.27488768100738525,0.3187685012817383,0.30292853713035583,0.30867084860801697,0.28647488355636597,0.309773713350296,0.26051273941993713,0.28215864300727844
books,0.2309418022632599,0.20603400468826294,0.17099155485630035,0.23187310993671417,0.22348254919052124,0.25903794169425964,0.36400333046913147,0.22882255911827087,0.250139981508255,0.19639280438423157,0.1897611767053604
about,0.44264400005340576,0.39844584465026855,0.35519757866859436,0.37995871901512146,0.18911071121692657,0.3477841317653656,0.185328409075737,0.2887439727783203,0.39797019958496094,0.22229410707950592,0.302409827709198
the,0.33890387415885925,0.3075225353240967,0.4177538752555847,1.0,0.2820442318916321,0.3733934462070465,0.19931171834468842,0.3563927710056305,0.6662389636039734,0.3190516233444214,0.22068053483963013
series,0.17967022955417633,0.16544155776500702,0.16834278404712677,0.31376904249191284,0.2712797522544861,0.21484537422657013,0.23200319707393646,0.24386771023273468,0.2914260923862457,0.1397320032119751,0.1709602326154709
",",0.22659391164779663,0.3431144952774048,0.3734780251979828,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2281705141067505,0.34873589873313904,0.5201468467712402,0.2243485152721405,0.31091248989105225
including,0.20270724594593048,0.175498366355896,0.36956900358200073,0.3738902807235718,0.104278564453125,0.2835840582847595,0.15019851922988892,0.37380173802375793,0.35857823491096497,0.16330739855766296,0.1633303165435791
guidebooks,0.33851712942123413,0.198666512966156,0.16560368239879608,0.21630944311618805,0.15008506178855896,0.2196979522705078,0.35084015130996704,0.23166298866271973,0.1720542013645172,0.276923805475235,0.2819933295249939
and,0.33647966384887695,0.3395216166973114,0.43716782331466675,0.5171257257461548,0.21673844754695892,0.41279885172843933,0.15210320055484772,0.3424558639526367,0.4954058527946472,0.25232070684432983,0.20544172823429108
critical,0.23691707849502563,0.2050061970949173,0.18859994411468506,0.25937238335609436,0.1427084058523178,0.1666674166917801,0.24220010638237,0.2596037685871124,0.23975791037082672,0.22944191098213196,0.2388133704662323
studies,0.20649661123752594,0.18135085701942444,0.24284861981868744,0.22738903760910034,0.23143696784973145,0.13456499576568604,0.1908065676689148,0.2073357105255127,0.30442532896995544,0.21994289755821228,0.1388726830482483
",",0.22659391164779663,0.3431144952774048,0.3734780251979828,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2281705141067505,0.34873589873313904,0.5201468467712402,0.2243485152721405,0.31091248989105225
have,0.4370637536048889,0.3668093681335449,0.6353569626808167,0.40389683842658997,0.17649078369140625,0.39246654510498047,0.1487240195274353,0.6493861675262451,0.36843645572662354,0.23325146734714508,0.32991164922714233
also,0.43506327271461487,0.29311269521713257,0.505894660949707,0.6021018624305725,0.2990783452987671,0.47919341921806335,0.20918747782707214,0.46553757786750793,0.5073733329772949,0.21443992853164673,0.21848613023757935
been,0.26456597447395325,0.3324016332626343,0.6162750124931335,0.3563927710056305,0.12184444069862366,0.3295723795890808,0.19414737820625305,0.9999998807907104,0.3515113592147827,0.21773949265480042,0.24354910850524902
published,0.17517933249473572,0.14314737915992737,0.20094719529151917,0.22017472982406616,0.1912035495042801,0.16961833834648132,0.46629855036735535,0.24826271831989288,0.26697060465812683,0.34625864028930664,0.16280238330364227
",",0.22659391164779663,0.3431144952774048,0.3734780251979828,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2281705141067505,0.34873589873313904,0.5201468467712402,0.2243485152721405,0.31091248989105225
and,0.33647966384887695,0.3395216166973114,0.43716782331466675,0.5171257257461548,0.21673844754695892,0.41279885172843933,0.15210320055484772,0.3424558639526367,0.4954058527946472,0.25232070684432983,0.20544172823429108
a,0.29312583804130554,0.3795371353626251,0.4670248031616211,0.5829201340675354,0.22883038222789764,0.36608949303627014,0.20126637816429138,0.3315402865409851,0.539380669593811,0.23213990032672882,0.23916715383529663
dedicated,0.19590720534324646,0.11987379938364029,0.189381405711174,0.2320098578929901,0.12295960634946823,0.26930490136146545,0.11708605289459229,0.22732162475585938,0.20924530923366547,0.09569908678531647,0.12950462102890015
doctor,0.2004029005765915,0.1046028733253479,0.1778179407119751,0.2820442318916321,0.9999999403953552,0.3504868149757385,0.17507511377334595,0.12184444069862366,0.25567495822906494,0.16614742577075958,0.1462511420249939
who,0.4070430099964142,0.18512077629566193,0.2558172643184662,0.3733934462070465,0.3504868149757385,0.9999998807907104,0.21138475835323334,0.3295723795890808,0.2792111933231354,0.06926354765892029,0.26220351457595825
magazine,0.1492704153060913,0.1393584907054901,0.18440072238445282,0.19931171834468842,0.17507511377334595,0.21138475835323334,1.0000001192092896,0.19414737820625305,0.17267684638500214,0.28654006123542786,0.15570664405822754
with,0.3525622487068176,0.289187490940094,0.44092974066734314,0.4223487675189972,0.17277967929840088,0.3282766342163086,0.13328766822814941,0.2804456949234009,0.4080928862094879,0.16171973943710327,0.2433311939239502
