,when,did,tesla,'s,father,die,?
after,0.5331412553787231,0.30330467224121094,0.0752151682972908,-0.055672239512205124,0.31013625860214233,0.23814667761325836,0.16608688235282898
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.047556519508361816,0.5241755247116089,0.18615874648094177,0.18075084686279297
father,0.32460665702819824,0.3227277100086212,0.08892767131328583,0.029256420210003853,1.0,0.15320999920368195,0.14826634526252747
's,-0.03368149697780609,0.05069678649306297,0.06449045985937119,0.9999999403953552,0.029256420210003853,0.0013740580761805177,-0.023395681753754616
death,0.21254116296768188,0.2252790331840515,0.11229380965232849,0.07207932323217392,0.3316188156604767,0.28387734293937683,0.21149799227714539
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,-0.037580832839012146,0.25954100489616394,0.18641351163387299,0.20430970191955566
1879,-0.027351202443242073,0.022807810455560684,-0.045758847147226334,-0.04066148400306702,0.011265365406870842,-0.12449933588504791,0.057432834059000015
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.30597206950187683,0.23915338516235352,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.06449045985937119,0.08892767131328583,0.0871504694223404,0.10250775516033173
found,0.24078510701656342,0.15878844261169434,0.052854783833026886,0.005866709165275097,0.1294899880886078,0.1463918536901474,0.16790300607681274
a,0.44397395849227905,0.2552328109741211,0.2211925983428955,0.04866964742541313,0.22525158524513245,0.18494991958141327,0.23916715383529663
package,0.2505784034729004,0.14684700965881348,0.2518737316131592,0.026113996282219887,0.1534537822008133,0.07821338623762131,0.17711099982261658
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,-0.03817026689648628,0.22142449021339417,0.21324244141578674,0.1826142966747284
letters,0.22306860983371735,0.1800529956817627,0.14245650172233582,0.06331107020378113,0.1963963508605957,0.1155652105808258,0.18739263713359833
from,0.405669629573822,0.20248863101005554,0.10324860364198685,-0.01936490088701248,0.19987469911575317,0.131544828414917,0.19969791173934937
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.047556519508361816,0.5241755247116089,0.18615874648094177,0.18075084686279297
professors,0.18976005911827087,0.17798979580402374,0.24538925290107727,0.012047018855810165,0.2899918556213379,0.14783181250095367,0.14217308163642883
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.03782717138528824,0.2544635832309723,0.14746613800525665,0.29463258385658264
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.047556519508361816,0.5241755247116089,0.18615874648094177,0.18075084686279297
father,0.32460665702819824,0.3227277100086212,0.08892767131328583,0.029256420210003853,1.0,0.15320999920368195,0.14826634526252747
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.30597206950187683,0.23915338516235352,0.31091248989105225
warning,0.2941899597644806,0.22748501598834991,0.09770417213439941,-0.05218609794974327,0.00529388478025794,0.17334580421447754,0.29772210121154785
that,0.5860282182693481,0.47518548369407654,0.22102725505828857,0.04397977516055107,0.2571857273578644,0.19138021767139435,0.32716336846351624
unless,0.4934720993041992,0.2809399366378784,0.09945283830165863,0.009498829022049904,0.1088874414563179,0.1670263558626175,0.37169966101646423
he,0.39115971326828003,0.3292143940925598,0.12373391538858414,0.024063590914011,0.4997532367706299,0.2030687779188156,0.2089974731206894
were,0.29649975895881653,0.4162326455116272,0.1222306564450264,0.007088581565767527,0.20441938936710358,0.19522075355052948,0.17890112102031708
removed,0.39866209030151367,0.25985875725746155,0.14956024289131165,-0.08618588000535965,0.09461978077888489,0.12334520369768143,0.2955436408519745
from,0.405669629573822,0.20248863101005554,0.10324860364198685,-0.01936490088701248,0.19987469911575317,0.131544828414917,0.19969791173934937
the,0.5091903209686279,0.34736719727516174,0.1324402391910553,-0.01540423184633255,0.24010279774665833,0.2242266982793808,0.22068053483963013
school,0.21397973597049713,0.19696208834648132,0.16295383870601654,-0.017113132402300835,0.32179898023605347,0.08460894972085953,0.15091250836849213
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.30597206950187683,0.23915338516235352,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.06449045985937119,0.08892767131328583,0.0871504694223404,0.10250775516033173
would,0.4219970703125,0.6268245577812195,0.14290116727352142,0.036968596279621124,0.23147040605545044,0.22936932742595673,0.37178951501846313
be,0.4451393485069275,0.22657383978366852,0.15180771052837372,0.025217169895768166,0.15117910504341125,0.21564443409442902,0.3324260413646698
killed,0.2550056278705597,0.24296797811985016,0.08493820577859879,-0.004342961125075817,0.30976566672325134,0.3400411903858185,0.17928971350193024
through,0.34666842222213745,0.14190755784511566,0.1141991838812828,-0.020649312064051628,0.13497692346572876,0.06625550240278244,0.16913433372974396
overwork,0.3836041986942291,0.33249008655548096,0.15133929252624512,0.016070816665887833,0.19380773603916168,0.2557792663574219,0.27656930685043335
.,0.475719153881073,0.35288307070732117,0.17949827015399933,-0.003708066651597619,0.2509099841117859,0.2658497095108032,0.4130953550338745
