,why,did,kublai,'s,successors,lose,control,of,the,rest,of,the,mongol,empire,?
in,0.23227278888225555,0.2593238651752472,0.2070179283618927,-0.037580832839012146,0.18772046267986298,0.26334479451179504,0.24831421673297882,0.5696388483047485,0.6662389636039734,0.3255048990249634,0.5696388483047485,0.6662389636039734,0.16958336532115936,0.24110576510429382,0.20430970191955566
time,0.3247860372066498,0.3567926585674286,0.3301859498023987,0.01301188487559557,0.21168147027492523,0.292924165725708,0.27504950761795044,0.35127586126327515,0.43061500787734985,0.33889803290367126,0.35127586126327515,0.43061500787734985,0.20482605695724487,0.2678830027580261,0.27391523122787476
",",0.2827242314815521,0.3015086054801941,0.2569756805896759,-0.0016132977325469255,0.15858691930770874,0.28248098492622375,0.20811550319194794,0.4946078956127167,0.4933079481124878,0.3065745532512665,0.4946078956127167,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
kublai,0.1917298436164856,0.2875992953777313,0.9999999403953552,-0.017352506518363953,0.31447911262512207,0.2151813507080078,0.20939205586910248,0.231930211186409,0.32886171340942383,0.19776396453380585,0.231930211186409,0.32886171340942383,0.633603572845459,0.439264178276062,0.14562560617923737
khan,0.11447106301784515,0.155345618724823,0.5925762057304382,0.05307086929678917,0.20698800683021545,0.09250205010175705,0.12853464484214783,0.17124508321285248,0.21067845821380615,0.08069396764039993,0.17124508321285248,0.21067845821380615,0.5576101541519165,0.38083162903785706,0.12862591445446014
's,-0.016663772985339165,0.05069678649306297,-0.017352506518363953,0.9999999403953552,0.022956375032663345,-0.0038217944093048573,0.03798864781856537,-0.03817026689648628,-0.01540423184633255,0.04253825545310974,-0.03817026689648628,-0.01540423184633255,-0.05976467952132225,-0.011798231862485409,-0.023395681753754616
successors,0.10791852325201035,0.2918969392776489,0.31447911262512207,0.022956375032663345,1.0,0.14353299140930176,0.21575473248958588,0.19462554156780243,0.20207785069942474,0.09875299036502838,0.19462554156780243,0.20207785069942474,0.22167235612869263,0.3095974922180176,0.10190409421920776
lost,0.17799602448940277,0.30779293179512024,0.26056480407714844,-0.04458974674344063,0.20282363891601562,0.5714375972747803,0.2589581310749054,0.2878951132297516,0.3376973867416382,0.20064571499824524,0.2878951132297516,0.3376973867416382,0.26724252104759216,0.22720672190189362,0.15261413156986237
all,0.3601224720478058,0.33943864703178406,0.18676672875881195,0.03181743621826172,0.19691947102546692,0.3215758800506592,0.2798471450805664,0.42798417806625366,0.4860881567001343,0.42239853739738464,0.42798417806625366,0.4860881567001343,0.1824498176574707,0.1935630887746811,0.29575422406196594
influence,0.21779994666576385,0.2526049315929413,0.261863112449646,0.0246872678399086,0.28598320484161377,0.2156248241662979,0.33543139696121216,0.3608979284763336,0.3039984107017517,0.2723737061023712,0.3608979284763336,0.3039984107017517,0.20922189950942993,0.30510371923446655,0.14200882613658905
