,in,what,year,was,the,apollo,program,announced,?
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.1461767554283142,0.1994907110929489,0.2528248429298401,0.20430970191955566
july,0.26500701904296875,0.22688010334968567,0.3052220940589905,0.40724116563796997,0.2371699959039688,0.1807384490966797,0.16616438329219818,0.3135271668434143,0.2897891402244568
1960,0.03880028799176216,-0.11768999695777893,0.039127450436353683,0.02247970923781395,0.038049813359975815,0.08166109770536423,-0.024097280576825142,-0.0027994015254080296,-0.02243652194738388
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.19808128476142883,0.17760658264160156,0.23036719858646393,0.31091248989105225
nasa,0.15705716609954834,0.21178755164146423,0.14521807432174683,0.19417528808116913,0.19786997139453888,0.4747956395149231,0.3442091643810272,0.22979891300201416,0.1809994876384735
deputy,0.21997958421707153,0.20033134520053864,0.12624405324459076,0.25765955448150635,0.2075105756521225,0.15874500572681427,0.15526890754699707,0.265784353017807,0.08738585561513901
administrator,0.16844739019870758,0.3100288510322571,0.15612538158893585,0.26034414768218994,0.23136885464191437,0.15196777880191803,0.2415497601032257,0.149154931306839,0.2915230691432953
hugh,0.18993298709392548,0.08473578095436096,0.14396895468235016,0.2388894110918045,0.24369864165782928,0.22995875775814056,0.16794541478157043,0.12747345864772797,0.12381613999605179
l.,0.06709589809179306,0.11054152995347977,0.015981988981366158,0.006958117242902517,0.06809674203395844,-0.09346162527799606,0.0029031257145106792,0.09002658724784851,0.05018472298979759
dryden,0.2521308362483978,0.19039352238178253,0.1843576729297638,0.29076719284057617,0.27064427733421326,0.25501829385757446,0.1865636706352234,0.21279293298721313,0.1805235594511032
announced,0.2528248429298401,0.09249057620763779,0.24623410403728485,0.34205326437950134,0.2277132272720337,0.1799800843000412,0.25314077734947205,1.0,0.17416009306907654
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.2169172167778015,0.22986935079097748,0.2277132272720337,0.22068053483963013
apollo,0.1461767554283142,0.13561789691448212,0.18754246830940247,0.2306441366672516,0.2169172167778015,0.9999999403953552,0.3344622850418091,0.1799800843000412,0.191528782248497
program,0.1994907110929489,0.25047802925109863,0.17092710733413696,0.1849333792924881,0.22986935079097748,0.3344622850418091,1.0,0.25314077734947205,0.1440187245607376
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.3636345863342285,0.535392165184021,0.23190522193908691,0.23681028187274933,0.20247882604599,0.29463258385658264
industry,0.2675124704837799,0.1966298520565033,0.17577600479125977,0.28708288073539734,0.26942890882492065,0.13152049481868744,0.18865057826042175,0.1229950338602066,0.11813290417194366
representatives,0.2394939363002777,0.20896917581558228,0.17684461176395416,0.24171686172485352,0.2691882848739624,0.1447281837463379,0.14472687244415283,0.22349302470684052,0.14079871773719788
at,0.4374977946281433,0.2838611304759979,0.3146436810493469,0.36707764863967896,0.457212895154953,0.16096128523349762,0.20947590470314026,0.20540717244148254,0.21978627145290375
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.19996169209480286,0.2779408395290375,0.18716087937355042,0.23916715383529663
series,0.2914260923862457,0.17328087985515594,0.2600080966949463,0.2261398285627365,0.31376904249191284,0.18675151467323303,0.27202239632606506,0.1939433068037033,0.1709602326154709
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.1786269098520279,0.17376001179218292,0.22339491546154022,0.1826142966747284
space,0.17648501694202423,0.20525942742824554,0.1583017259836197,0.14677780866622925,0.24495907127857208,0.3076713979244232,0.27222728729248047,0.14271333813667297,0.1885536164045334
task,0.1762852966785431,0.33374160528182983,0.13835479319095612,0.17517952620983124,0.22566188871860504,0.18596574664115906,0.34723177552223206,0.17828409373760223,0.289821058511734
group,0.2304753065109253,0.2114069163799286,0.20680148899555206,0.1789962202310562,0.30795547366142273,0.10725327581167221,0.22232387959957123,0.15211288630962372,0.13827809691429138
conferences,0.23602792620658875,0.18170012533664703,0.16739200055599213,0.14676052331924438,0.2745058238506317,0.10912724584341049,0.23156912624835968,0.2973218262195587,0.14015959203243256
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.22384987771511078,0.18964338302612305,0.20513638854026794,0.4130953550338745
