,what,was,the,goal,of,john,sheepshanks,considerable,bequest,to,the,museum,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2241991013288498,0.5696388483047485,0.22177861630916595,0.2991338074207306,0.2693186104297638,0.2849925756454468,0.45010748505592346,0.6662389636039734,0.2407650351524353,0.20430970191955566
1857,0.09442341327667236,0.00638970173895359,0.04397021234035492,0.09995846450328827,0.10165759176015854,-0.08969142287969589,0.0015483234310522676,0.24404223263263702,0.03597525879740715,0.11027031391859055,0.04397021234035492,0.02524988353252411,0.07002107053995132
john,0.18237407505512238,0.2875721752643585,0.2230520099401474,0.1299930065870285,0.2407056987285614,1.0000001192092896,0.3003201186656952,0.1295708566904068,0.31337428092956543,0.2070634365081787,0.2230520099401474,0.14412403106689453,0.13162356615066528
sheepshanks,0.25226226449012756,0.29006990790367126,0.33741626143455505,0.17933133244514465,0.23987549543380737,0.3003201186656952,1.0,0.2347937822341919,0.3195168077945709,0.3082112967967987,0.33741626143455505,0.18640516698360443,0.26307445764541626
donated,0.09656376391649246,0.2994552254676819,0.24606364965438843,0.16526129841804504,0.27521181106567383,0.17012862861156464,0.21179375052452087,0.27248650789260864,0.3226269483566284,0.25148287415504456,0.24606364965438843,0.32454055547714233,0.10052662342786789
233,0.17907994985580444,0.03068791888654232,0.11286590248346329,0.18067139387130737,0.010215288028120995,0.19291822612285614,0.1961708962917328,-0.018140221014618874,0.052497778087854385,0.13374999165534973,0.11286590248346329,0.09406249970197678,0.15934571623802185
paintings,0.22357428073883057,0.21676096320152283,0.2167874127626419,0.1022099107503891,0.21768251061439514,0.1214088574051857,0.31781435012817383,0.21286755800247192,0.2567296326160431,0.21597011387348175,0.2167874127626419,0.3647291660308838,0.1866389960050583
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.23961079120635986,0.3846465051174164,0.28436988592147827,0.3688803017139435,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
mainly,0.29325804114341736,0.26961684226989746,0.3790479004383087,0.10706882178783417,0.3325652480125427,0.16730929911136627,0.31656530499458313,0.2877926826477051,0.1372678279876709,0.31092169880867004,0.3790479004383087,0.14806020259857178,0.07608037441968918
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.14687420427799225,0.3646814823150635,0.2502059042453766,0.3757704794406891,0.25971177220344543,0.2555016279220581,0.33534231781959534,0.4408751428127289,0.15592984855175018,0.17966607213020325
contemporary,0.20300830900669098,0.23796632885932922,0.25350451469421387,0.10497727245092392,0.2923402488231659,0.19271551072597504,0.21759819984436035,0.2925068438053131,0.22249485552310944,0.19410967826843262,0.25350451469421387,0.33069750666618347,0.09539991617202759
british,0.19255435466766357,0.31934812664985657,0.28973397612571716,0.0555642768740654,0.23701532185077667,0.2667495906352997,0.31396764516830444,0.21009887754917145,0.2238941192626953,0.22690963745117188,0.28973397612571716,0.1519032120704651,0.09711728990077972
artists,0.19783541560173035,0.21435636281967163,0.2150506228208542,0.15636098384857178,0.18416832387447357,0.1472584307193756,0.28953954577445984,0.18524281680583954,0.21107587218284607,0.2258228361606598,0.2150506228208542,0.22386404871940613,0.1482434719800949
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.23961079120635986,0.3846465051174164,0.28436988592147827,0.3688803017139435,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.20885969698429108,0.5116966962814331,0.21634717285633087,0.3736935555934906,0.3776419460773468,0.29343608021736145,0.48971283435821533,0.5171257257461548,0.21554097533226013,0.20544172823429108
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20853768289089203,0.5052502155303955,0.20638683438301086,0.30057379603385925,0.2919352948665619,0.24805915355682373,0.45503583550453186,0.5829201340675354,0.14725451171398163,0.23916715383529663
similar,0.30608364939689636,0.20839861035346985,0.2963123023509979,0.08587843924760818,0.2911645472049713,0.08773703128099442,0.19343295693397522,0.31286635994911194,0.1709371954202652,0.2888135313987732,0.2963123023509979,0.13421915471553802,0.23309361934661865
