,what,reform,was,attempted,following,the,nice,treaty,?
following,0.2506418824195862,0.18532082438468933,0.16493390500545502,0.2791540026664734,0.9999999403953552,0.39779382944107056,0.1908835917711258,0.1733126938343048,0.1555173695087433
the,0.42745697498321533,0.28116169571876526,0.48711544275283813,0.2688039243221283,0.39779382944107056,1.0,0.24021440744400024,0.2690109610557556,0.22068053483963013
nice,0.31001901626586914,0.12837062776088715,0.18531116843223572,0.0626949667930603,0.1908835917711258,0.24021440744400024,1.0000001192092896,0.23890407383441925,0.26011520624160767
treaty,0.17237819731235504,0.22010453045368195,0.2409621626138687,0.1481514275074005,0.1733126938343048,0.2690109610557556,0.23890407383441925,1.0,0.1174844279885292
",",0.3087472915649414,0.17745937407016754,0.45456063747406006,0.24146170914173126,0.27101513743400574,0.4933079481124878,0.36994466185569763,0.21270246803760529,0.31091248989105225
there,0.35085538029670715,0.15223075449466705,0.24909798800945282,0.20266403257846832,0.2354886531829834,0.47025805711746216,0.2866188585758209,0.1640441119670868,0.29405656456947327
was,0.22111038863658905,0.2882646918296814,1.0000001192092896,0.29312843084335327,0.16493390500545502,0.48711544275283813,0.18531116843223572,0.2409621626138687,0.18412111699581146
an,0.2821882665157318,0.20876818895339966,0.3694365322589874,0.2168029248714447,0.28730031847953796,0.4207492768764496,0.2100137621164322,0.16682939231395721,0.19793890416622162
attempt,0.2411041408777237,0.2749776244163513,0.2327374517917633,0.7799198031425476,0.2797063887119293,0.2614527940750122,0.1311911642551422,0.15732385218143463,0.16559520363807678
to,0.455847829580307,0.30886903405189514,0.3636345863342285,0.4076770544052124,0.31711265444755554,0.535392165184021,0.29025769233703613,0.1986158937215805,0.29463258385658264
reform,0.20049384236335754,1.0000001192092896,0.2882646918296814,0.29034423828125,0.18532082438468933,0.28116169571876526,0.12837062776088715,0.22010453045368195,0.14216484129428864
the,0.42745697498321533,0.28116169571876526,0.48711544275283813,0.2688039243221283,0.39779382944107056,1.0,0.24021440744400024,0.2690109610557556,0.22068053483963013
constitutional,0.24835939705371857,0.43531522154808044,0.2571640908718109,0.24158485233783722,0.19626842439174652,0.2926941215991974,0.14603900909423828,0.4070098400115967,0.2199033498764038
law,0.2145031988620758,0.3631409704685211,0.21553055942058563,0.18428295850753784,0.1610426902770996,0.24548950791358948,0.12840677797794342,0.3302869200706482,0.1528988480567932
of,0.33290785551071167,0.28063878417015076,0.4069072902202606,0.2567136883735657,0.3576679527759552,0.733189046382904,0.2583445906639099,0.2602092921733856,0.1826142966747284
the,0.42745697498321533,0.28116169571876526,0.48711544275283813,0.2688039243221283,0.39779382944107056,1.0,0.24021440744400024,0.2690109610557556,0.22068053483963013
european,0.15324164927005768,0.13404084742069244,0.22463937103748322,0.21157196164131165,0.15397366881370544,0.3423081040382385,0.07893867790699005,0.25059598684310913,0.14560863375663757
union,0.1396910548210144,0.23981435596942902,0.23276571929454803,0.22544384002685547,0.22377504408359528,0.24421639740467072,0.1122186928987503,0.3147597312927246,0.07797172665596008
and,0.31309178471565247,0.29105228185653687,0.3740963041782379,0.25629109144210815,0.2696467339992523,0.5171257257461548,0.29075828194618225,0.1592116355895996,0.20544172823429108
make,0.3792211413383484,0.23751312494277954,0.20205417275428772,0.15428178012371063,0.20400230586528778,0.3146495521068573,0.25467416644096375,0.1326572149991989,0.28314751386642456
it,0.45803478360176086,0.2090119868516922,0.4577186405658722,0.15197761356830597,0.29255929589271545,0.6251175999641418,0.31305816769599915,0.2648608088493347,0.25732165575027466
