,who,are,likely,participants,in,creating,an,overall,plan,for,the,financial,management,of,the,building,construction,project,?
mortgage,0.23864278197288513,0.2031196504831314,0.2427210807800293,0.18425434827804565,0.23177610337734222,0.1914990246295929,0.18645621836185455,0.2336181402206421,0.24099314212799072,0.2991809546947479,0.2744140326976776,0.5245627164840698,0.3304218053817749,0.24695326387882233,0.2744140326976776,0.27606305480003357,0.3067086935043335,0.19275948405265808,0.19544269144535065
bankers,0.2918572723865509,0.20779933035373688,0.14753621816635132,0.22200602293014526,0.19558122754096985,0.16709233820438385,0.10861183702945709,0.07250571250915527,0.1134377121925354,0.16536910831928253,0.21344134211540222,0.4581712484359741,0.2638595700263977,0.21558183431625366,0.21344134211540222,0.20458398759365082,0.2325563281774521,0.13996896147727966,0.12298112362623215
",",0.3365725874900818,0.4062570035457611,0.22176046669483185,0.25240805745124817,0.5201468467712402,0.27134549617767334,0.3581022024154663,0.2888959050178528,0.21265573799610138,0.4464869201183319,0.4933079481124878,0.25465908646583557,0.24724458158016205,0.4946078956127167,0.4933079481124878,0.2374238669872284,0.23704268038272858,0.24875426292419434,0.31091248989105225
accountants,0.3623366057872772,0.2711813151836395,0.17668847739696503,0.3867466151714325,0.25447729229927063,0.2397432029247284,0.1966858059167862,0.15687088668346405,0.2416052520275116,0.2816559672355652,0.22055897116661072,0.49737438559532166,0.5069825649261475,0.25117433071136475,0.22055897116661072,0.23542921245098114,0.26321473717689514,0.233470618724823,0.18002422153949738
",",0.3365725874900818,0.4062570035457611,0.22176046669483185,0.25240805745124817,0.5201468467712402,0.27134549617767334,0.3581022024154663,0.2888959050178528,0.21265573799610138,0.4464869201183319,0.4933079481124878,0.25465908646583557,0.24724458158016205,0.4946078956127167,0.4933079481124878,0.2374238669872284,0.23704268038272858,0.24875426292419434,0.31091248989105225
and,0.41279885172843933,0.48576638102531433,0.3069725036621094,0.2529650926589966,0.4954058527946472,0.36289316415786743,0.2838519215583801,0.25946861505508423,0.26844465732574463,0.5064792633056641,0.5171257257461548,0.26681631803512573,0.3066174387931824,0.5116966962814331,0.5171257257461548,0.2593274712562561,0.22762417793273926,0.23249590396881104,0.20544172823429108
cost,0.12277812510728836,0.21638384461402893,0.1996011883020401,0.13660432398319244,0.25200018286705017,0.20105454325675964,0.15845364332199097,0.2523060441017151,0.22311893105506897,0.2728281319141388,0.23177006840705872,0.3464958369731903,0.3063589930534363,0.23332229256629944,0.23177006840705872,0.30311867594718933,0.42104241251945496,0.25715333223342896,0.17823095619678497
engineers,0.24476072192192078,0.21198314428329468,0.1281822770833969,0.21279893815517426,0.20390598475933075,0.20240704715251923,0.1647762507200241,0.17130322754383087,0.23774801194667816,0.2197026014328003,0.25282254815101624,0.278084397315979,0.32784730195999146,0.189129039645195,0.25282254815101624,0.2838175892829895,0.36703354120254517,0.2852649390697479,0.18139411509037018
are,0.27294138073921204,1.0,0.35167670249938965,0.2412826120853424,0.3841303884983063,0.2641191780567169,0.1556541919708252,0.22405380010604858,0.15314653515815735,0.3895993232727051,0.40399202704429626,0.1316729336977005,0.17698079347610474,0.39081433415412903,0.40399202704429626,0.1904018670320511,0.18089833855628967,0.19378727674484253,0.24591213464736938
likely,0.32538387179374695,0.35167670249938965,1.0,0.17810119688510895,0.21680790185928345,0.23223544657230377,0.2613266706466675,0.21269407868385315,0.17898549139499664,0.2984500229358673,0.28129076957702637,0.15744878351688385,0.11394581198692322,0.2704482078552246,0.28129076957702637,0.09351100772619247,0.11478115618228912,0.18802893161773682,0.35971182584762573
participants,0.3109371066093445,0.2412826120853424,0.17810119688510895,1.0,0.28114745020866394,0.22967326641082764,0.20327335596084595,0.23914998769760132,0.21948446333408356,0.2644009292125702,0.26625877618789673,0.22356753051280975,0.2021423876285553,0.1995369791984558,0.26625877618789673,0.1424836665391922,0.1560562700033188,0.20625799894332886,0.1654060184955597
in,0.2792111933231354,0.3841303884983063,0.21680790185928345,0.28114745020866394,1.0,0.20338892936706543,0.2605783939361572,0.26280614733695984,0.23924663662910461,0.4322226941585541,0.6662389636039734,0.23881284892559052,0.2783967852592468,0.5696388483047485,0.6662389636039734,0.3256937265396118,0.3031303882598877,0.16277937591075897,0.20430970191955566
creating,0.27748748660087585,0.2641191780567169,0.23223544657230377,0.22967326641082764,0.20338892936706543,1.0000001192092896,0.23927567899227142,0.16485637426376343,0.27530109882354736,0.3886813819408417,0.286904513835907,0.23811990022659302,0.23265530169010162,0.29262492060661316,0.286904513835907,0.26836493611335754,0.2903417944908142,0.3805501163005829,0.2842518985271454
an,0.2848317325115204,0.1556541919708252,0.2613266706466675,0.20327335596084595,0.2605783939361572,0.23927567899227142,1.0,0.19013231992721558,0.20559144020080566,0.3236706852912903,0.4207492768764496,0.20953093469142914,0.16615402698516846,0.32280945777893066,0.4207492768764496,0.09766699373722076,0.13825856149196625,0.1355700045824051,0.19793890416622162
overall,0.16858626902103424,0.22405380010604858,0.21269407868385315,0.23914998769760132,0.26280614733695984,0.16485637426376343,0.19013231992721558,1.0,0.2392694056034088,0.2701855003833771,0.31739529967308044,0.19965192675590515,0.22485625743865967,0.2889781594276428,0.31739529967308044,0.15989522635936737,0.19638323783874512,0.15239538252353668,0.18573027849197388
plan,0.2951151430606842,0.15314653515815735,0.17898549139499664,0.21948446333408356,0.23924663662910461,0.27530109882354736,0.20559144020080566,0.2392694056034088,1.0,0.22760893404483795,0.2852855324745178,0.25186580419540405,0.31611624360084534,0.2742128372192383,0.2852855324745178,0.32571539282798767,0.3067115247249603,0.43876639008522034,0.1961054503917694
for,0.37110671401023865,0.3895993232727051,0.2984500229358673,0.2644009292125702,0.4322226941585541,0.3886813819408417,0.3236706852912903,0.2701855003833771,0.22760893404483795,0.9999999403953552,0.4739971458911896,0.311439573764801,0.25923067331314087,0.4185989499092102,0.4739971458911896,0.2644540071487427,0.2193669229745865,0.2228124439716339,0.264628142118454
the,0.3733934462070465,0.40399202704429626,0.28129076957702637,0.26625877618789673,0.6662389636039734,0.286904513835907,0.4207492768764496,0.31739529967308044,0.2852855324745178,0.4739971458911896,1.0,0.29952070116996765,0.26673808693885803,0.733189046382904,1.0,0.3159640431404114,0.2671978175640106,0.2027820199728012,0.22068053483963013
financial,0.19034069776535034,0.1316729336977005,0.15744878351688385,0.22356753051280975,0.23881284892559052,0.23811990022659302,0.20953093469142914,0.19965192675590515,0.25186580419540405,0.311439573764801,0.29952070116996765,1.0,0.476338654756546,0.30178552865982056,0.29952070116996765,0.2523033320903778,0.37158337235450745,0.21852874755859375,0.06444920599460602
management,0.14967867732048035,0.17698079347610474,0.11394581198692322,0.2021423876285553,0.2783967852592468,0.23265530169010162,0.16615402698516846,0.22485625743865967,0.31611624360084534,0.25923067331314087,0.26673808693885803,0.476338654756546,1.0,0.31602242588996887,0.26673808693885803,0.2562214434146881,0.3705573081970215,0.35612934827804565,0.15866325795650482
of,0.2827862501144409,0.39081433415412903,0.2704482078552246,0.1995369791984558,0.5696388483047485,0.29262492060661316,0.32280945777893066,0.2889781594276428,0.2742128372192383,0.4185989499092102,0.733189046382904,0.30178552865982056,0.31602242588996887,1.0,0.733189046382904,0.26200541853904724,0.2815735340118408,0.17578177154064178,0.1826142966747284
the,0.3733934462070465,0.40399202704429626,0.28129076957702637,0.26625877618789673,0.6662389636039734,0.286904513835907,0.4207492768764496,0.31739529967308044,0.2852855324745178,0.4739971458911896,1.0,0.29952070116996765,0.26673808693885803,0.733189046382904,1.0,0.3159640431404114,0.2671978175640106,0.2027820199728012,0.22068053483963013
building,0.19264253973960876,0.1904018670320511,0.09351100772619247,0.1424836665391922,0.3256937265396118,0.26836493611335754,0.09766699373722076,0.15989522635936737,0.32571539282798767,0.2644540071487427,0.3159640431404114,0.2523033320903778,0.2562214434146881,0.26200541853904724,0.3159640431404114,0.9999998807907104,0.5609999895095825,0.2786315977573395,0.13549931347370148
construction,0.08125896006822586,0.18089833855628967,0.11478115618228912,0.1560562700033188,0.3031303882598877,0.2903417944908142,0.13825856149196625,0.19638323783874512,0.3067115247249603,0.2193669229745865,0.2671978175640106,0.37158337235450745,0.3705573081970215,0.2815735340118408,0.2671978175640106,0.5609999895095825,1.0,0.39453527331352234,0.13494056463241577
project,0.2255522608757019,0.19378727674484253,0.18802893161773682,0.20625799894332886,0.16277937591075897,0.3805501163005829,0.1355700045824051,0.15239538252353668,0.43876639008522034,0.2228124439716339,0.2027820199728012,0.21852874755859375,0.35612934827804565,0.17578177154064178,0.2027820199728012,0.2786315977573395,0.39453527331352234,1.0,0.30569031834602356
.,0.3541337847709656,0.3452940285205841,0.26822179555892944,0.2118312567472458,0.5591574311256409,0.26489248871803284,0.3581749200820923,0.2709504961967468,0.2966235876083374,0.4726039469242096,0.5934505462646484,0.22828321158885956,0.20125426352024078,0.5352458953857422,0.5934505462646484,0.275610089302063,0.23682771623134613,0.23938670754432678,0.4130953550338745
