,what,is,``,the,gate,'',?
in,0.30808621644973755,0.5394441485404968,0.04765888676047325,0.6662389636039734,0.19865471124649048,0.07432962208986282,0.20430970191955566
recent,0.24256184697151184,0.2643822133541107,-0.05434009060263634,0.31046223640441895,0.05446014180779457,0.015566214919090271,0.2544887959957123
years,0.1981470286846161,0.19551363587379456,0.023748915642499924,0.2912273406982422,0.12015844136476517,0.03180740773677826,0.1914375126361847
``,0.008517155423760414,0.058766357600688934,1.0,0.029072100296616554,-0.13433998823165894,-0.09173435717821121,0.0685480609536171
the,0.42745697498321533,0.5823672413825989,0.029072100296616554,1.0,0.23649795353412628,0.041273195296525955,0.22068053483963013
gate,0.15973101556301117,0.20600023865699768,-0.13433998823165894,0.23649795353412628,1.0,0.10644444078207016,0.071437306702137
'',0.08143015950918198,0.0793738141655922,-0.09173435717821121,0.041273195296525955,0.10644444078207016,1.0,0.018684765323996544
has,0.20338068902492523,0.5668748617172241,0.06254398077726364,0.4177538752555847,0.10033638030290604,0.004576915875077248,0.15994466841220856
opened,0.14500318467617035,0.15947836637496948,-0.1391703486442566,0.28544309735298157,0.2890464961528778,0.05927160009741783,0.1934700310230255
in,0.30808621644973755,0.5394441485404968,0.04765888676047325,0.6662389636039734,0.19865471124649048,0.07432962208986282,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.029072100296616554,1.0,0.23649795353412628,0.041273195296525955,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,-0.009671642445027828,0.35769423842430115,0.2625526189804077,0.08278307318687439,0.13423943519592285
centre,0.12324132025241852,0.29804176092147827,-0.027103539556264877,0.32783594727516174,0.15142573416233063,0.016794083639979362,0.019365152344107628
",",0.3087472915649414,0.4691906273365021,0.09681109338998795,0.4933079481124878,0.1897594928741455,-0.037358131259679794,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.07272057235240936,0.5829201340675354,0.1561926305294037,0.04890415817499161,0.23916715383529663
new,0.2130378633737564,0.2208656519651413,-0.03575563058257103,0.3845241069793701,0.151805117726326,-0.021915066987276077,0.14782847464084625
indoor,0.15253843367099762,0.22525280714035034,-0.11306033283472061,0.25390395522117615,0.15703828632831573,0.001471846946515143,0.09507113695144653
complex,0.2605343163013458,0.2723233699798584,0.05093948543071747,0.25326284766197205,0.16749253869056702,0.05357032269239426,0.17752902209758759
consisting,0.12705351412296295,0.33188143372535706,0.07990820705890656,0.33371514081954956,0.11078245937824249,0.0490085668861866,0.006223649252206087
of,0.33290785551071167,0.4854315221309662,0.06780257821083069,0.733189046382904,0.15172944962978363,0.13035868108272552,0.1826142966747284
bars,0.11961473524570465,0.1124049574136734,0.04938536509871483,0.20749349892139435,0.09661013633012772,0.05320798605680466,0.1464296281337738
",",0.3087472915649414,0.4691906273365021,0.09681109338998795,0.4933079481124878,0.1897594928741455,-0.037358131259679794,0.31091248989105225
upmarket,0.13500869274139404,0.2703190743923187,-0.16771475970745087,0.23992373049259186,0.30155670642852783,0.05510140582919121,0.1483037769794464
clubs,0.07451342791318893,0.1625252366065979,0.026923032477498055,0.17952080070972443,0.15117432177066803,-0.0583447702229023,0.1735779345035553
",",0.3087472915649414,0.4691906273365021,0.09681109338998795,0.4933079481124878,0.1897594928741455,-0.037358131259679794,0.31091248989105225
restaurants,0.159007266163826,0.20686624944210052,-0.08920776098966599,0.2341458648443222,0.1939733773469925,0.018420321866869926,0.1858629733324051
and,0.31309178471565247,0.3859752118587494,0.036644238978624344,0.5171257257461548,0.19764412939548492,0.021612688899040222,0.20544172823429108
a,0.3320399522781372,0.658733606338501,0.07272057235240936,0.5829201340675354,0.1561926305294037,0.04890415817499161,0.23916715383529663
12-screen,0.23836810886859894,0.1914197951555252,-0.09153880178928375,0.2244827151298523,0.1761179119348526,0.023825878277420998,0.20113228261470795
empire,0.21723191440105438,0.18343110382556915,0.08940538763999939,0.32532164454460144,0.24209317564964294,0.029978957027196884,0.14909450709819794
multiplex,0.14101380109786987,0.19643649458885193,0.12234029173851013,0.21991868317127228,0.2446451187133789,0.03887099772691727,0.10169120877981186
cinema,0.15087248384952545,0.2001878023147583,-0.061700113117694855,0.23910944163799286,0.17555859684944153,0.06037409231066704,0.11584244668483734
.,0.3567904531955719,0.4569662809371948,0.05720457062125206,0.5934505462646484,0.17268480360507965,-0.07181349396705627,0.4130953550338745
