,when,was,an,extended,episode,of,doctor,who,shown,?
the,0.5091903209686279,0.48711544275283813,0.4207492768764496,0.3160722553730011,0.25342556834220886,0.733189046382904,0.2820442318916321,0.3733934462070465,0.3387985825538635,0.22068053483963013
serial,0.18824508786201477,0.1941850334405899,0.19017787277698517,0.13130079209804535,0.260089248418808,0.17792607843875885,0.2744404375553131,0.1957370638847351,0.18995042145252228,0.15233060717582703
format,0.1569255292415619,0.1396103948354721,0.20339713990688324,0.1649240404367447,0.19119031727313995,0.1439143568277359,0.05393149331212044,0.03323619067668915,0.27056699991226196,0.2222042977809906
changed,0.3033768832683563,0.3462000787258148,0.22085750102996826,0.3192412853240967,0.08901263028383255,0.3099449872970581,0.12893733382225037,0.1328321397304535,0.2850605249404907,0.21123318374156952
for,0.43402108550071716,0.3863949179649353,0.3236706852912903,0.2689915895462036,0.17981192469596863,0.4185989499092102,0.1556548923254013,0.37110671401023865,0.28684258460998535,0.264628142118454
the,0.5091903209686279,0.48711544275283813,0.4207492768764496,0.3160722553730011,0.25342556834220886,0.733189046382904,0.2820442318916321,0.3733934462070465,0.3387985825538635,0.22068053483963013
2005,0.001997772604227066,0.11356307566165924,0.013713877648115158,0.033088602125644684,0.04103194922208786,0.017815761268138885,0.07635467499494553,0.18423187732696533,-0.06298744678497314,0.10709824413061142
revival,0.11794339865446091,0.3003317415714264,0.2065889537334442,0.22269780933856964,0.21943247318267822,0.2109367549419403,0.13733609020709991,0.1408388912677765,0.16539926826953888,0.09967152029275894
",",0.36674630641937256,0.45456063747406006,0.3581022024154663,0.23414303362369537,0.18198037147521973,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.25911012291908264,0.31091248989105225
with,0.5075214505195618,0.27411898970603943,0.2730048894882202,0.19003750383853912,0.2304430603981018,0.41827285289764404,0.17277967929840088,0.3282766342163086,0.2707523703575134,0.2433311939239502
each,0.3531915247440338,0.14424845576286316,0.20307137072086334,0.2466380000114441,0.27611973881721497,0.38460010290145874,0.1160493865609169,0.27337536215782166,0.3128582239151001,0.21173812448978424
series,0.2194245308637619,0.2261398285627365,0.16255386173725128,0.11568979918956757,0.4687832295894623,0.22268271446228027,0.2712797522544861,0.21484537422657013,0.3483121395111084,0.1709602326154709
