,how,much,of,paris,',population,was,killed,by,the,plague,?
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.24946041405200958,0.474788099527359,0.32044094800949097,0.48711544275283813,0.23115427792072296,0.4408751428127289,1.0,0.2537761330604553,0.22068053483963013
black,0.2023327350616455,0.1629277616739273,0.23966942727565765,0.09681472927331924,0.21023552119731903,0.17196610569953918,0.1419273465871811,0.15791107714176178,0.1966358721256256,0.28466513752937317,0.2843790054321289,0.15159966051578522
death,0.19782234728336334,0.1532273292541504,0.23778599500656128,0.1664961725473404,0.1959543526172638,0.1300671100616455,0.28516459465026855,0.34693118929862976,0.23285827040672302,0.21438048779964447,0.2767121493816376,0.21149799227714539
killed,0.1255389302968979,0.16101554036140442,0.2589981257915497,0.17527250945568085,0.15042702853679657,0.2443472445011139,0.31229376792907715,0.9999998807907104,0.27886173129081726,0.23115427792072296,0.3277811110019684,0.17928971350193024
about,0.44264400005340576,0.42681634426116943,0.40939709544181824,0.16620635986328125,0.2788675129413605,0.3066638112068176,0.2577359974384308,0.24797841906547546,0.30091190338134766,0.37995871901512146,0.2741866707801819,0.302409827709198
40,0.03806556016206741,-0.001597423804923892,-0.03308193385601044,-0.01898174360394478,-0.05264299362897873,-0.059151772409677505,-0.03814153000712395,0.02118988335132599,-0.052457746118307114,-0.09923846274614334,-0.008333421312272549,0.010195288807153702
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.09257481247186661,0.16897235810756683,0.4585210084915161,0.11743833869695663,0.1816045641899109,0.13780950009822845,0.21490740776062012,0.13837918639183044,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.19470684230327606,0.39136970043182373,0.3060894012451172,0.4069072902202606,0.2589981257915497,0.3646814823150635,0.733189046382904,0.27455615997314453,0.1826142966747284
egypt,0.15728935599327087,0.18335780501365662,0.25414037704467773,0.26486459374427795,0.1285569965839386,0.14730297029018402,0.20915520191192627,0.19624073803424835,0.1705920398235321,0.2536296546459198,0.27196529507637024,0.17769601941108704
's,-0.026164190843701363,0.06731651723384857,-0.03817026689648628,0.07045914977788925,0.07651367038488388,0.012951160781085491,0.008974763564765453,-0.004342961125075817,-0.010884488001465797,-0.01540423184633255,-0.0006555641302838922,-0.023395681753754616
population,0.1651063710451126,0.21015548706054688,0.3060894012451172,0.1279304325580597,0.2005295604467392,1.0,0.1935066133737564,0.2443472445011139,0.17143253982067108,0.32044094800949097,0.28463682532310486,0.14449454843997955
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.2676265835762024,0.4806240200996399,0.26950228214263916,0.40146201848983765,0.2666846215724945,0.3936232924461365,0.5934505462646484,0.2547653317451477,0.4130953550338745
,how,much,of,paris,',population,was,killed,by,the,plague,?
half,0.19052551686763763,0.31262141466140747,0.2784358561038971,0.16165992617607117,0.18938346207141876,0.242715984582901,0.21022500097751617,0.20387838780879974,0.22449548542499542,0.3189295828342438,0.14465662837028503,0.07471233606338501
of,0.2480744868516922,0.2671096920967102,1.0,0.19470684230327606,0.39136970043182373,0.3060894012451172,0.4069072902202606,0.2589981257915497,0.3646814823150635,0.733189046382904,0.27455615997314453,0.1826142966747284
paris,0.15204280614852905,0.12022171169519424,0.19470684230327606,1.0,0.13599732518196106,0.1279304325580597,0.31941550970077515,0.17527250945568085,0.2026776522397995,0.24946041405200958,0.2765978276729584,0.1491217315196991
's,-0.026164190843701363,0.06731651723384857,-0.03817026689648628,0.07045914977788925,0.07651367038488388,0.012951160781085491,0.008974763564765453,-0.004342961125075817,-0.010884488001465797,-0.01540423184633255,-0.0006555641302838922,-0.023395681753754616
population,0.1651063710451126,0.21015548706054688,0.3060894012451172,0.1279304325580597,0.2005295604467392,1.0,0.1935066133737564,0.2443472445011139,0.17143253982067108,0.32044094800949097,0.28463682532310486,0.14449454843997955
of,0.2480744868516922,0.2671096920967102,1.0,0.19470684230327606,0.39136970043182373,0.3060894012451172,0.4069072902202606,0.2589981257915497,0.3646814823150635,0.733189046382904,0.27455615997314453,0.1826142966747284
"100,000",0.10288455337285995,0.010383859276771545,0.15585832297801971,0.1367872655391693,0.1742747575044632,-0.14513634145259857,0.07360007613897324,-0.10053808242082596,0.1374659389257431,0.12082944065332413,0.025143206119537354,0.035472359508275986
people,0.2932034730911255,0.29446882009506226,0.3251037895679474,0.19259309768676758,0.19970586895942688,0.3562411963939667,0.2518421411514282,0.3085143268108368,0.20350977778434753,0.36838498711586,0.26268962025642395,0.23739641904830933
died,0.07147754728794098,0.13895876705646515,0.25637882947921753,0.24394193291664124,0.16668055951595306,0.2137834131717682,0.4570699632167816,0.42802461981773376,0.14783190190792084,0.18710990250110626,0.3328428268432617,0.15254227817058563
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.2676265835762024,0.4806240200996399,0.26950228214263916,0.40146201848983765,0.2666846215724945,0.3936232924461365,0.5934505462646484,0.2547653317451477,0.4130953550338745
