,what,did,gasquet,'s,book,blame,the,plague,on,?
he,0.3114890456199646,0.3292143940925598,0.2467859387397766,0.024063590914011,0.2191331684589386,0.24209801852703094,0.4571082592010498,0.25262126326560974,0.32403138279914856,0.2089974731206894
was,0.22111038863658905,0.41399896144866943,0.23586979508399963,0.008974763564765453,0.24848085641860962,0.19880381226539612,0.48711544275283813,0.24312011897563934,0.3909217119216919,0.18412111699581146
able,0.3404487371444702,0.43777281045913696,0.1522759050130844,0.04899895191192627,0.15404579043388367,0.28764694929122925,0.3435857892036438,0.12927570939064026,0.27045732736587524,0.260649710893631
to,0.455847829580307,0.4452643394470215,0.23918284475803375,0.03782717138528824,0.20275522768497467,0.22786720097064972,0.535392165184021,0.21845681965351105,0.41031414270401,0.29463258385658264
adopt,0.274641215801239,0.19038312137126923,0.02004244551062584,0.021430108696222305,0.11872272938489914,0.17616140842437744,0.215359166264534,0.10224306583404541,0.1642284244298935,0.26708900928497314
the,0.42745697498321533,0.34736719727516174,0.25759053230285645,-0.01540423184633255,0.2652374505996704,0.1959904432296753,1.0,0.2537761330604553,0.5107308030128479,0.22068053483963013
epidemiology,0.2921600937843323,0.19291067123413086,0.19135227799415588,-0.019124677404761314,0.28963977098464966,0.2275639921426773,0.23254536092281342,0.41756531596183777,0.20834022760391235,0.19894206523895264
of,0.33290785551071167,0.2513895630836487,0.18507303297519684,-0.03817026689648628,0.22602593898773193,0.17065608501434326,0.733189046382904,0.27455615997314453,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.25759053230285645,-0.01540423184633255,0.2652374505996704,0.1959904432296753,1.0,0.2537761330604553,0.5107308030128479,0.22068053483963013
bubonic,0.24423125386238098,0.24302518367767334,0.2583576440811157,-0.02581542730331421,0.18028220534324646,0.3204597532749176,0.3366847634315491,0.6634843349456787,0.19245420396327972,0.21706949174404144
plague,0.22263506054878235,0.1901843398809433,0.20662063360214233,-0.0006555641302838922,0.22759290039539337,0.29242193698883057,0.2537761330604553,0.9999999403953552,0.16606301069259644,0.11872942000627518
for,0.3017193675041199,0.318512886762619,0.17591653764247894,-0.07241261005401611,0.22091296315193176,0.24851137399673462,0.4739971458911896,0.1471073478460312,0.36199691891670227,0.264628142118454
the,0.42745697498321533,0.34736719727516174,0.25759053230285645,-0.01540423184633255,0.2652374505996704,0.1959904432296753,1.0,0.2537761330604553,0.5107308030128479,0.22068053483963013
black,0.12054000794887543,0.14310608804225922,0.23447678983211517,0.07187972962856293,0.12125842273235321,0.14378099143505096,0.28466513752937317,0.2843790054321289,0.18663345277309418,0.15159966051578522
death,0.2267695665359497,0.2252790331840515,0.17832721769809723,0.07207932323217392,0.20592626929283142,0.2743528485298157,0.21438048779964447,0.2767121493816376,0.16915851831436157,0.21149799227714539
for,0.3017193675041199,0.318512886762619,0.17591653764247894,-0.07241261005401611,0.22091296315193176,0.24851137399673462,0.4739971458911896,0.1471073478460312,0.36199691891670227,0.264628142118454
the,0.42745697498321533,0.34736719727516174,0.25759053230285645,-0.01540423184633255,0.2652374505996704,0.1959904432296753,1.0,0.2537761330604553,0.5107308030128479,0.22068053483963013
second,0.19948028028011322,0.20727969706058502,0.18959851562976837,-0.060212843120098114,0.24171818792819977,0.14021876454353333,0.4620301127433777,0.17621594667434692,0.26659107208251953,0.17239587008953094
edition,0.10302292555570602,0.1429024487733841,0.21759270131587982,-0.06360995024442673,0.39649155735969543,0.18030951917171478,0.24227465689182281,0.20661021769046783,0.22024326026439667,0.20261122286319733
in,0.30808621644973755,0.2593238651752472,0.19707681238651276,-0.037580832839012146,0.2527170181274414,0.10829274356365204,0.6662389636039734,0.2488756626844406,0.46853652596473694,0.20430970191955566
1908,-0.14133977890014648,-0.09672622382640839,0.007462732028216124,-0.015910997986793518,0.07725840061903,-0.021891802549362183,-0.02364869974553585,0.10562964528799057,-0.058230433613061905,-0.15027135610580444
",",0.3087472915649414,0.3015086054801941,0.3387126624584198,-0.0016132977325469255,0.23644568026065826,0.23327811062335968,0.4933079481124878,0.2630122900009155,0.49057599902153015,0.31091248989105225
implicating,0.3577133119106293,0.20333127677440643,0.019705988466739655,-0.0284737516194582,0.24195560812950134,0.2658248543739319,0.22469739615917206,0.20173507928848267,0.17301739752292633,0.23570503294467926
rats,0.1653018295764923,0.17853616178035736,0.14147228002548218,0.15621259808540344,0.1609659492969513,0.12240458279848099,0.216946080327034,0.34604722261428833,0.2382720708847046,0.08418426662683487
and,0.31309178471565247,0.34479495882987976,0.2900671362876892,0.06895173341035843,0.28024056553840637,0.23162296414375305,0.5171257257461548,0.2229994833469391,0.4077630043029785,0.20544172823429108
fleas,0.23394039273262024,0.24303287267684937,0.24122756719589233,0.03219211846590042,0.10376379638910294,0.25344088673591614,0.25670117139816284,0.4240718483924866,0.2329925298690796,0.25398749113082886
in,0.30808621644973755,0.2593238651752472,0.19707681238651276,-0.037580832839012146,0.2527170181274414,0.10829274356365204,0.6662389636039734,0.2488756626844406,0.46853652596473694,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.25759053230285645,-0.01540423184633255,0.2652374505996704,0.1959904432296753,1.0,0.2537761330604553,0.5107308030128479,0.22068053483963013
process,0.3466717302799225,0.1973760724067688,0.05688004195690155,-0.12054654210805893,0.15047934651374817,0.16815872490406036,0.264274537563324,0.11390027403831482,0.19009415805339813,0.2460896074771881
",",0.3087472915649414,0.3015086054801941,0.3387126624584198,-0.0016132977325469255,0.23644568026065826,0.23327811062335968,0.4933079481124878,0.2630122900009155,0.49057599902153015,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.2900671362876892,0.06895173341035843,0.28024056553840637,0.23162296414375305,0.5171257257461548,0.2229994833469391,0.4077630043029785,0.20544172823429108
his,0.26976513862609863,0.3546801507472992,0.2853398025035858,0.047556519508361816,0.2672714293003082,0.24513742327690125,0.4394008219242096,0.2558912932872772,0.32064297795295715,0.18075084686279297
interpretation,0.37054285407066345,0.2418224960565567,0.10825629532337189,-0.023114735260605812,0.3193003833293915,0.25074300169944763,0.2766321003437042,0.15692497789859772,0.22396916151046753,0.2162649929523468
was,0.22111038863658905,0.41399896144866943,0.23586979508399963,0.008974763564765453,0.24848085641860962,0.19880381226539612,0.48711544275283813,0.24312011897563934,0.3909217119216919,0.18412111699581146
widely,0.22598060965538025,0.1830587387084961,0.20390082895755768,-0.0028757310938090086,0.2099209874868393,0.17124135792255402,0.29394426941871643,0.14234453439712524,0.19011245667934418,0.10354958474636078
accepted,0.2928575575351715,0.3967616856098175,0.12117157876491547,0.001701323315501213,0.21344833076000214,0.272771418094635,0.2999902665615082,0.06685831397771835,0.19464078545570374,0.19665466248989105
for,0.3017193675041199,0.318512886762619,0.17591653764247894,-0.07241261005401611,0.22091296315193176,0.24851137399673462,0.4739971458911896,0.1471073478460312,0.36199691891670227,0.264628142118454
other,0.341873437166214,0.31707024574279785,0.14703066647052765,0.04445967823266983,0.20864468812942505,0.2106606811285019,0.44152235984802246,0.14735755324363708,0.3410046398639679,0.24682199954986572
ancient,0.2318045049905777,0.14945527911186218,0.14021983742713928,0.09360567480325699,0.21807418763637543,0.04971040412783623,0.28808021545410156,0.2896419167518616,0.15176965296268463,0.12938068807125092
and,0.31309178471565247,0.34479495882987976,0.2900671362876892,0.06895173341035843,0.28024056553840637,0.23162296414375305,0.5171257257461548,0.2229994833469391,0.4077630043029785,0.20544172823429108
medieval,0.2230893075466156,0.1563311666250229,0.18787534534931183,0.026681648567318916,0.21531333029270172,0.05248953402042389,0.28617456555366516,0.3413386344909668,0.15240095555782318,0.15571735799312592
epidemics,0.2626879811286926,0.2626070976257324,0.1985773742198944,0.03243706375360489,0.23468048870563507,0.3670450448989868,0.2566956579685211,0.6238223910331726,0.22179755568504333,0.19384340941905975
",",0.3087472915649414,0.3015086054801941,0.3387126624584198,-0.0016132977325469255,0.23644568026065826,0.23327811062335968,0.4933079481124878,0.2630122900009155,0.49057599902153015,0.31091248989105225
such,0.23989605903625488,0.24497397243976593,0.13736672699451447,0.05073437839746475,0.1546224057674408,0.20318077504634857,0.3575236201286316,0.17950542271137238,0.3181164264678955,0.17851735651493073
