,what,kind,of,cell,identifies,pathogens,when,the,antibodies,on,its,surface,complex,with,a,specific,foreign,antigen,?
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.21525812149047852,0.3490734100341797,0.21121124923229218,0.44397395849227905,0.5829201340675354,0.2804163694381714,0.3848365545272827,0.4424409866333008,0.24436084926128387,0.26552852988243103,0.3783375024795532,1.0,0.3531852960586548,0.16994866728782654,0.28274863958358765,0.23916715383529663
b,0.13329443335533142,0.07671411335468292,0.22055713832378387,0.15468697249889374,0.18156543374061584,0.12612783908843994,0.1297290027141571,0.16891296207904816,0.18398882448673248,0.09845591336488724,0.05986758694052696,0.0879436656832695,0.1228577196598053,0.11896660923957825,0.24025672674179077,0.14802159368991852,0.13970382511615753,0.16265074908733368,0.1975182741880417
cell,0.19222842156887054,0.20075704157352448,0.18332023918628693,1.0000001192092896,0.21808327734470367,0.46855735778808594,0.24251431226730347,0.15822452306747437,0.45224013924598694,0.1793726086616516,0.12767265737056732,0.2776933014392853,0.1880919188261032,0.21242906153202057,0.21525812149047852,0.2734946608543396,0.22450420260429382,0.46533098816871643,0.2058541625738144
identifies,0.19144995510578156,0.2257721722126007,0.3297317922115326,0.21808327734470367,0.9999998807907104,0.2402459681034088,0.16267414391040802,0.3151623606681824,0.3269007205963135,0.19021689891815186,0.23133540153503418,0.1548422873020172,0.17741622030735016,0.23980672657489777,0.3490734100341797,0.3679208755493164,0.1980772316455841,0.3149473965167999,0.21282701194286346
pathogens,0.24503889679908752,0.2648807764053345,0.22946582734584808,0.46855735778808594,0.2402459681034088,1.0,0.23183007538318634,0.23115308582782745,0.6608592867851257,0.12420286983251572,0.21500372886657715,0.34489741921424866,0.22142627835273743,0.1887669414281845,0.21121124923229218,0.3651876449584961,0.27840495109558105,0.6192795038223267,0.21364152431488037
when,0.4700249433517456,0.23813094198703766,0.3757161796092987,0.24251431226730347,0.16267414391040802,0.23183007538318634,0.9999999403953552,0.5091903209686279,0.23428872227668762,0.37706470489501953,0.34032323956489563,0.24400591850280762,0.19313043355941772,0.5075214505195618,0.44397395849227905,0.2782887816429138,0.23193815350532532,0.21656641364097595,0.22841128706932068
antibodies,0.2190079689025879,0.22331783175468445,0.24495436251163483,0.45224013924598694,0.3269007205963135,0.6608592867851257,0.23428872227668762,0.25005820393562317,1.0000001192092896,0.13692931830883026,0.2447655200958252,0.33485499024391174,0.26522010564804077,0.21223419904708862,0.2804163694381714,0.39834585785865784,0.2462293803691864,0.71067875623703,0.2315049171447754
on,0.34226128458976746,0.1850661337375641,0.3966929316520691,0.1793726086616516,0.19021689891815186,0.12420286983251572,0.37706470489501953,0.5107308030128479,0.13692931830883026,0.9999999403953552,0.34331920742988586,0.2674844264984131,0.19742736220359802,0.40749499201774597,0.3848365545272827,0.236932173371315,0.16672414541244507,0.18474063277244568,0.2714994251728058
its,0.30393704771995544,0.17957401275634766,0.48690423369407654,0.12767265737056732,0.23133540153503418,0.21500372886657715,0.34032323956489563,0.559237003326416,0.2447655200958252,0.34331920742988586,1.0,0.27310824394226074,0.2615755796432495,0.3087116777896881,0.4424409866333008,0.28944069147109985,0.1683618426322937,0.20951026678085327,0.15103481709957123
surface,0.23580394685268402,0.2295733094215393,0.24204103648662567,0.2776933014392853,0.1548422873020172,0.34489741921424866,0.24400591850280762,0.2555135488510132,0.33485499024391174,0.2674844264984131,0.27310824394226074,0.9999998807907104,0.18681220710277557,0.1969025433063507,0.24436084926128387,0.24497689306735992,0.14358454942703247,0.3169289827346802,0.14613434672355652
