,what,journalist,wrote,an,article,defending,doctor,who,?
responding,0.44756078720092773,0.15408724546432495,0.14590118825435638,0.32033511996269226,0.3729991316795349,0.30271217226982117,0.1307617872953415,0.2459227442741394,0.3013480305671692
to,0.455847829580307,0.11334022134542465,0.18888387084007263,0.3138085603713989,0.361922025680542,0.33036428689956665,0.22950075566768646,0.42656609416007996,0.29463258385658264
the,0.42745697498321533,0.1387142688035965,0.2426944375038147,0.4207492768764496,0.3329811692237854,0.3322177529335022,0.2820442318916321,0.3733934462070465,0.22068053483963013
findings,0.29346638917922974,0.15741033852100372,0.18601612746715546,0.2426474392414093,0.25887057185173035,0.22645792365074158,0.22498519718647003,0.2158423513174057,0.16064861416816711
of,0.33290785551071167,0.10838672518730164,0.30241408944129944,0.32280945777893066,0.25720444321632385,0.23717111349105835,0.16895952820777893,0.2827862501144409,0.1826142966747284
the,0.42745697498321533,0.1387142688035965,0.2426944375038147,0.4207492768764496,0.3329811692237854,0.3322177529335022,0.2820442318916321,0.3733934462070465,0.22068053483963013
survey,0.2753312289714813,0.189114511013031,0.15412984788417816,0.15324656665325165,0.21030427515506744,0.09302203357219696,0.10314498096704483,0.17594945430755615,0.17650416493415833
in,0.30808621644973755,0.17949986457824707,0.2898900806903839,0.2605783939361572,0.26153311133384705,0.2688160538673401,0.25567495822906494,0.2792111933231354,0.20430970191955566
the,0.42745697498321533,0.1387142688035965,0.2426944375038147,0.4207492768764496,0.3329811692237854,0.3322177529335022,0.2820442318916321,0.3733934462070465,0.22068053483963013
times,0.21414996683597565,0.25813525915145874,0.23472610116004944,0.18957601487636566,0.272950142621994,0.25458598136901855,0.12058350443840027,0.24510560929775238,0.18880689144134521
newspaper,0.19692619144916534,0.5457808375358582,0.3192281424999237,0.17875491082668304,0.29642078280448914,0.11524736881256104,0.19423313438892365,0.2023894488811493,0.12645277380943298
",",0.3087472915649414,0.29304662346839905,0.27225261926651,0.3581022024154663,0.28605279326438904,0.2921448349952698,0.20407600700855255,0.3365725874900818,0.31091248989105225
journalist,0.1052299290895462,1.0000001192092896,0.35501551628112793,0.1512915939092636,0.20528359711170197,0.1388709992170334,0.29825225472450256,0.2652316093444824,0.09252665191888809
philip,0.11288820952177048,0.24940529465675354,0.26302820444107056,0.1788911074399948,0.14931032061576843,0.15050305426120758,0.24624653160572052,0.25307518243789673,0.11887923628091812
howard,0.11493710428476334,0.2376435250043869,0.1994515210390091,0.09212853759527206,0.10717054456472397,0.07203822582960129,0.19253617525100708,0.22131597995758057,0.0705622211098671
maintained,0.20107032358646393,0.07963484525680542,0.11538705229759216,0.155190572142601,0.2558457851409912,0.2033427655696869,0.04956986382603645,0.13481846451759338,0.17174425721168518
that,0.6297725439071655,0.13744212687015533,0.27484676241874695,0.365763783454895,0.41666144132614136,0.2806907296180725,0.2390732765197754,0.45444270968437195,0.32716336846351624
",",0.3087472915649414,0.29304662346839905,0.27225261926651,0.3581022024154663,0.28605279326438904,0.2921448349952698,0.20407600700855255,0.3365725874900818,0.31091248989105225
