,the,complexity,of,problems,often,depends,on,what,?
thus,0.4036877751350403,0.3466423451900482,0.3487406373023987,0.23217986524105072,0.27057304978370667,0.30345746874809265,0.24622735381126404,0.30745524168014526,0.18769288063049316
no,0.3461136817932129,0.24885083734989166,0.24809792637825012,0.28842693567276,0.24515117704868317,0.20001226663589478,0.3244728446006775,0.339326947927475,0.32165053486824036
problem,0.24928659200668335,0.5039530992507935,0.20464475452899933,0.7913808822631836,0.31103453040122986,0.21428444981575012,0.19349780678749084,0.42183366417884827,0.3762950301170349
in,0.6662389636039734,0.20012179017066956,0.5696388483047485,0.21061907708644867,0.3380797803401947,0.23358918726444244,0.46853652596473694,0.30808621644973755,0.20430970191955566
c,0.17891426384449005,0.14190921187400818,0.1682119220495224,0.10926929116249084,0.1664600670337677,0.1816139966249466,0.17445160448551178,0.13697408139705658,0.14264722168445587
is,0.5823672413825989,0.2541271150112152,0.4854315221309662,0.16985496878623962,0.3856629431247711,0.40560126304626465,0.3635730445384979,0.28837618231773376,0.22961433231830597
harder,0.232576385140419,0.30702874064445496,0.1802113950252533,0.3250623047351837,0.38847237825393677,0.22894896566867828,0.2377815991640091,0.2937192916870117,0.20031365752220154
than,0.3227543234825134,0.28909242153167725,0.33036211133003235,0.2463805377483368,0.383069783449173,0.3239165246486664,0.2864885926246643,0.29388150572776794,0.24917294085025787
x,0.20980626344680786,0.18263253569602966,0.1708947718143463,0.17143216729164124,0.14175716042518616,0.18677569925785065,0.1793646216392517,0.13783220946788788,0.23304535448551178
",",0.4933079481124878,0.27822354435920715,0.4946078956127167,0.2596952021121979,0.24139221012592316,0.19178293645381927,0.49057599902153015,0.3087472915649414,0.31091248989105225
since,0.4054957628250122,0.2024936079978943,0.35513219237327576,0.263850599527359,0.22410006821155548,0.19130177795886993,0.32446393370628357,0.29783400893211365,0.2876587212085724
an,0.4207492768764496,0.2376130372285843,0.32280945777893066,0.1804785281419754,0.18115736544132233,0.23896464705467224,0.3192969560623169,0.2821882665157318,0.19793890416622162
algorithm,0.15884782373905182,0.4874947965145111,0.17516344785690308,0.28445136547088623,0.19973550736904144,0.19763411581516266,0.1285811960697174,0.2700590193271637,0.21180397272109985
for,0.4739971458911896,0.27243003249168396,0.4185989499092102,0.27039530873298645,0.37495917081832886,0.33744484186172485,0.36199691891670227,0.3017193675041199,0.264628142118454
