,what,is,european,union,law,?
european,0.15324164927005768,0.16083641350269318,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.14560863375663757
union,0.1396910548210144,0.16997112333774567,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.07797172665596008
law,0.2145031988620758,0.18597714602947235,0.17164482176303864,0.19371826946735382,1.0000001192092896,0.1528988480567932
is,0.28837618231773376,1.0,0.16083641350269318,0.16997112333774567,0.18597714602947235,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.2254103124141693,0.18140026926994324,0.2212858349084854,0.23916715383529663
body,0.2143840193748474,0.2790417969226837,0.15357226133346558,0.16131378710269928,0.16696499288082123,0.20136451721191406
of,0.33290785551071167,0.4854315221309662,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
treaties,0.2403455525636673,0.1447698175907135,0.30161675810813904,0.34353530406951904,0.39653173089027405,0.1693580597639084
and,0.31309178471565247,0.3859752118587494,0.24143946170806885,0.2594362497329712,0.254730761051178,0.20544172823429108
legislation,0.26615777611732483,0.17952819168567657,0.18848587572574615,0.23797817528247833,0.459128201007843,0.21123437583446503
",",0.3087472915649414,0.4691906273365021,0.19684812426567078,0.2362271547317505,0.24953721463680267,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.24026738107204437,0.15644019842147827,0.18631872534751892,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.20210161805152893,0.1848503202199936,0.2346976399421692,0.27043893933296204
regulations,0.21871556341648102,0.17368967831134796,0.2838364243507385,0.24004307389259338,0.3650396764278412,0.17806588113307953
and,0.31309178471565247,0.3859752118587494,0.24143946170806885,0.2594362497329712,0.254730761051178,0.20544172823429108
directives,0.19725696742534637,0.11116820573806763,0.24995045363903046,0.22130589187145233,0.27248021960258484,0.14184632897377014
",",0.3087472915649414,0.4691906273365021,0.19684812426567078,0.2362271547317505,0.24953721463680267,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.2234036773443222,0.23846890032291412,0.20205146074295044,0.25814583897590637
have,0.39808809757232666,0.3613572418689728,0.19048169255256653,0.16471676528453827,0.18623127043247223,0.32991164922714233
direct,0.26271191239356995,0.20874382555484772,0.20037411153316498,0.09293387830257416,0.22744078934192657,0.18476411700248718
effect,0.2546532452106476,0.17614969611167908,0.12194139510393143,0.11457715183496475,0.22741442918777466,0.1783771812915802
or,0.33867141604423523,0.41870999336242676,0.2412617802619934,0.21298456192016602,0.19038471579551697,0.32389625906944275
indirect,0.27479690313339233,0.23689647018909454,0.21502333879470825,0.11549913138151169,0.23277056217193604,0.20991046726703644
effect,0.2546532452106476,0.17614969611167908,0.12194139510393143,0.11457715183496475,0.22741442918777466,0.1783771812915802
on,0.34226128458976746,0.3635730445384979,0.19710737466812134,0.15769828855991364,0.13878796994686127,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
laws,0.29636016488075256,0.17527072131633759,0.21827232837677002,0.2677162289619446,0.6853237152099609,0.17911791801452637
of,0.33290785551071167,0.4854315221309662,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
european,0.15324164927005768,0.16083641350269318,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.14560863375663757
union,0.1396910548210144,0.16997112333774567,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.07797172665596008
member,0.09932345896959305,0.2522773742675781,0.24138560891151428,0.23030449450016022,0.17515966296195984,0.06826172769069672
states,0.21526020765304565,0.21939043700695038,0.25554242730140686,0.30693942308425903,0.2508668601512909,0.16272737085819244
.,0.3567904531955719,0.4569662809371948,0.2095622420310974,0.23708370327949524,0.24482665956020355,0.4130953550338745
