,who,is,an,example,of,a,sedentary,people,who,were,not,favored,by,the,laws,of,the,mongol,empire,?
however,0.4020770490169525,0.33769986033439636,0.2464427500963211,0.40222257375717163,0.3800618350505829,0.38150349259376526,0.30241551995277405,0.2839839458465576,0.4020770490169525,0.4428504705429077,0.6236329078674316,0.38466233015060425,0.34889668226242065,0.49814513325691223,0.30756276845932007,0.3800618350505829,0.49814513325691223,0.2643967568874359,0.22600525617599487,0.2152075469493866
",",0.3365725874900818,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.18659943342208862,0.36644625663757324,0.3365725874900818,0.36755475401878357,0.3769696354866028,0.28136101365089417,0.3680937886238098,0.4933079481124878,0.26751992106437683,0.4946078956127167,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
there,0.2844357192516327,0.3904260993003845,0.22476400434970856,0.346343457698822,0.44397735595703125,0.4214206337928772,0.24432583153247833,0.4820519685745239,0.2844357192516327,0.4359818994998932,0.43214359879493713,0.18168142437934875,0.20383623242378235,0.47025805711746216,0.2051847130060196,0.44397735595703125,0.47025805711746216,0.15220209956169128,0.12521648406982422,0.29405656456947327
is,0.24293622374534607,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.658733606338501,0.1392917037010193,0.34254953265190125,0.24293622374534607,0.29386836290359497,0.3776007890701294,0.21149231493473053,0.3899846076965332,0.5823672413825989,0.17527072131633759,0.4854315221309662,0.5823672413825989,0.1650545746088028,0.18343110382556915,0.22961433231830597
no,0.19753101468086243,0.19581134617328644,0.19335412979125977,0.22094443440437317,0.24809792637825012,0.26280897855758667,0.20196841657161713,0.15816457569599152,0.19753101468086243,0.24298787117004395,0.4487079083919525,0.10556963831186295,0.15267254412174225,0.3461136817932129,0.2001798450946808,0.24809792637825012,0.3461136817932129,0.15823949873447418,0.06984156370162964,0.32165053486824036
evidence,0.22911369800567627,0.18936312198638916,0.20261439681053162,0.28547266125679016,0.2471507489681244,0.25465038418769836,0.3321438133716583,0.21740369498729706,0.22911369800567627,0.2598854601383209,0.37296104431152344,0.216293066740036,0.1430790275335312,0.25031140446662903,0.23008669912815094,0.2471507489681244,0.25031140446662903,0.15749122202396393,0.09175483137369156,0.24151235818862915
of,0.2827862501144409,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.25159507989883423,0.3251037895679474,0.2827862501144409,0.34038281440734863,0.3307090103626251,0.3049958646297455,0.3646814823150635,0.733189046382904,0.2539142072200775,1.0,0.733189046382904,0.22712039947509766,0.30522286891937256,0.1826142966747284
this,0.3345087468624115,0.480927973985672,0.41881775856018066,0.4614826440811157,0.45148900151252747,0.5422310829162598,0.25784388184547424,0.27838850021362305,0.3345087468624115,0.25469228625297546,0.557635486125946,0.2734454274177551,0.38438332080841064,0.6274310946464539,0.24818551540374756,0.45148900151252747,0.6274310946464539,0.19343864917755127,0.20260672271251678,0.3155723512172699
",",0.3365725874900818,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.18659943342208862,0.36644625663757324,0.3365725874900818,0.36755475401878357,0.3769696354866028,0.28136101365089417,0.3680937886238098,0.4933079481124878,0.26751992106437683,0.4946078956127167,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.31091248989105225
or,0.31144875288009644,0.41870999336242676,0.3096676766872406,0.5192843675613403,0.3792596757411957,0.48853766918182373,0.29756495356559753,0.335800439119339,0.31144875288009644,0.3389680087566376,0.5119067430496216,0.2405770868062973,0.30274316668510437,0.4174870550632477,0.2778708338737488,0.3792596757411957,0.4174870550632477,0.20351910591125488,0.17538774013519287,0.32389625906944275
