,what,formation,has,an,asymmetrical,pattern,of,different,terraces,?
warsaw,0.10373849421739578,0.1532934010028839,0.16755639016628265,0.15493714809417725,0.1770271509885788,0.1384829580783844,0.19253842532634735,0.10649438947439194,0.19435186684131622,0.09769917279481888
is,0.28837618231773376,0.25176525115966797,0.5668748617172241,0.4654068350791931,0.25211620330810547,0.22437229752540588,0.4854315221309662,0.24624870717525482,0.18607749044895172,0.22961433231830597
located,0.2034616470336914,0.22762227058410645,0.2580956220626831,0.19637414813041687,0.19778482615947723,0.10695594549179077,0.32520920038223267,0.17607899010181427,0.30578282475471497,0.08983194828033447
on,0.34226128458976746,0.19212785363197327,0.34604379534721375,0.3192969560623169,0.1776198297739029,0.15766438841819763,0.3966929316520691,0.3056946098804474,0.21991443634033203,0.2714994251728058
two,0.23363454639911652,0.2311144769191742,0.3772575855255127,0.1867314726114273,0.2685350775718689,0.18147407472133636,0.37726253271102905,0.48983854055404663,0.21764738857746124,0.19645625352859497
main,0.2344268560409546,0.12458809465169907,0.26405781507492065,0.18319673836231232,0.1576690524816513,0.09268178045749664,0.3177044689655304,0.3297710716724396,0.18948368728160858,0.1665669083595276
geomorphologic,0.2660554349422455,0.3634672164916992,0.2156655192375183,0.22023193538188934,0.4802614748477936,0.3516731858253479,0.2925202250480652,0.379112184047699,0.32699695229530334,0.16884858906269073
formations,0.1548330932855606,0.8786003589630127,0.19006943702697754,0.16843345761299133,0.40196463465690613,0.33073094487190247,0.2921679615974426,0.2961195707321167,0.368160605430603,0.11879130452871323
:,-0.12022944539785385,-0.05295054242014885,-0.02031770534813404,-0.08487251400947571,-0.07301648706197739,-0.04118463024497032,-0.08807745575904846,-0.11576474457979202,-0.06816179305315018,-0.07156077772378922
the,0.42745697498321533,0.33687281608581543,0.4177538752555847,0.4207492768764496,0.2370316982269287,0.2485450804233551,0.733189046382904,0.36412742733955383,0.25593048334121704,0.22068053483963013
plain,0.2494364231824875,0.2457304149866104,0.17955753207206726,0.18578389286994934,0.1670517772436142,0.24944694340229034,0.2280387431383133,0.12966038286685944,0.2769729495048523,0.17552430927753448
moraine,0.18571998178958893,0.39983075857162476,0.16354122757911682,0.17008382081985474,0.2221139371395111,0.1485150307416916,0.3049020767211914,0.1799497902393341,0.38920554518699646,0.15512530505657196
plateau,0.15103165805339813,0.3451778292655945,0.16609396040439606,0.18218454718589783,0.13595587015151978,0.13942676782608032,0.2899112105369568,0.1448865830898285,0.41053491830825806,0.10432148724794388
and,0.31309178471565247,0.22940734028816223,0.43716782331466675,0.2838519215583801,0.22338972985744476,0.18427002429962158,0.5116966962814331,0.39536112546920776,0.29965758323669434,0.20544172823429108
the,0.42745697498321533,0.33687281608581543,0.4177538752555847,0.4207492768764496,0.2370316982269287,0.2485450804233551,0.733189046382904,0.36412742733955383,0.25593048334121704,0.22068053483963013
vistula,0.20743709802627563,0.23060835897922516,0.1899106800556183,0.14050187170505524,0.18577416241168976,0.19159084558486938,0.2898311913013458,0.12092871218919754,0.2530107796192169,0.1677311211824417
valley,0.15729281306266785,0.19293439388275146,0.1998392939567566,0.1331864893436432,0.05266033858060837,0.1380399465560913,0.23914365470409393,0.09744242578744888,0.30606189370155334,0.11486150324344635
with,0.2464839518070221,0.18870343267917633,0.44092974066734314,0.2730048894882202,0.27821800112724304,0.23225677013397217,0.41827285289764404,0.3571763038635254,0.22649456560611725,0.2433311939239502
its,0.30393704771995544,0.2784890830516815,0.4627293348312378,0.28139030933380127,0.27048683166503906,0.20019671320915222,0.48690423369407654,0.27425986528396606,0.2472342997789383,0.15103481709957123
asymmetrical,0.24214111268520355,0.34650182723999023,0.18965508043766022,0.21440625190734863,1.0,0.33976811170578003,0.24926726520061493,0.3078707456588745,0.2503375709056854,0.10959281027317047
pattern,0.2522786855697632,0.3011670410633087,0.2004157453775406,0.17977993190288544,0.33976811170578003,1.0000001192092896,0.16445347666740417,0.309201180934906,0.18648770451545715,0.20064511895179749
of,0.33290785551071167,0.2957320809364319,0.3909035325050354,0.32280945777893066,0.24926726520061493,0.16445347666740417,1.0,0.3747533857822418,0.2573932707309723,0.1826142966747284
different,0.39262300729751587,0.16387046873569489,0.35839274525642395,0.20424599945545197,0.3078707456588745,0.309201180934906,0.3747533857822418,1.0,0.23019039630889893,0.24476227164268494
terraces,0.10560622066259384,0.25264739990234375,0.2258569598197937,0.17168794572353363,0.2503375709056854,0.18648770451545715,0.2573932707309723,0.23019039630889893,1.0000001192092896,0.07399796694517136
.,0.3567904531955719,0.23124639689922333,0.4105546176433563,0.3581749200820923,0.19477441906929016,0.22770953178405762,0.5352458953857422,0.31511759757995605,0.17221926152706146,0.4130953550338745
