,how,much,water,does,the,aare,give,to,the,rhine,?
the,0.33890387415885925,0.35023224353790283,0.297396719455719,0.35928019881248474,1.0,0.3575730621814728,0.29086416959762573,0.535392165184021,1.0,0.30735138058662415,0.22068053483963013
aare,0.21682201325893402,0.1179317757487297,0.29801681637763977,0.2321879118680954,0.3575730621814728,0.9999999403953552,0.20545823872089386,0.17595672607421875,0.3575730621814728,0.4274474084377289,0.15954816341400146
more,0.4319567084312439,0.5936280488967896,0.2764609456062317,0.2897747755050659,0.39758381247520447,0.1497913897037506,0.36252525448799133,0.47084665298461914,0.39758381247520447,0.14227862656116486,0.27894994616508484
than,0.29763275384902954,0.632695198059082,0.26151132583618164,0.32178643345832825,0.3227543234825134,0.13611486554145813,0.3182321786880493,0.3192550539970398,0.3227543234825134,0.15938840806484222,0.24917294085025787
doubles,0.1494646966457367,0.17282786965370178,0.13804049789905548,0.10952792316675186,0.20648860931396484,0.13363352417945862,0.12348153442144394,0.14013974368572235,0.20648860931396484,0.0662539079785347,0.13686959445476532
the,0.33890387415885925,0.35023224353790283,0.297396719455719,0.35928019881248474,1.0,0.3575730621814728,0.29086416959762573,0.535392165184021,1.0,0.30735138058662415,0.22068053483963013
rhine,0.09285783767700195,0.11189084500074387,0.18943050503730774,0.13532963395118713,0.30735138058662415,0.4274474084377289,0.17950758337974548,0.1736302673816681,0.30735138058662415,1.0,0.13754533231258392
's,-0.026164190843701363,0.06731651723384857,0.06513497978448868,-0.02895052544772625,-0.01540423184633255,0.04549746215343475,0.032917920500040054,0.03782717138528824,-0.01540423184633255,0.0778765007853508,-0.023395681753754616
water,0.19594718515872955,0.2890187203884125,0.9999998807907104,0.29202038049697876,0.297396719455719,0.29801681637763977,0.2086815983057022,0.27858173847198486,0.297396719455719,0.18943050503730774,0.14731885492801666
discharge,0.17195333540439606,0.22099870443344116,0.40258342027664185,0.2124834507703781,0.2714732885360718,0.2467837780714035,0.20553293824195862,0.22832615673542023,0.2714732885360718,0.22111549973487854,0.13592740893363953
",",0.22659391164779663,0.36182254552841187,0.26706066727638245,0.28617382049560547,0.4933079481124878,0.28579628467559814,0.2844066619873047,0.44245919585227966,0.4933079481124878,0.167837992310524,0.31091248989105225
to,0.44169697165489197,0.40610215067863464,0.27858173847198486,0.4391997456550598,0.535392165184021,0.17595672607421875,0.4396136403083801,1.0,0.535392165184021,0.1736302673816681,0.29463258385658264
an,0.2520636022090912,0.2866077721118927,0.19103862345218658,0.29477936029434204,0.4207492768764496,0.2396610975265503,0.21015086770057678,0.3138085603713989,0.4207492768764496,0.07200640439987183,0.19793890416622162
average,0.2824462950229645,0.3068808615207672,0.22530432045459747,0.17787541449069977,0.27058175206184387,0.23503205180168152,0.18032513558864594,0.2572915256023407,0.27058175206184387,0.13968418538570404,0.21764592826366425
