,what,two,resources,commonly,consumed,by,alternate,models,are,typically,known,to,vary,?
the,0.42745697498321533,0.43858039379119873,0.25734785199165344,0.2974449694156647,0.2465425431728363,0.4408751428127289,0.2994726002216339,0.16804195940494537,0.40399202704429626,0.33345210552215576,0.3624623417854309,0.535392165184021,0.26695486903190613,0.22068053483963013
time,0.36319252848625183,0.33960169553756714,0.27837085723876953,0.15246270596981049,0.26540395617485046,0.26502725481987,0.21682003140449524,0.19152137637138367,0.24188680946826935,0.25760766863822937,0.23656317591667175,0.3679993152618408,0.18864059448242188,0.27391523122787476
and,0.31309178471565247,0.4671151638031006,0.3116118013858795,0.2290310114622116,0.24533633887767792,0.4289871156215668,0.24455861747264862,0.22926653921604156,0.48576638102531433,0.3137528598308563,0.3468935489654541,0.48971283435821533,0.23900242149829865,0.20544172823429108
memory,0.20690667629241943,0.19382846355438232,0.2774735689163208,0.17055650055408478,0.14493902027606964,0.17913426458835602,0.048178188502788544,0.16972264647483826,0.19283625483512878,0.21674177050590515,0.11558180302381516,0.19370511174201965,0.09311167150735855,0.1397676020860672
consumption,0.22381934523582458,0.16620755195617676,0.41441991925239563,0.21101313829421997,0.6984604597091675,0.18579155206680298,0.15398451685905457,0.2528430223464966,0.296591579914093,0.37217262387275696,0.1531190276145935,0.3022409975528717,0.35108470916748047,0.1937485784292221
of,0.33290785551071167,0.37726253271102905,0.2746381163597107,0.29300037026405334,0.2031918317079544,0.3646814823150635,0.2100224494934082,0.19773605465888977,0.39081433415412903,0.28964799642562866,0.35814476013183594,0.41548454761505127,0.28326424956321716,0.1826142966747284
these,0.4164220690727234,0.5489652752876282,0.30337846279144287,0.3286513686180115,0.23806291818618774,0.33332425355911255,0.25935041904449463,0.3048318326473236,0.7107698917388916,0.45986998081207275,0.2789614498615265,0.46852558851242065,0.40050607919692993,0.2571668326854706
alternate,0.20848442614078522,0.26928481459617615,0.15011171996593475,0.15599294006824493,0.17208512127399445,0.23122794926166534,1.0,0.1186070442199707,0.2645713686943054,0.2734377086162567,0.1696113646030426,0.24006514251232147,0.279342383146286,0.2362358272075653
models,0.22431734204292297,0.22405658662319183,0.19903472065925598,0.18426401913166046,0.11143950372934341,0.18410107493400574,0.1186070442199707,1.0,0.21321038901805878,0.21756570041179657,0.2008427530527115,0.2078617662191391,0.24389153718948364,0.16656708717346191
may,0.25739946961402893,0.25614964962005615,0.22292640805244446,0.25863662362098694,0.2015819251537323,0.1970296949148178,0.20289073884487152,0.16603025794029236,0.3162533640861511,0.2667822539806366,0.2072170078754425,0.391582727432251,0.25261422991752625,0.2768254578113556
vary,0.28041166067123413,0.20277269184589386,0.20319685339927673,0.28226184844970703,0.32409584522247314,0.13647350668907166,0.279342383146286,0.24389153718948364,0.40634578466415405,0.4020664095878601,0.19939936697483063,0.21856354176998138,1.0,0.15120448172092438
.,0.3567904531955719,0.3524959683418274,0.2478848099708557,0.2135825902223587,0.22308771312236786,0.3936232924461365,0.2329867035150528,0.23375163972377777,0.3452940285205841,0.25537845492362976,0.283290296792984,0.4645031690597534,0.2004905343055725,0.4130953550338745
