,deacons,serve,a,term,of,how,many,years,as,provisional,deacons,?
deacons,0.9999999403953552,0.20758472383022308,0.19436484575271606,0.15357665717601776,0.2586137056350708,0.1894558221101761,0.22367848455905914,0.2376583218574524,0.2576013207435608,0.1977984458208084,0.9999999403953552,0.1353975385427475
serve,0.20758472383022308,0.9999998807907104,0.22927480936050415,0.31228312849998474,0.2656401991844177,0.231308713555336,0.20049209892749786,0.2110644280910492,0.3768509030342102,0.16428527235984802,0.20758472383022308,0.19925682246685028
a,0.19436484575271606,0.22927480936050415,1.0,0.3080509603023529,0.5052502155303955,0.29312583804130554,0.2872205972671509,0.23773819208145142,0.39550232887268066,0.2264648973941803,0.19436484575271606,0.23916715383529663
term,0.15357665717601776,0.31228312849998474,0.3080509603023529,1.0,0.26047757267951965,0.23617766797542572,0.22119450569152832,0.22886784374713898,0.3224089443683624,0.18106688559055328,0.15357665717601776,0.1901002675294876
of,0.2586137056350708,0.2656401991844177,0.5052502155303955,0.26047757267951965,1.0,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.3886612355709076,0.3027793765068054,0.2586137056350708,0.1826142966747284
2–3,0.05655621737241745,0.1460624635219574,0.09418727457523346,-0.0025093690492212772,0.047910407185554504,0.05412609130144119,0.0718146562576294,0.0637737363576889,0.09351631999015808,0.02510872296988964,0.05655621737241745,-0.003143932670354843
years,0.2376583218574524,0.2110644280910492,0.23773819208145142,0.22886784374713898,0.2904134690761566,0.21949264407157898,0.2731519937515259,1.0,0.234328031539917,0.18676625192165375,0.2376583218574524,0.1914375126361847
as,0.2576013207435608,0.3768509030342102,0.39550232887268066,0.3224089443683624,0.3886612355709076,0.33782753348350525,0.4070141911506653,0.234328031539917,1.0,0.21580633521080017,0.2576013207435608,0.27043893933296204
provisional,0.1977984458208084,0.16428527235984802,0.2264648973941803,0.18106688559055328,0.3027793765068054,0.08855916559696198,0.17113342881202698,0.18676625192165375,0.21580633521080017,1.0,0.1977984458208084,0.11487715691328049
deacons,0.9999999403953552,0.20758472383022308,0.19436484575271606,0.15357665717601776,0.2586137056350708,0.1894558221101761,0.22367848455905914,0.2376583218574524,0.2576013207435608,0.1977984458208084,0.9999999403953552,0.1353975385427475
prior,0.23445749282836914,0.2024986445903778,0.22647660970687866,0.17873701453208923,0.3183474540710449,0.21558114886283875,0.163351908326149,0.28412380814552307,0.2475208342075348,0.22106198966503143,0.23445749282836914,0.16978254914283752
to,0.3109930157661438,0.3411368131637573,0.45503583550453186,0.3310292959213257,0.41548454761505127,0.44169697165489197,0.40243685245513916,0.23891852796077728,0.42092081904411316,0.20113271474838257,0.3109930157661438,0.29463258385658264
their,0.30798467993736267,0.26932522654533386,0.29698723554611206,0.18210019171237946,0.4329940676689148,0.3316696584224701,0.4574248492717743,0.2008867710828781,0.29218852519989014,0.15140073001384735,0.30798467993736267,0.1898253709077835
ordination,0.2905457019805908,0.24819613993167877,0.24284988641738892,0.23627126216888428,0.3229534924030304,0.18241329491138458,0.22747667133808136,0.14094743132591248,0.34142908453941345,0.30169323086738586,0.2905457019805908,0.2011764794588089
