,what,was,the,presidential,working,party,on,the,second,university,commissioned,to,do,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2229764759540558,0.3062970042228699,0.20446790754795074,0.46853652596473694,0.6662389636039734,0.34510284662246704,0.3201795518398285,0.2544098198413849,0.45010748505592346,0.23402775824069977,0.20430970191955566
1981,-0.08909204602241516,0.06542467325925827,-0.010583994910120964,0.03269658982753754,-0.03697533905506134,0.07059106975793839,0.041381582617759705,-0.010583994910120964,0.021934542804956436,0.14607888460159302,0.07366245239973068,-0.1489759087562561,-0.03713146969676018,0.07968433201313019
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2162860929965973,0.29007792472839355,0.21963930130004883,0.49057599902153015,0.4933079481124878,0.29927265644073486,0.3017033040523529,0.22128435969352722,0.44245919585227966,0.3283645510673523,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.2443588525056839,0.25857484340667725,0.23779736459255219,0.5107308030128479,1.0,0.4620301127433777,0.263973206281662,0.2864282727241516,0.535392165184021,0.30239659547805786,0.22068053483963013
presidential,0.14383156597614288,0.22171081602573395,0.2443588525056839,1.0,0.1033252477645874,0.39716845750808716,0.201328843832016,0.2443588525056839,0.23470032215118408,0.21950258314609528,0.2713783383369446,0.1849661022424698,0.12673123180866241,0.1823401004076004
working,0.2846863269805908,0.25099408626556396,0.25857484340667725,0.1033252477645874,1.0,0.17057888209819794,0.2811677157878876,0.25857484340667725,0.11829618364572525,0.19571766257286072,0.24136552214622498,0.28215980529785156,0.2560761868953705,0.17154020071029663
party,0.2398013323545456,0.25508102774620056,0.23779736459255219,0.39716845750808716,0.17057888209819794,0.9999999403953552,0.23256510496139526,0.23779736459255219,0.1964469850063324,0.20590142905712128,0.1256309151649475,0.1893671154975891,0.11859167367219925,0.19031576812267303
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.201328843832016,0.2811677157878876,0.23256510496139526,0.9999999403953552,0.5107308030128479,0.26659107208251953,0.18291500210762024,0.23364664614200592,0.41031414270401,0.3025321364402771,0.2714994251728058
the,0.42745697498321533,0.48711544275283813,1.0,0.2443588525056839,0.25857484340667725,0.23779736459255219,0.5107308030128479,1.0,0.4620301127433777,0.263973206281662,0.2864282727241516,0.535392165184021,0.30239659547805786,0.22068053483963013
second,0.19948028028011322,0.3858029544353485,0.4620301127433777,0.23470032215118408,0.11829618364572525,0.1964469850063324,0.26659107208251953,0.4620301127433777,1.0,0.2269357442855835,0.19780051708221436,0.3098561465740204,0.15643955767154694,0.17239587008953094
university,0.20256435871124268,0.290752112865448,0.263973206281662,0.21950258314609528,0.19571766257286072,0.20590142905712128,0.18291500210762024,0.263973206281662,0.2269357442855835,1.0,0.18166106939315796,0.20192374289035797,0.11835777014493942,0.11887256056070328
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.22171081602573395,0.25099408626556396,0.25508102774620056,0.3909217119216919,0.48711544275283813,0.3858029544353485,0.290752112865448,0.38598689436912537,0.3636345863342285,0.11523093283176422,0.18412111699581146
commissioned,0.16373956203460693,0.38598689436912537,0.2864282727241516,0.2713783383369446,0.24136552214622498,0.1256309151649475,0.23364664614200592,0.2864282727241516,0.19780051708221436,0.18166106939315796,1.0000001192092896,0.23057107627391815,0.04311082139611244,0.13426002860069275
