,what,type,of,algorithm,is,trial,division,?
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.22014065086841583,0.43268078565597534,0.22232824563980103,0.20737119019031525,0.264628142118454
example,0.3456268310546875,0.2937546968460083,0.3570667505264282,0.25975191593170166,0.36737263202667236,0.15761354565620422,0.16596640646457672,0.30374911427497864
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19359813630580902,0.4691906273365021,0.2517271339893341,0.24344468116760254,0.31091248989105225
trial,0.2327587604522705,0.06253252178430557,0.18292099237442017,0.18779917061328888,0.17689630389213562,1.0000001192092896,0.12774761021137238,0.16902455687522888
division,0.19144181907176971,0.12597118318080902,0.23579144477844238,0.08705766499042511,0.20176531374454498,0.12774761021137238,1.0,0.08900629729032516
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.24848374724388123,1.0,0.17689630389213562,0.20176531374454498,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.20294487476348877,0.658733606338501,0.24950183928012848,0.19939710199832916,0.23916715383529663
deterministic,0.41523241996765137,0.22269101440906525,0.3430701494216919,0.4117421507835388,0.33447402715682983,0.21121586859226227,0.1759640872478485,0.26914435625076294
algorithm,0.2700590193271637,0.16641801595687866,0.17516344785690308,1.0,0.24848374724388123,0.18779917061328888,0.08705766499042511,0.21180397272109985
because,0.46729007363319397,0.2493555098772049,0.4075504541397095,0.1688622683286667,0.4047735333442688,0.17145013809204102,0.14597740769386292,0.2528740465641022
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19359813630580902,0.4691906273365021,0.2517271339893341,0.24344468116760254,0.31091248989105225
if,0.5277165174484253,0.2994624078273773,0.2557544410228729,0.32577699422836304,0.30927813053131104,0.2020893096923828,0.1012442484498024,0.4441644251346588
performed,0.17447373270988464,0.10767392069101334,0.16441160440444946,0.14785237610340118,0.19216197729110718,0.2011823207139969,0.07023309916257858,0.14428307116031647
correctly,0.41690006852149963,0.2029554396867752,0.1631389856338501,0.3618454933166504,0.2883044183254242,0.2533243000507355,0.1451529711484909,0.36838996410369873
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19359813630580902,0.4691906273365021,0.2517271339893341,0.24344468116760254,0.31091248989105225
it,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.21850818395614624,0.6328473687171936,0.20543421804904938,0.2437172681093216,0.25732165575027466
will,0.3510494530200958,0.1847439557313919,0.2473582625389099,0.26295217871665955,0.3723262846469879,0.21189245581626892,0.12077465653419495,0.35046905279159546
always,0.413568377494812,0.22275236248970032,0.25258868932724,0.23085808753967285,0.3208111822605133,0.17552179098129272,0.12931355834007263,0.26136693358421326
identify,0.27000585198402405,0.1932760775089264,0.244131401181221,0.23346847295761108,0.2316393256187439,0.13763152062892914,0.10054589807987213,0.20891983807086945
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.20294487476348877,0.658733606338501,0.24950183928012848,0.19939710199832916,0.23916715383529663
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.2093242108821869,0.16680827736854553,0.20228107273578644,0.17371009290218353,0.11276303976774216
number,0.23046229779720306,0.2370503842830658,0.2778518795967102,0.2957291305065155,0.22390379011631012,0.16607032716274261,0.20398488640785217,0.19256845116615295
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.19048626720905304,0.43216490745544434,0.14321847259998322,0.15425626933574677,0.27043893933296204
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.2093242108821869,0.16680827736854553,0.20228107273578644,0.17371009290218353,0.11276303976774216
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.06731905043125153,0.3859752118587494,0.20515479147434235,0.23460866510868073,0.20544172823429108
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.20294487476348877,0.658733606338501,0.24950183928012848,0.19939710199832916,0.23916715383529663
composite,0.20413389801979065,0.2683812081813812,0.27240246534347534,0.2912871539592743,0.2680354416370392,0.06136205047369003,0.11290652304887772,0.10732094198465347
number,0.23046229779720306,0.2370503842830658,0.2778518795967102,0.2957291305065155,0.22390379011631012,0.16607032716274261,0.20398488640785217,0.19256845116615295
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.19048626720905304,0.43216490745544434,0.14321847259998322,0.15425626933574677,0.27043893933296204
composite,0.20413389801979065,0.2683812081813812,0.27240246534347534,0.2912871539592743,0.2680354416370392,0.06136205047369003,0.11290652304887772,0.10732094198465347
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.15753796696662903,0.4569662809371948,0.2123202234506607,0.27855971455574036,0.4130953550338745
