,what,do,some,encrypted,broadcasts,require,to,view,?
some,0.4491020441055298,0.4725562036037445,0.9999999403953552,0.2113562375307083,0.2097977101802826,0.3806331753730774,0.4636894166469574,0.23073558509349823,0.2562315762042999
broadcasts,0.17804105579853058,0.12030001729726791,0.2097977101802826,0.28269949555397034,1.0000001192092896,0.1269768923521042,0.2217693328857422,0.15026140213012695,0.1364026516675949
are,0.29724663496017456,0.41111594438552856,0.6331475377082825,0.19641628861427307,0.18536077439785004,0.388192743062973,0.3504326641559601,0.1930849850177765,0.24591213464736938
free-to-air,0.2724332809448242,0.25017011165618896,0.3656013011932373,0.2964996099472046,0.25505927205085754,0.26204851269721985,0.32343536615371704,0.21877571940422058,0.2213255912065506
and,0.31309178471565247,0.276123583316803,0.5337774157524109,0.1586218774318695,0.2523579001426697,0.24569399654865265,0.48971283435821533,0.19056165218353271,0.20544172823429108
unencrypted,0.2591041624546051,0.24037368595600128,0.27200230956077576,0.9406657218933105,0.29226353764533997,0.35385093092918396,0.25783348083496094,0.23225340247154236,0.28533175587654114
",",0.3087472915649414,0.3283645510673523,0.42400437593460083,0.14657457172870636,0.2320742905139923,0.20549376308918,0.44245919585227966,0.216712087392807,0.31091248989105225
some,0.4491020441055298,0.4725562036037445,0.9999999403953552,0.2113562375307083,0.2097977101802826,0.3806331753730774,0.4636894166469574,0.23073558509349823,0.2562315762042999
are,0.29724663496017456,0.41111594438552856,0.6331475377082825,0.19641628861427307,0.18536077439785004,0.388192743062973,0.3504326641559601,0.1930849850177765,0.24591213464736938
encrypted,0.20642973482608795,0.205654114484787,0.2113562375307083,0.9999999403953552,0.28269949555397034,0.3386891782283783,0.2361755073070526,0.19879840314388275,0.20868515968322754
but,0.5029441118240356,0.4077886939048767,0.5773703455924988,0.22251102328300476,0.1946113407611847,0.35718944668769836,0.5542377829551697,0.18700739741325378,0.27921953797340393
do,0.4609605669975281,1.0,0.4725562036037445,0.205654114484787,0.12030001729726791,0.44236746430397034,0.38876664638519287,0.20598536729812622,0.4093979299068451
not,0.5449194312095642,0.6619802713394165,0.564181387424469,0.21239812672138214,0.23681282997131348,0.4402938187122345,0.5149973034858704,0.18787901103496552,0.41942933201789856
require,0.2487315833568573,0.44236746430397034,0.3806331753730774,0.3386891782283783,0.1269768923521042,0.9999998807907104,0.29503753781318665,0.12494049966335297,0.2463286817073822
a,0.3320399522781372,0.26237669587135315,0.34539633989334106,0.22327043116092682,0.18423420190811157,0.24720792472362518,0.45503583550453186,0.22168859839439392,0.23916715383529663
monthly,0.22955510020256042,0.13764327764511108,0.17501598596572876,0.13571049273014069,0.2560912072658539,0.15750709176063538,0.19449399411678314,0.1735147088766098,0.19385789334774017
subscription,0.21589209139347076,0.20750977098941803,0.31990331411361694,0.35881146788597107,0.37795647978782654,0.28307420015335083,0.2455354779958725,0.25642624497413635,0.22697269916534424
(,0.2411840260028839,0.24216170608997345,0.2279975414276123,0.15142929553985596,0.25388914346694946,0.15961377322673798,0.30882009863853455,0.17145514488220215,0.40561532974243164
known,0.20381177961826324,0.23082251846790314,0.29982712864875793,0.20407119393348694,0.19826993346214294,0.08089163899421692,0.14337651431560516,0.12197905033826828,0.18314571678638458
as,0.31749409437179565,0.38329678773880005,0.4293700158596039,0.20413751900196075,0.21394945681095123,0.23686568439006805,0.42092081904411316,0.13756150007247925,0.27043893933296204
free-to-view,0.30597445368766785,0.24296621978282928,0.2952340543270111,0.25229397416114807,0.31198686361312866,0.20875012874603271,0.31092002987861633,0.49750736355781555,0.28864964842796326
),0.26259949803352356,0.24460165202617645,0.2398642599582672,0.15720009803771973,0.21479129791259766,0.17064784467220306,0.31236231327056885,0.17802001535892487,0.42300865054130554
",",0.3087472915649414,0.3283645510673523,0.42400437593460083,0.14657457172870636,0.2320742905139923,0.20549376308918,0.44245919585227966,0.216712087392807,0.31091248989105225
