,how,long,does,the,main,façade,stretch,along,cromwell,gardens,?
the,0.33890387415885925,0.3075225353240967,0.35928019881248474,1.0,0.38631999492645264,0.33251336216926575,0.2665952444076538,0.39495137333869934,0.22979725897312164,0.21929459273815155,0.22068053483963013
main,0.1668178290128708,0.23931492865085602,0.245339035987854,0.38631999492645264,1.0000001192092896,0.26285991072654724,0.13796301186084747,0.3070458471775055,0.11590036004781723,0.13277028501033783,0.1665669083595276
façade,0.12294516712427139,0.1615288108587265,0.1841994822025299,0.33251336216926575,0.26285991072654724,0.9999998807907104,0.19757650792598724,0.13802503049373627,0.2080157846212387,0.3354199230670929,0.14144746959209442
",",0.22659391164779663,0.3431144952774048,0.28617382049560547,0.4933079481124878,0.2989408075809479,0.19444413483142853,0.25477465987205505,0.29824912548065186,0.2759748697280884,0.23540394008159637,0.31091248989105225
built,0.16975881159305573,0.21656544506549835,0.09012943506240845,0.2950156033039093,0.16786392033100128,0.3759601414203644,0.16370394825935364,0.20608338713645935,0.14524762332439423,0.31546059250831604,0.09449632465839386
from,0.22939439117908478,0.3109167516231537,0.1777622550725937,0.40150508284568787,0.22770823538303375,0.13691401481628418,0.26823535561561584,0.279703289270401,0.19499079883098602,0.16358216106891632,0.19969791173934937
red,0.18390978872776031,0.17872723937034607,0.11942686140537262,0.2817947566509247,0.09459278732538223,0.14961819350719452,0.1118105798959732,0.17017430067062378,0.1224733516573906,0.13731439411640167,0.1495664119720459
brick,0.20055481791496277,0.19992394745349884,0.09110196679830551,0.2380465269088745,0.1572815179824829,0.36390069127082825,0.29198288917541504,0.24109844863414764,0.19009992480278015,0.27748313546180725,0.12426483631134033
and,0.33647966384887695,0.3395216166973114,0.3461615741252899,0.5171257257461548,0.29831406474113464,0.22591467201709747,0.2862923741340637,0.4213258922100067,0.25873973965644836,0.25581619143486023,0.20544172823429108
portland,0.14521311223506927,0.16235780715942383,0.10670389980077744,0.232989102602005,0.09644750505685806,0.21380093693733215,0.21492353081703186,0.24617627263069153,0.2108185738325119,0.23600643873214722,0.13481497764587402
